prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3588.056802749634,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,4,threshold,544,36,580,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1145.9505558013916,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['backup_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,3,bounded,497,45,542,True,"['restore_archived_object', 'configure_storage_transfer', 'replicate_backup']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,1080.8193683624268,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'authentication_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,3,bounded,466,43,509,True,"['run_compliance_check', 'manage_database_audit', 'manage_mfa']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,1623.3479976654053,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['document_operations', 'text_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,6,threshold,755,60,815,True,"['extract_text', 'search_text', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,867.9842948913574,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['system_operations', 'calendar_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,3,bounded,446,30,476,True,"['get_uptime', 'set_working_hours', 'configure_quiet_hours']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,manage_mailing_list,False,,1128.997802734375,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,3,threshold,451,49,500,False,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability']",,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,709.036111831665,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,threshold,474,18,492,True,"['manage_mfa', 'manage_device_trust', 'create_service_account']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2075.6609439849854,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['healthcare_operations', 'ai_ml_operations', 'authentication_operations', 'workflow_operations', 'search_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1334,54,1388,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'create_pipeline', 'test_email_deliverability', 'manage_mailing_list', 'run_workflow', 'send_bulk_email', 'search_emails', 'send_patient_message', 'create_user']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,942.4440860748291,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['notification_operations', 'scheduling_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,3,bounded,420,37,457,True,"['cancel_workflow', 'pause_scheduled_job', 'set_quiet_hours']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,695.2922344207764,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,382,23,405,True,"['fibonacci', 'number_base_convert', 'logarithm']",1.0,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,1252.0074844360352,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,"['cloud_storage_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,3,bounded,513,52,565,True,"['process_ach_transfer', 'configure_storage_transfer', 'create_payout']",1.0,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,790.1160717010498,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,3,threshold,460,25,485,True,"['manage_mailing_list', 'manage_email_list', 'send_bulk_email']",2.0,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,1837.7561569213867,workflow_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['devops_operations', 'scheduling_operations', 'payment_operations', 'ai_ml_operations', 'database_operations', 'workflow_operations', 'system_operations', 'email_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1348,38,1386,True,"['run_workflow', 'create_pipeline', 'setup_email_automation', 'execute_command', 'cancel_workflow', 'run_pipeline', 'schedule_workflow', 'exec_in_container', 'create_job_dependency', 'manage_database_triggers', 'process_ach_transfer']",1.0,False,False,,,,[],[]
Mirror the photo,flip_image,flip_image,True,,787.4777317047119,image_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,image_operations,"['search_operations', 'image_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,3,bounded,464,23,487,True,"['flip_image', 'generate_image', 'search_images']",1.0,False,False,,,,[],[]
Search for images,search_images,search_images,True,,1383.5670948028564,search_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['ai_ml_operations', 'image_operations', 'search_operations', 'file_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,8,threshold,1001,31,1032,True,"['search_images', 'search_files', 'generate_image', 'web_search', 'read_barcode', 'extract_colors', 'compress_image', 'flip_image']",1.0,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,899.9416828155518,math_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,"['queue_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,3,bounded,456,32,488,True,"['permutation_combination', 'permutation_combination', 'create_fifo_queue']",1.0,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,1022.7460861206055,healthcare_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,healthcare_operations,"['messaging_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,3,bounded,552,35,587,True,"['send_patient_message', 'send_in_app_message', 'manage_message_queue']",1.0,False,False,,,,[],[]
