prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
I need to search for images. Search for images,search_images,search_images,True,,2422.978162765503,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['image_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,threshold,702,15,717,True,"['search_images', 'search_code', 'create_collage']",1,False,False,,,,[],[]
I need to generate a comprehensive patient summary document. Export patient record,generate_patient_summary,generate_patient_summary,True,,367.3982620239258,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['ecommerce_operations', 'healthcare_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,threshold,732,62,794,True,"['generate_patient_summary', 'generate_lorem_ipsum', 'create_order']",1,False,False,,,,[],[]
I need to scan and decode a barcode from an image. Decode all barcodes in the image,read_barcode,read_barcode,True,,337.1279239654541,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'text_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,threshold,593,19,612,True,"['read_barcode', 'decode_text', 'search_images']",1,False,False,,,,[],[]
I need to update a patient's allergy list. Remove allergy from record,update_allergy_list,update_allergy_list,True,,317.0909881591797,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,3,bounded,800,25,825,True,"['update_allergy_list', 'generate_patient_summary', 'snooze_email']",1,False,False,,,,[],[]
I need to snooze an email to reappear at a specified time later. Remind me about this email tomorrow,snooze_email,snooze_email,True,,519.9398994445801,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'messaging_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,3,bounded,793,41,834,True,"['snooze_email', 'send_email', 'schedule_device_job']",1,False,False,,,,[],[]
I need to audit file permissions. Find world-writable files,audit_permissions,audit_permissions,True,,338.3300304412842,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['security_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,600,25,625,True,"['audit_permissions', 'check_file_signature', 'write_log']",1,False,False,,,,[],[]
I need to decode encoded text. URL decode the text,decode_text,decode_text,True,,424.78370666503906,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['image_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,3,bounded,534,16,550,True,"['decode_text', 'read_barcode', 'rss_feed_parse']",1,False,False,,,,[],[]
I want to manage notification segments. Estimate segment size,manage_notification_segments,manage_notification_segments,True,,346.15325927734375,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,notification_operations,"['notification_operations', 'audio_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,3,bounded,767,12,779,True,"['manage_notification_segments', 'create_dashboard', 'split_audio']",1,False,False,,,,[],[]
I need to create an analytics dashboard. Create visualization charts,create_dashboard,create_dashboard,True,,635.3878974914551,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['caching_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,3,bounded,590,110,700,True,"['create_dashboard', 'run_experiment_analysis', 'cache_stats']",1,False,False,,,,[],[]
I need to perform a DNS lookup. Resolve DNS records,dns_lookup,dns_lookup,True,,741.077184677124,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['networking_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,3,bounded,584,32,616,True,"['dns_lookup', 'ping_host', 'batch_geocode']",1,False,False,,,,[],[]
