prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,4404.4013023376465,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['cloud_storage_operations', 'image_operations', 'container_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,5,bounded,1052,25,1077,True,"['search_images', 'detect_objects', 'upscale_image', 'enable_access_logging', 'build_image']",1,False,False,,,,[],[]
Prepare referral summary,generate_patient_summary,generate_patient_summary,True,,503.94320487976074,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['calendar_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,5,bounded,1276,23,1299,True,"['refer_patient', 'generate_patient_summary', 'create_clinical_note', 'document_clinical_note', 'book_room']",2,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,341.69816970825195,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'video_operations', 'math_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,5,bounded,929,13,942,True,"['read_barcode', 'apply_color_grading', 'permutation_combination', 'extract_colors', 'decode_text']",1,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,386.9361877441406,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['iot_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,5,bounded,1146,53,1199,True,"['update_allergy_list', 'reconcile_medications', 'send_patient_message', 'update_device_twin', 'refer_patient']",1,False,False,,,,[],[]
Snooze message for later,snooze_email,snooze_email,True,,406.435489654541,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['notification_operations', 'email_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,5,threshold,968,41,1009,True,"['snooze_email', 'schedule_message', 'set_quiet_hours', 'configure_quiet_hours', 'schedule_message']",1,False,False,,,,[],[]
Check for insecure file permissions,audit_permissions,audit_permissions,True,,575.8237838745117,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['document_operations', 'web_operations', 'backup_operations', 'authentication_operations', 'file_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,20,threshold,3247,36,3283,True,"['audit_permissions', 'check_file_signature', 'get_file_checksum', 'set_permissions', 'check_ssl_certificate', 'calculate_checksum', 'verify_signature', 'verify_signature', 'ssl_certificate_check', 'decrypt_file', 'secrets_scan', 'verify_otp', 'set_owner', 'scan_vulnerabilities', 'scan_vulnerabilities', 'audit_auth_logs', 'get_ssl_info', 'verify_document_signature', 'create_signature', 'verify_backup']",1,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_url,False,,367.28453636169434,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,web_operations,"['image_operations', 'text_operations', 'web_operations', 'system_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1051,12,1063,True,"['decode_url', 'decode_text', 'encode_text', 'read_barcode', 'compress_decompress', 'decrypt_data']",2,False,False,,,,[],[]
Create user segment,manage_notification_segments,segment_users,False,,402.00066566467285,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['notification_operations', 'analytics_operations', 'authentication_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1343,60,1403,True,"['segment_users', 'segment_users', 'create_user', 'manage_notification_segments', 'create_cohort', 'create_customer', 'manage_session']",4,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,364.12620544433594,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['devops_operations', 'monitoring_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,5,bounded,982,73,1055,True,"['create_dashboard', 'create_dashboard', 'create_dashboard', 'create_log_dashboard', 'create_kubernetes_resource']",1,False,False,,,,[],[]
DNS lookup for domain,dns_lookup,dns_lookup,True,,344.30789947509766,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,5,threshold,719,32,751,True,"['dns_lookup', 'whois_lookup', 'configure_email_domain', 'configure_email_domain', 'ssl_certificate_check']",1,False,False,,,,[],[]
