prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Can you download the Minecraft .jar file for version 1.16.5?,downloadminecraftjar,downloadminecraftjar,True,True,536.7484092712402,category_17,medium,llama3.2:3b,,hybrid,2,0,False,True,category_17,"['category_17', 'category_28']",False,False,False,[],,,0,{'minecraftversion': True},,,0,,,273,23,296,,[],,False,False,,,,[],[]
Fetch 3 random movies from the database.,getrandommovie,getrandommovie,True,True,482.58137702941895,category_1,medium,llama3.2:3b,,hybrid,2,0,False,True,category_1,"['category_1', 'category_22']",False,False,False,[],,,0,{'count': True},,,0,,,358,18,376,,[],,False,False,,,,[],[]
"Download an OpenStreetMap tile for zoom level 14, x=2345, y=1234.",local_osm_v1_z_x_y_png,local_osm_v1_z_x_y_png,True,True,641.808271408081,category_28,hard,llama3.2:3b,,hybrid,2,0,False,True,category_28,"['category_28', 'category_17']",False,False,False,[],,,0,"{'y': True, 'z': True, 'x': True}",,,0,,,278,38,316,,[],,False,False,,,,[],[]
Retrieve company data for 'facebook.com'.,get_company_by_domain,get_company_by_domain,True,True,503.6165714263916,category_37,medium,llama3.2:3b,,hybrid,2,0,False,True,category_37,"['category_37', 'category_34']",False,False,False,[],,,0,{'domain': True},,,0,,,352,20,372,,[],,False,False,,,,[],[]
Retrieve the entire list of country names with a limit of 500.,getallcountry,getallcountry,True,True,414.97325897216797,category_34,hard,llama3.2:3b,,hybrid,2,0,False,True,category_34,"['category_34', 'category_37']",False,False,False,[],,,0,"{'limit': True, 'page': True, 'order': True}",,,0,,,358,30,388,,[],,False,False,,,,[],[]
Fetch the third page of data from the EV API.,ev,ev,True,True,475.6157398223877,category_22,medium,llama3.2:3b,,hybrid,2,0,False,True,category_22,"['category_22', 'category_1']",False,False,False,[],,,0,{'page': True},,,0,,,360,16,376,,[],,False,False,,,,[],[]
"What would be the profit from investing $10,000 at an annual return rate of 6% for 5 years?",investment_profit,investment_profit,True,True,629.6460628509521,category_18,hard,llama3.2:3b,,hybrid,2,0,False,True,category_18,"['category_18', 'category_37']",False,False,False,[],,,0,"{'amount': True, 'rate': True, 'years': True}",,,0,,,345,32,377,,[],,False,False,,,,[],[]
I need details about an item with ID 'item007' from the Codester API. What function should I use?,items,items,True,True,508.21375846862793,category_33,medium,llama3.2:3b,,hybrid,2,0,False,True,category_33,"['category_33', 'category_1']",False,False,False,[],,,0,{'is_id': True},,,0,,,376,18,394,,[],,False,False,,,,[],[]
Retrieve the detailed recipe for the cake with ID 'cake101'.,detailed_cake_recipe_by_id,detailed_cake_recipe_by_id,True,True,582.9460620880127,category_37,medium,llama3.2:3b,,hybrid,2,0,False,True,category_37,"['category_37', 'category_1']",False,False,False,[],,,0,{'is_id': True},,,0,,,426,24,450,,[],,False,False,,,,[],[]
"Can you find the details of the product with ID 123456 in the US market, using USD as the currency?",product_id,product_id,True,False,433.6264133453369,category_1,hard,llama3.2:3b,,hybrid,2,0,False,True,category_1,"['category_1', 'category_37']",False,False,False,[],,,0,"{'is_id': True, 'locale': False, 'currency': True, 'country': True}",,,0,,,437,31,468,,[],,False,False,,,,[],[]
