prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Trace user flow,analyze_user_journey,analyze_user_journey,True,,401.5636444091797,analytics_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,analytics_operations,"['analytics_operations', 'database_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1598,49,1647,,[],,False,False,,,,[],[]
Drop the old_status column,drop_column,drop_column,True,,365.97394943237305,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'ecommerce_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1468,24,1492,,[],,False,False,,,,[],[]
Set up API authentication,create_api_key,create_api_key,True,,433.80188941955566,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2512,56,2568,,[],,False,False,,,,[],[]
Generate an RSA key pair,generate_keypair,generate_keypair,True,,557.0981502532959,security_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,security_operations,"['security_operations', 'authentication_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,2476,25,2501,,[],,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,369.7025775909424,file_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,file_operations,"['file_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2396,18,2414,,[],,False,False,,,,[],[]
Remove all rows from the cache table,truncate_table,truncate_table,True,,521.925687789917,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'caching_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,1641,22,1663,,[],,False,False,,,,[],[]
Run directory sync,sync_directory,sync_directory,True,,1089.7376537322998,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['system_operations', 'file_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1707,77,1784,,[],,False,False,,,,[],[]
Create a cron job for the cleanup script,schedule_task,schedule_task,True,,348.1264114379883,system_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,system_operations,"['system_operations', 'email_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1148,49,1197,,[],,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,483.95729064941406,video_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,video_operations,"['video_operations', 'ecommerce_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,2717,52,2769,,[],,False,False,,,,[],[]
Count the number of words in this text,count_text,count_text,True,,510.4413032531738,text_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,text_operations,"['text_operations', 'ai_ml_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1737,23,1760,,[],,False,False,,,,[],[]
