prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,,False,,2631.0386657714844,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_email(to=""recipient@example.com"", subject=""Test Email"", body=""This is a test email"", from=""sender@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['send_email', 'configure_email_domain', 'snooze_email', 'send_template_email', 'configure_email_domain', 'test_email_deliverability', 'get_email_status', 'send_bulk_email', 'set_email_auto_reply', 'handle_bounce']",1,False,False,,,,[],[]
Send templated email,send_template_email,,False,,539.9842262268066,email_operations,expert,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': 'send_template_email(template=""welcome_email"", to=""user@example.com"", variables=\'{""name"": ""John Doe""}\', locale=""en"", from=""support@example.com"")'}",rag,2,0,False,,,['email_operations'],False,False,False,[],,,0,{},,,0,,,,,,True,"['send_template_email', 'create_email_template', 'manage_email_template_variables', 'send_email', 'create_email_signature', 'archive_email', 'send_bulk_email', 'configure_email_domain', 'test_email_deliverability', 'configure_email_domain']",1,False,False,,,,[],[]
Create email template,create_email_template,create_email_template,True,,424.95131492614746,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1843.0,48.0,1891.0,True,"['create_email_template', 'manage_email_template_variables', 'send_template_email', 'create_email_signature', 'manage_email_list', 'archive_email', 'create_email_campaign', 'schedule_email_digest', 'export_emails', 'import_emails']",1,False,False,,,,[],[]
Get delivery status,get_email_status,get_email_status,True,,327.88872718811035,email_operations,medium,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1602.0,20.0,1622.0,True,"['get_email_status', 'test_email_deliverability', 'send_email', 'verify_email_address', 'handle_bounce', 'verify_email_address', 'get_email_headers', 'validate_email', 'get_email_attachments', 'send_bulk_email']",1,False,False,,,,[],[]
Update subscriber,manage_mailing_list,manage_mailing_list,True,,624.0890026092529,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1820.0,34.0,1854.0,True,"['manage_mailing_list', 'manage_email_list', 'schedule_email_digest', 'snooze_email', 'set_email_auto_reply', 'setup_email_automation', 'archive_email', 'send_email', 'create_email_campaign', 'restore_archived_email']",1,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,371.7515468597412,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1740.0,72.0,1812.0,True,"['send_bulk_email', 'send_email', 'create_email_campaign', 'import_emails', 'send_template_email', 'test_email_deliverability', 'configure_email_domain', 'setup_email_automation', 'get_email_status', 'configure_email_domain']",1,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,491.07861518859863,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1707.0,27.0,1734.0,True,"['verify_email_address', 'validate_email', 'verify_email_address', 'configure_email_domain', 'configure_email_domain', 'test_email_deliverability', 'import_emails', 'send_email', 'create_email_signature', 'handle_bounce']",2,False,False,,,,[],[]
Campaign performance,get_email_analytics,analyze_email_metrics,False,,332.20887184143066,email_operations,expert,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1765.0,45.0,1810.0,True,"['analyze_email_metrics', 'create_email_campaign', 'get_email_analytics', 'send_bulk_email', 'test_email_deliverability', 'manage_email_template_variables', 'export_emails', 'get_email_attachments', 'send_template_email', 'get_email_headers']",3,False,False,,,,[],[]
Verify email domain,configure_email_domain,configure_email_domain,True,,460.73222160339355,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1584.0,17.0,1601.0,True,"['configure_email_domain', 'verify_email_address', 'configure_email_domain', 'verify_email_address', 'validate_email', 'test_email_deliverability', 'handle_bounce', 'get_email_status', 'create_email_signature', 'import_emails']",1,False,False,,,,[],[]
List bounced emails,handle_bounce,handle_bounce,True,,339.4596576690674,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1658.0,16.0,1674.0,True,"['handle_bounce', 'manage_mailing_list', 'manage_email_list', 'get_email_status', 'restore_archived_email', 'send_bulk_email', 'test_email_deliverability', 'snooze_email', 'send_email', 'get_email_headers']",1,False,False,,,,[],[]
