prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,5480.228900909424,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'ai_ml_operations', 'testing_operations', 'analytics_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2261.0,48.0,2309.0,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection', 'get_coverage', 'run_mutation_test', 'create_ab_test', 'test_email_deliverability', 'run_ab_test', 'run_experiment_analysis']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2630.871057510376,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'database_operations', 'caching_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,2313.0,26.0,2339.0,True,"['restore_archived_object', 'manage_multipart_upload', 'cache_warm', 'delete_secret', 'backup_database', 'list_backups', 'configure_storage_transfer', 'replicate_backup', 'upload_to_cloud', 'calculate_storage_cost']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,2942.4490928649902,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['cloud_storage_operations', 'ai_ml_operations', 'database_operations', 'compliance_operations', 'authentication_operations', 'rate_limiting_operations', 'text_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2325.0,43.0,2368.0,True,"['run_compliance_check', 'set_object_lock', 'whitelist_key', 'run_ab_test', 'manage_payment_dispute', 'manage_device_trust', 'manage_database_audit', 'create_service_account', 'check_grammar', 'authenticate_user']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2885.464906692505,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['document_operations', 'ai_ml_operations', 'web_operations', 'caching_operations', 'search_operations', 'text_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,2223.0,46.0,2269.0,True,"['extract_text', 'compare_texts', 'extract_keywords', 'generate_text', 'search_text', 'format_text', 'cache_get', 'add_animated_title', 'web_search', 'search_emails']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,2600.85391998291,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['scheduling_operations', 'notification_operations', 'social_media_operations', 'queue_operations', 'calendar_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2288.0,24.0,2312.0,True,"['get_uptime', 'set_quiet_hours', 'set_working_hours', 'configure_quiet_hours', 'book_room', 'pause_scheduled_job', 'get_notification_status', 'create_poll', 'detect_scheduling_conflicts', 'get_queue_metrics']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,3116.016149520874,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['messaging_operations', 'email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2311.0,56.0,2367.0,True,"['manage_mailing_list', 'test_email_deliverability', 'send_bulk_email', 'manage_email_list', 'create_notification_campaign', 'setup_email_automation', 'configure_email_domain', 'manage_push_subscriptions', 'send_push_notification', 'get_notification_analytics']",3.0,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,2531.146764755249,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['cloud_storage_operations', 'database_operations', 'compliance_operations', 'secrets_operations', 'authentication_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,2199.0,26.0,2225.0,True,"['manage_mfa', 'authenticate_user', 'manage_device_trust', 'create_service_account', 'set_object_lock', 'create_user', 'run_compliance_check', 'delete_secret', 'whitelist_key', 'manage_database_audit']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,3480.5967807769775,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,2266.0,82.0,2348.0,True,"['setup_email_automation', 'create_user', 'configure_email_domain', 'test_email_deliverability', 'manage_email_list', 'run_workflow', 'set_auto_response', 'send_bulk_email', 'create_notification_campaign', 'manage_mailing_list']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2623.220920562744,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['scheduling_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2155.0,36.0,2191.0,True,"['cancel_workflow', 'run_workflow', 'pause_scheduled_job', 'create_job_dependency', 'set_quiet_hours', 'retry_failed_jobs', 'schedule_workflow', 'manage_message_queue', 'configure_quiet_hours', 'configure_dead_letter_queue']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2510.097026824951,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['ai_ml_operations', 'ecommerce_operations', 'math_operations', 'devops_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2223.0,23.0,2246.0,True,"['fibonacci', 'number_base_convert', 'percentage', 'manage_ssl_certificate', 'logarithm', 'prime_factorization', 'generate_text', 'solve_system', 'apply_discount', 'create_payout']",1.0,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,3424.9069690704346,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['cloud_storage_operations', 'backup_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'queue_operations', 'payment_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,2490.0,64.0,2554.0,True,"['process_ach_transfer', 'configure_storage_transfer', 'create_payout', 'set_auto_response', 'create_fifo_queue', 'schedule_workflow', 'set_working_hours', 'configure_quiet_hours', 'set_quiet_hours', 'replicate_backup']",1.0,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,2724.1573333740234,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'data_operations', 'web_operations', 'search_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,2119.0,45.0,2164.0,True,"['manage_mailing_list', 'manage_email_list', 'send_bulk_email', 'deduplicate_data', 'test_email_deliverability', 'search_emails', 'setup_email_automation', 'search_text', 'configure_email_domain', 'http_delete']",2.0,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,2888.029098510742,workflow_operations,expert,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['email_operations', 'ai_ml_operations', 'scheduling_operations', 'database_operations', 'container_operations', 'workflow_operations', 'devops_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2105.0,55.0,2160.0,True,"['run_workflow', 'create_job_dependency', 'execute_command', 'setup_email_automation', 'create_pipeline', 'cancel_workflow', 'run_pipeline', 'exec_in_container', 'schedule_workflow', 'manage_database_triggers']",1.0,False,False,,,,[],[]
Mirror the photo,flip_image,flip_image,True,,2726.999282836914,image_operations,hard,llama3.2:3b,,rag,2,0,False,,image_operations,"['image_operations', 'backup_operations', 'ai_ml_operations', 'search_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,2296.0,32.0,2328.0,True,"['flip_image', 'generate_image', 'search_images', 'generate_qr_code', 'replicate_backup', 'compress_image', 'read_barcode', 'create_social_ad', 'manage_social_inbox', 'reply_to_comment']",1.0,False,False,,,,[],[]
Search for images,search_images,search_images,True,,2589.465856552124,search_operations,expert,llama3.2:3b,,rag,2,0,False,,search_operations,"['image_operations', 'file_operations', 'ai_ml_operations', 'web_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,2118.0,36.0,2154.0,True,"['search_images', 'web_search', 'search_files', 'generate_image', 'read_barcode', 'extract_colors', 'extract_colors', 'compress_image', 'search_emails', 'flip_image']",1.0,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,2608.1700325012207,math_operations,expert,llama3.2:3b,,rag,2,0,False,,math_operations,"['email_operations', 'ecommerce_operations', 'data_operations', 'queue_operations', 'math_operations', 'text_operations', 'calendar_operations', 'social_media_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,2185.0,32.0,2217.0,True,"['permutation_combination', 'permutation_combination', 'create_fifo_queue', 'book_room', 'create_video_montage', 'check_grammar', 'manage_email_list', 'apply_discount', 'create_index', 'create_poll']",1.0,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,3574.080228805542,healthcare_operations,expert,llama3.2:3b,,rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'messaging_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2500.0,72.0,2572.0,True,"['send_patient_message', 'send_in_app_message', 'manage_message_queue', 'configure_dead_letter_queue', 'order_imaging_study', 'set_auto_response', 'redrive_messages', 'subscribe_to_queue', 'generate_patient_summary', 'create_fifo_queue']",1.0,False,False,,,,[],[]
View container output,get_container_logs,get_container_logs,True,,2749.727725982666,container_operations,expert,llama3.2:3b,,rag,2,0,False,,container_operations,"['container_operations', 'notification_operations', 'monitoring_operations', 'devops_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,2094.0,47.0,2141.0,True,"['get_container_logs', 'list_containers', 'get_pipeline_status', 'exec_in_container', 'build_image', 'get_alert_status', 'get_notification_analytics', 'create_video_montage', 'add_animated_title', 'get_notification_status']",1.0,False,False,,,,[],[]
Add a unique index to the users table,create_index,create_index,True,,2931.729555130005,data_operations,expert,llama3.2:3b,,rag,2,0,False,,data_operations,"['data_operations', 'database_operations', 'analytics_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2249.0,48.0,2297.0,True,"['create_index', 'create_table', 'create_table', 'segment_users', 'deduplicate_data', 'manage_database_audit', 'generate_uuid', 'add_column', 'create_user', 'drop_column']",1.0,False,False,,,,[],[]
Get metadata for report.pdf in cloud storage,get_cloud_file_info,get_cloud_file_info,True,,2841.9337272644043,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['devops_operations', 'web_operations', 'cloud_storage_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,2244.0,42.0,2286.0,True,"['get_cloud_file_info', 'upload_to_cloud', 'manage_storage_analytics', 'upload_file', 'calculate_storage_cost', 'compare_documents', 'restore_archived_object', 'flatten_pdf', 'extract_text', 'get_pipeline_status']",1.0,False,False,,,,[],[]
