prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3079.9179077148438,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'compliance_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,4,threshold,502,36,538,True,"['ping_host', 'get_uptime', 'run_compliance_check', 'setup_email_automation']",1,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1094.0191745758057,cloud_storage_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'system_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,3,threshold,436,45,481,True,"['restore_archived_object', 'get_uptime', 'extract_text']",1,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,1644.5870399475098,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['email_operations', 'networking_operations', 'document_operations', 'cloud_storage_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1040,44,1084,True,"['run_compliance_check', 'manage_mfa', 'get_uptime', 'cancel_workflow', 'setup_email_automation', 'ping_host', 'extract_text', 'fibonacci', 'restore_archived_object']",1,False,False,,,,[],[]
OCR this scanned document,extract_text,extract_text,True,,2360.949993133545,document_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['cloud_storage_operations', 'document_operations', 'networking_operations', 'email_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,10,elbow,1154,84,1238,True,"['extract_text', 'fibonacci', 'run_compliance_check', 'restore_archived_object', 'manage_mfa', 'cancel_workflow', 'get_uptime', 'ping_host', 'send_bulk_email', 'setup_email_automation']",1,False,False,,,,[],[]
How long has the system been running?,get_uptime,get_uptime,True,,1246.7999458312988,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['cloud_storage_operations', 'networking_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,7,threshold,828,30,858,True,"['get_uptime', 'run_compliance_check', 'fibonacci', 'ping_host', 'restore_archived_object', 'cancel_workflow', 'manage_mfa']",1,False,False,,,,[],[]
Mass email announcement,send_bulk_email,send_bulk_email,True,,1912.9209518432617,email_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'document_operations', 'networking_operations', 'compliance_operations', 'workflow_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,7,threshold,820,75,895,True,"['send_bulk_email', 'setup_email_automation', 'extract_text', 'fibonacci', 'cancel_workflow', 'run_compliance_check', 'ping_host']",1,False,False,,,,[],[]
Set up authenticator app,manage_mfa,manage_mfa,True,,787.3251438140869,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['authentication_operations', 'compliance_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,3,threshold,453,25,478,True,"['manage_mfa', 'run_compliance_check', 'setup_email_automation']",1,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,2284.3077182769775,email_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'document_operations', 'cloud_storage_operations', 'compliance_operations', 'authentication_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,7,threshold,900,97,997,True,"['setup_email_automation', 'send_bulk_email', 'manage_mfa', 'run_compliance_check', 'fibonacci', 'extract_text', 'restore_archived_object']",1,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1291.7649745941162,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['email_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,7,threshold,826,34,860,True,"['cancel_workflow', 'setup_email_automation', 'run_compliance_check', 'manage_mfa', 'send_bulk_email', 'get_uptime', 'fibonacci']",1,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,1329.1857242584229,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,"['cloud_storage_operations', 'networking_operations', 'document_operations', 'email_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1045,23,1068,True,"['fibonacci', 'get_uptime', 'ping_host', 'manage_mfa', 'extract_text', 'cancel_workflow', 'restore_archived_object', 'run_compliance_check', 'setup_email_automation']",1,False,False,,,,[],[]
