prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,3675.457239151001,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,bounded,395,36,431,True,"['ping_host', 'check_port', 'port_scan']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1403.106927871704,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['database_operations', 'caching_operations', 'backup_operations', 'secrets_operations', 'cloud_storage_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,10,threshold,1085,27,1112,True,"['restore_archived_object', 'restore_database', 'restore_archived_email', 'restore_database', 'restore_cache', 'restore_secret', 'restore_backup', 'backup_cache', 'configure_storage_transfer', 'import_cache_data']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1266.8921947479248,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,7,threshold,937,25,962,True,"['verify_jwt', 'track_vendor_compliance', 'classify_data', 'verify_otp', 'manage_identity_verification', 'run_compliance_check', 'manage_policy']",6.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2183.5341453552246,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['ai_ml_operations', 'file_operations', 'document_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,20,bounded,1990,17,2007,True,"['extract_text_from_document', 'extract_text', 'extract_text', 'decode_text', 'search_text', 'summarize_text', 'search_file_content', 'split_text', 'trim_text', 'count_text', 'compare_texts', 'extract_entities', 'classify_text', 'parse_html', 'format_text', 'generate_text', 'parse_html', 'encode_text', 'word_count', 'replace_text']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,2380.1631927490234,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['devops_operations', 'networking_operations', 'caching_operations', 'system_operations', 'cloud_storage_operations', 'queue_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,20,bounded,1960,30,1990,True,"['get_uptime', 'warm_cache', 'get_current_datetime', 'enable_access_logging', 'restore_cache', 'retry_failed_jobs', 'rollback_deployment', 'enable_bucket_versioning', 'configure_cache_persistence', 'configure_lifecycle_rules', 'get_system_info', 'redrive_messages', 'get_network_info', 'manage_firmware', 'redrive_messages', 'get_memory_info', 'manage_cache_policy', 'get_device_status', 'check_port', 'port_scan']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,manage_email_list,False,,1193.2129859924316,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,4,threshold,537,44,581,False,"['snooze_email', 'manage_mailing_list', 'schedule_email_digest', 'manage_email_list']",,False,False,,,,[],[]
Disable MFA for user,manage_mfa,disable_mfa,False,,1118.8790798187256,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,elbow,437,45,482,True,"['disable_mfa', 'enable_mfa', 'manage_mfa']",3.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,3499.2048740386963,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['messaging_operations', 'email_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2278,80,2358,True,"['setup_email_automation', 'set_email_auto_reply', 'import_emails', 'create_email_campaign', 'snooze_email', 'manage_email_template_variables', 'test_email_deliverability', 'set_auto_response', 'schedule_email_digest', 'validate_email', 'export_emails', 'send_bulk_email', 'create_email_template', 'send_email', 'verify_email_address', 'send_template_email', 'verify_email_address', 'send_email', 'schedule_message', 'manage_email_list']",1.0,False,False,,,,[],[]
Stop workflow execution,cancel_workflow,cancel_workflow,True,,1191.056489944458,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['system_operations', 'container_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,6,threshold,640,37,677,True,"['cancel_workflow', 'run_workflow', 'stop_container', 'retry_workflow_step', 'kill_process', 'get_workflow_status']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,677.2148609161377,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,312,23,335,True,"['fibonacci', 'fibonacci', 'round_number']",1.0,False,False,,,,[],[]
