prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Map conversion journey,analyze_user_journey,,False,,730.2992343902588,analytics_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2733,330,3063,,[],,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,execute_query,False,,944.3156719207764,data_operations,hard,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,8017,31,8048,,[],,False,False,,,,[],[]
Generate service token,create_api_key,generate_api_key,False,,987.9293441772461,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,security_operations,['security_operations'],False,False,False,[],,,0,{},,,0,,,8391,28,8419,,[],,False,False,,,,[],[]
Generate an Ed25519 key pair,generate_keypair,generate_keypair,True,,799.0081310272217,security_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,security_operations,['security_operations'],False,False,False,[],,,0,{},,,0,,,8399,25,8424,,[],,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,,False,,430.55248260498047,file_operations,hard,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2737,117,2854,,[],,False,False,,,,[],[]
Remove all rows from the cache table,truncate_table,cache_invalidate,False,,1571.688175201416,data_operations,hard,llama-3.3-70b,,clustering,2,0,False,False,caching_operations,['caching_operations'],False,False,False,[],,,0,{},,,0,,,7578,22,7600,,[],,False,False,,,,[],[]
Connect LDAP directory,sync_directory,,False,,545.5715656280518,authentication_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2733,376,3109,,[],,False,False,,,,[],[]
Schedule this task to run every hour,schedule_task,create_scheduled_job,False,,706.4380645751953,system_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,scheduling_operations,['scheduling_operations'],False,False,False,[],,,0,{},,,0,,,4458,39,4497,,[],,False,False,,,,[],[]
Overlay image on video,add_video_overlay,add_video_overlay,True,,860.3100776672363,video_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,video_operations,['video_operations'],False,False,False,[],,,0,{},,,0,,,8410,64,8474,,[],,False,False,,,,[],[]
Count the lines in the document,count_text,,False,,393.36442947387695,text_operations,hard,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2736,45,2781,,[],,False,False,,,,[],[]
