prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please check if a host is reachable. Ping this address,ping_host,ping_host,True,,3881.6120624542236,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['calendar_operations', 'networking_operations', 'system_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1127,36,1163,True,"['ping_host', 'port_scan', 'traceroute', 'check_url_status', 'get_network_info', 'get_network_interfaces', 'ssl_certificate_check', 'create_vpn_connection', 'check_availability', 'set_presence_status']",1,False,False,,,,[],[]
I need to restore an archived object from cloud storage. Restore file from Glacier,restore_archived_object,restore_archived_object,True,,2111.3522052764893,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['database_operations', 'cloud_storage_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1395,51,1446,True,"['restore_archived_object', 'download_from_cloud', 'copy_cloud_file', 'upload_to_cloud', 'get_cloud_file_info', 'sync_buckets', 'restore_cache', 'restore_database', 'configure_storage_transfer', 'setup_replication']",1,False,False,,,,[],[]
I need to run a regulatory compliance check. Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,1671.947956085205,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['ecommerce_operations', 'compliance_operations', 'database_operations', 'authentication_operations', 'testing_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1427,21,1448,True,"['run_compliance_check', 'track_vendor_compliance', 'manage_exception', 'manage_database_audit', 'classify_data', 'manage_data_retention', 'manage_identity_verification', 'run_accessibility_test', 'configure_tax_rules', 'monitor_metrics']",1,False,False,,,,[],[]
I need to extract text from a document. Get the text content,extract_text,extract_text_from_document,False,,1905.9739112854004,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['document_operations', 'image_operations', 'file_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1233,47,1280,True,"['extract_text_from_document', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'extract_entities', 'search_text', 'decode_text', 'search_file_content', 'split_document']",2,False,False,,,,[],[]
I need to check system uptime. When was the server last rebooted?,get_uptime,get_uptime,True,,1301.5377521514893,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['system_operations', 'calendar_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1052,18,1070,True,"['get_uptime', 'get_current_datetime', 'get_system_info', 'manage_service', 'get_network_info', 'check_availability', 'get_memory_info', 'setup_monitoring_alert', 'get_disk_info', 'sleep_delay']",1,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Send bulk email,send_bulk_email,send_bulk_email,True,,2295.0448989868164,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['location_operations', 'email_operations', 'notification_operations', 'messaging_operations', 'web_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1400,61,1461,True,"['send_bulk_email', 'broadcast_message', 'manage_notification_digest', 'send_email', 'batch_delete_messages', 'batch_geocode', 'schedule_message', 'create_message_template', 'create_notification_campaign', 'import_emails']",1,False,False,,,,[],[]
I need to configure multi-factor authentication. Enable two-factor authentication,manage_mfa,manage_mfa,True,,1541.447401046753,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1335,18,1353,True,"['manage_mfa', 'configure_auth_policy', 'generate_totp_secret', 'manage_device_trust', 'manage_identity_verification', 'create_service_account', 'verify_otp', 'authenticate_user', 'configure_email_domain', 'create_user']",1,False,False,,,,[],[]
I need to create automated email workflows triggered by events or schedules. Automate onboarding emails,setup_email_automation,setup_email_automation,True,,2281.402826309204,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['workflow_operations', 'scheduling_operations', 'database_operations', 'email_operations', 'ai_ml_operations', 'messaging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1434,58,1492,True,"['setup_email_automation', 'schedule_email_digest', 'create_notification_workflow', 'create_scheduled_job', 'schedule_message', 'schedule_workflow', 'manage_database_triggers', 'set_auto_response', 'create_pipeline', 'run_workflow']",1,False,False,,,,[],[]
I need to cancel a running workflow. Cancel the workflow,cancel_workflow,cancel_workflow,True,,1550.5101680755615,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['workflow_operations', 'scheduling_operations', 'system_operations', 'payment_operations', 'file_operations', 'queue_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1060,37,1097,True,"['cancel_workflow', 'cancel_notification', 'kill_process', 'retry_workflow_step', 'void_payment', 'pause_scheduled_job', 'delete_file', 'run_workflow', 'purge_queue', 'retry_failed_jobs']",1,False,False,,,,[],[]
I need to work with Fibonacci numbers. What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,1483.0429553985596,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['document_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,1188,23,1211,True,"['fibonacci', 'logarithm', 'exponentiation', 'factorial', 'modular_arithmetic', 'number_base_convert', 'add_page_numbers', 'prime_factorization', 'trigonometry', 'ratio_proportion']",1,False,False,,,,[],[]
I need to process an ACH transfer. Debit customer's bank account,process_ach_transfer,process_ach_transfer,True,,1982.5458526611328,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['payment_operations', 'ecommerce_operations', 'database_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1244,52,1296,True,"['process_ach_transfer', 'create_payout', 'verify_bank_account', 'create_service_account', 'create_user', 'get_payment_balance', 'execute_transaction', 'create_order', 'create_invoice', 'get_payment_status']",1,False,False,,,,[],[]
"I need to create, update, or manage email subscriber lists. Clean invalid emails",manage_email_list,manage_email_list,True,,1755.6869983673096,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,1179,40,1219,True,"['manage_mailing_list', 'manage_email_list', 'schedule_email_digest', 'import_emails', 'archive_email', 'test_email_deliverability', 'send_bulk_email', 'handle_bounce', 'setup_email_automation', 'configure_email_domain']",2,False,False,,,,[],[]
Please execute a workflow. Run the workflow,run_workflow,run_workflow,True,,1764.0390396118164,workflow_operations,expert,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['workflow_operations', 'scheduling_operations', 'email_operations', 'ai_ml_operations', 'payment_operations', 'queue_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1265,37,1302,True,"['run_workflow', 'retry_workflow_step', 'setup_email_automation', 'enqueue_job', 'cancel_workflow', 'create_notification_workflow', 'run_job_now', 'process_ach_transfer', 'create_scheduled_job', 'create_pipeline']",1,False,False,,,,[],[]
