prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Update session hash,cache_hash_ops,extract_keywords,False,,3416.4419174194336,caching_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2616,65,2681,,[],,False,False,,,,[],[]
Set up dead letter queue,set_redrive_policy,configure_dead_letter_queue,False,,4028.5332202911377,queue_operations,expert,llama3.2:3b,,clustering,2,0,False,True,queue_operations,['queue_operations'],False,False,False,[],,,0,{},,,0,,,3222,70,3292,,[],,False,False,,,,[],[]
Turn on request logging,enable_access_logging,validate_json,False,,7218.262195587158,cloud_storage_operations,expert,llama3.2:3b,,clustering,4,1,False,False,web_operations,"['text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,5612,134,5746,,[],,False,False,,,,[],[]
Group devices by location,create_device_group,,False,,5800.821304321289,iot_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,text_operations,"['location_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,5018,62,5080,,[],,False,False,,,,[],[]
Search for similar articles,semantic_search,,False,,6023.991107940674,ai_ml_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,text_operations,"['text_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,5262,62,5324,,[],,False,False,,,,[],[]
Create a product listing,create_product,,False,,4152.323961257935,ecommerce_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,web_operations,['web_operations'],False,False,False,[],,,0,{},,,0,,,2968,103,3071,,[],,False,False,,,,[],[]
Like the message,create_message_reaction,,False,,1851.240873336792,messaging_operations,hard,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1739,12,1751,,[],,False,False,,,,[],[]
Find files with the same content in the directory,find_duplicates,find_duplicates,True,,1102.248191833496,file_operations,expert,llama3.2:3b,,clustering,2,0,False,True,file_operations,['file_operations'],False,False,False,[],,,0,{},,,0,,,2363,33,2396,,[],,False,False,,,,[],[]
Upload new firmware,manage_firmware,,False,,12091.219902038574,iot_operations,expert,llama3.2:3b,No tool selected in step,clustering,8,3,False,False,system_operations,"['system_operations', 'system_operations', 'web_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,10262,141,10403,,[],,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,4019.4876194000244,queue_operations,hard,llama3.2:3b,,clustering,2,0,False,True,queue_operations,['queue_operations'],False,False,False,[],,,0,{},,,0,,,3218,69,3287,,[],,False,False,,,,[],[]
