prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,4152.721166610718,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,bounded,427,23,450,True,"['ping_host', 'traceroute', 'get_network_info']",1.0,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,download_from_cloud,False,,1635.0297927856445,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['caching_operations', 'backup_operations', 'cloud_storage_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1288,27,1315,True,"['restore_archived_object', 'download_from_cloud', 'restore_cache', 'restore_database', 'copy_cloud_file', 'restore_database', 'import_cache_data', 'restore_backup', 'upload_to_cloud']",1.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,904.0470123291016,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,3,bounded,501,26,527,True,"['manage_database_audit', 'track_vendor_compliance', 'run_compliance_check']",3.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2355.0498485565186,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['file_operations', 'document_operations', 'web_operations', 'email_operations', 'text_operations', 'image_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,16,threshold,1841,39,1880,True,"['extract_text_from_document', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'search_file_content', 'search_text', 'decode_text', 'extract_entities', 'replace_text', 'get_email_headers', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'trim_text']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,950.9811401367188,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['caching_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,bounded,465,30,495,True,"['get_uptime', 'manage_service', 'manage_cache_policy']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,3171.483039855957,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['web_operations', 'email_operations', 'notification_operations', 'location_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2465,51,2516,True,"['send_bulk_email', 'broadcast_message', 'send_email', 'import_emails', 'test_email_deliverability', 'configure_email_domain', 'setup_email_automation', 'create_message_template', 'send_push_notification', 'configure_email_domain', 'export_emails', 'manage_email_list', 'get_email_headers', 'archive_email', 'schedule_message', 'send_telegram_message', 'batch_geocode', 'manage_mailing_list', 'manage_notification_digest', 'create_email_signature']",1.0,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,1550.8272647857666,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1301,18,1319,True,"['manage_mfa', 'configure_auth_policy', 'generate_totp_secret', 'manage_device_trust', 'create_service_account', 'manage_identity_verification', 'verify_otp', 'create_user', 'authenticate_user']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,setup_email_automation,True,,2998.530864715576,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['web_operations', 'email_operations', 'notification_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2537,34,2571,True,"['setup_email_automation', 'import_emails', 'set_auto_response', 'schedule_email_digest', 'test_email_deliverability', 'manage_email_list', 'send_email', 'create_email_signature', 'send_bulk_email', 'archive_email', 'create_message_template', 'configure_email_domain', 'handle_bounce', 'export_emails', 'schedule_message', 'broadcast_message', 'manage_mailing_list', 'configure_email_domain', 'create_notification_campaign', 'create_notification_workflow']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1134.9561214447021,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'scheduling_operations', 'payment_operations', 'notification_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,6,threshold,686,31,717,True,"['cancel_workflow', 'cancel_notification', 'void_payment', 'retry_workflow_step', 'pause_scheduled_job', 'kill_process']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,762.0987892150879,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,398,23,421,True,"['fibonacci', 'factorial', 'logarithm']",1.0,False,False,,,,[],[]
Debit customer's bank account,process_ach_transfer,create_payout,False,,1188.5197162628174,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,3,threshold,462,51,513,False,"['create_payout', 'verify_bank_account', 'get_payment_balance']",,False,False,,,,[],[]
Clean invalid emails,manage_email_list,import_emails,False,,2689.8279190063477,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['search_operations', 'email_operations', 'web_operations', 'queue_operations', 'location_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,20,threshold,2284,31,2315,True,"['handle_bounce', 'test_email_deliverability', 'import_emails', 'search_emails', 'archive_email', 'cache_invalidate', 'configure_email_domain', 'manage_mailing_list', 'get_email_headers', 'manage_email_list', 'create_email_signature', 'export_emails', 'send_bulk_email', 'configure_dead_letter_queue', 'validate_address', 'send_email', 'schedule_email_digest', 'setup_email_automation', 'purge_queue', 'configure_email_domain']",10.0,False,False,,,,[],[]
Run the workflow,run_workflow,run_workflow,True,,1894.9222564697266,workflow_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'email_operations', 'ecommerce_operations', 'scheduling_operations', 'queue_operations', 'notification_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,11,threshold,1393,37,1430,True,"['run_workflow', 'create_notification_workflow', 'setup_email_automation', 'create_pipeline', 'cancel_workflow', 'retry_workflow_step', 'enqueue_job', 'schedule_workflow', 'update_order_status', 'run_job_now', 'create_scheduled_job']",1.0,False,False,,,,[],[]
Create a mirror image,flip_image,flip_image,True,,1212.9430770874023,image_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,4,threshold,689,36,725,True,"['flip_image', 'generate_image', 'create_collage', 'overlay_images']",1.0,False,False,,,,[],[]
Find photos of beaches,search_images,search_images,True,,867.149829864502,search_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['search_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,3,bounded,534,24,558,True,"['search_images', 'manage_container_registry', 'manage_container_registry']",1.0,False,False,,,,[],[]
Calculate 52 choose 5,permutation_combination,permutation_combination,True,,870.3217506408691,math_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,432,31,463,True,"['permutation_combination', 'permutation_combination', 'factorial']",1.0,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,1151.0601043701172,healthcare_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,4,threshold,680,35,715,True,"['send_patient_message', 'send_discord_message', 'send_in_app_message', 'set_presence_status']",1.0,False,False,,,,[],[]
