prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Check if this is a real address,validate_address,,False,,3621.748924255371,location_operations,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['security_operations', 'email_operations', 'authentication_operations', 'location_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,989,45,1034,True,"['validate_address', 'reverse_geocode', 'verify_email_address', 'whois_lookup', 'dns_lookup', 'configure_email_domain', 'manage_identity_verification', 'test_email_deliverability', 'verify_password_hash', 'get_timezone']",1,False,False,,,,[],[]
Set up kit pricing,manage_product_bundles,configure_tax_rules,False,,1754.5878887176514,ecommerce_operations,expert,llama3.2:3b,,rag,2,0,False,,ecommerce_operations,"['ecommerce_operations', 'security_operations', 'payment_operations', 'cloud_storage_operations', 'calendar_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,1371,39,1410,True,"['manage_product_bundles', 'calculate_payment_fees', 'apply_coupon', 'create_quota', 'create_invoice', 'update_inventory', 'configure_lifecycle_rules', 'configure_tax_rules', 'create_event_template', 'generate_jwt']",1,False,False,,,,[],[]
Process queue messages,process_jobs,process_jobs,True,,1659.5039367675781,queue_operations,expert,llama3.2:3b,,rag,2,0,False,,queue_operations,"['queue_operations', 'testing_operations', 'messaging_operations', 'caching_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1224,45,1269,True,"['batch_delete_messages', 'get_queue_metrics', 'process_jobs', 'schedule_message', 'schedule_notification', 'schedule_recurring', 'send_patient_message', 'cache_list_ops', 'send_notification', 'run_chaos_testing']",3,False,False,,,,[],[]
Make a snapshot,create_backup,,False,,1375.1471042633057,backup_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['backup_operations', 'database_operations', 'container_operations', 'caching_operations', 'image_operations', 'calendar_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1175,23,1198,True,"['create_backup', 'backup_cache', 'schedule_backup', 'replicate_cache', 'create_collage', 'push_image', 'replicate_database', 'upload_file', 'compress_image', 'export_calendar']",1,False,False,,,,[],[]
Import SSL certificate,manage_ssl_certificate,manage_ssl_certificate,True,,1456.4476013183594,devops_operations,expert,llama3.2:3b,,rag,2,0,False,,devops_operations,"['search_operations', 'security_operations', 'database_operations', 'email_operations', 'authentication_operations', 'cloud_storage_operations', 'calendar_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1257,25,1282,True,"['manage_ssl_certificate', 'manage_database_encryption', 'manage_identity_verification', 'decrypt_file', 'export_calendar', 'bulk_index', 'verify_password_hash', 'verify_email_address', 'configure_storage_transfer', 'generate_jwt']",1,False,False,,,,[],[]
Set up sales tax,configure_tax_rules,configure_tax_rules,True,,1813.1957054138184,ecommerce_operations,expert,llama3.2:3b,,rag,2,0,False,,ecommerce_operations,"['ecommerce_operations', 'payment_operations', 'email_operations', 'cloud_storage_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,1253,55,1308,True,"['configure_tax_rules', 'manage_product_bundles', 'create_invoice', 'calculate_payment_fees', 'update_inventory', 'apply_coupon', 'configure_lifecycle_rules', 'test_email_deliverability', 'create_quota', 'configure_email_domain']",1,False,False,,,,[],[]
Remove processed messages,batch_delete_messages,batch_delete_messages,True,,1326.5633583068848,queue_operations,hard,llama3.2:3b,,rag,2,0,False,,queue_operations,"['queue_operations', 'messaging_operations', 'audio_operations', 'database_operations', 'workflow_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1188,19,1207,True,"['batch_delete_messages', 'remove_noise', 'schedule_message', 'send_patient_message', 'cancel_workflow', 'send_notification', 'create_notification_template', 'process_jobs', 'execute_transaction', 'schedule_notification']",1,False,False,,,,[],[]
Define a user cohort,segment_users,segment_users,True,,2024.9419212341309,analytics_operations,expert,llama3.2:3b,,rag,2,0,False,,analytics_operations,"['security_operations', 'authentication_operations', 'analytics_operations', 'rate_limiting_operations', 'social_media_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1494,51,1545,True,"['segment_users', 'predict_churn', 'authenticate_user', 'manage_followers', 'send_patient_message', 'manage_identity_verification', 'configure_session_policy', 'sync_directory', 'create_quota', 'generate_jwt']",1,False,False,,,,[],[]
Show fee breakdown,calculate_payment_fees,get_payment_balance,False,,1580.376148223877,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['ecommerce_operations', 'queue_operations', 'math_operations', 'payment_operations', 'text_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,1185,41,1226,True,"['calculate_payment_fees', 'get_quota_usage', 'create_quota', 'get_payment_balance', 'get_queue_metrics', 'manage_product_bundles', 'apply_coupon', 'create_invoice', 'probability', 'count_text']",1,False,False,,,,[],[]
Create event template,create_event_template,create_event_template,True,,2163.6548042297363,calendar_operations,expert,llama3.2:3b,,rag,2,0,False,,calendar_operations,"['math_operations', 'data_operations', 'image_operations', 'iot_operations', 'calendar_operations', 'file_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1306,80,1386,True,"['create_event_template', 'create_notification_template', 'create_collage', 'watch_directory', 'export_calendar', 'create_view', 'configure_iot_stream', 'register_device', 'probability', 'document_procedure']",1,False,False,,,,[],[]
