prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,1679.4757843017578,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'testing_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1031,36,1067,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2707.327127456665,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1856,45,1901,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,2206.47931098938,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'testing_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1428,43,1471,,[],,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2707.6072692871094,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['text_operations', 'document_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,1638,60,1698,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,2649.472951889038,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['calendar_operations', 'notification_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2028,30,2058,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,3747.267246246338,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'notification_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2212,81,2293,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,1649.6467590332031,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,1163,27,1190,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2448.812961578369,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'ai_ml_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,,,1586,47,1633,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2148.2017040252686,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1477,37,1514,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2749.671697616577,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'file_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,2209,23,2232,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,2791.06068611145,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'calendar_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1815,52,1867,,[],,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,2014.6536827087402,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'messaging_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,1518,25,1543,,[],,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,1941.1280155181885,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'ai_ml_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,1312,35,1347,,[],,False,False,,,,[],[]
Mirror the photo,flip_image,flip_image,True,,2182.7049255371094,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'backup_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,1492,37,1529,,[],,False,False,,,,[],[]
Search for images,search_images,search_images,True,,2465.372085571289,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'image_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,1767,40,1807,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,2939.4121170043945,math_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'ecommerce_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,2243,31,2274,,[],,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,2983.5739135742188,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['messaging_operations', 'healthcare_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2367,26,2393,,[],,False,False,,,,[],[]
View container output,get_container_logs,exec_in_container,False,,1931.0588836669922,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'video_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1461,24,1485,,[],,False,False,,,,[],[]
Add a unique index to the users table,create_index,create_index,True,,3123.997926712036,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2223,43,2266,,[],,False,False,,,,[],[]
Get metadata for report.pdf in cloud storage,get_cloud_file_info,get_cloud_file_info,True,,2809.6654415130615,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'document_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,2130,31,2161,,[],,False,False,,,,[],[]
Get scheduled tasks,list_scheduled_jobs,list_scheduled_jobs,True,,2362.4162673950195,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'calendar_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,,,1499,48,1547,,[],,False,False,,,,[],[]
Search logs for 'connection refused',manage_logs,log_search_event,False,,2048.4349727630615,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,search_operations,"['networking_operations', 'search_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,1104,54,1158,,[],,False,False,,,,[],[]
Run mutation testing,run_mutation_test,run_mutation_test,True,,2056.889295578003,testing_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,testing_operations,"['testing_operations', 'compliance_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,1330,40,1370,,[],,False,False,,,,[],[]
Docker build,build_image,build_image,True,,2524.3499279022217,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'devops_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,1832,36,1868,,[],,False,False,,,,[],[]
Add read replica,manage_database_replication,replicate_backup,False,,2290.695905685425,database_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,backup_operations,"['backup_operations', 'cloud_storage_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,1855,20,1875,,[],,False,False,,,,[],[]
Upsert the product record by SKU,upsert_record,upsert_record,True,,3381.166458129883,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'ecommerce_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,2052,71,2123,,[],,False,False,,,,[],[]
Deduplicate the contacts table,deduplicate_data,deduplicate_data,True,,2492.032051086426,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'calendar_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,2201,52,2253,,[],,False,False,,,,[],[]
Update push preferences,manage_push_subscriptions,manage_push_subscriptions,True,,3207.0939540863037,notification_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,notification_operations,"['notification_operations', 'messaging_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,2212,50,2262,,[],,False,False,,,,[],[]
Add a phone column to the users table,add_column,add_column,True,,3921.9441413879395,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['authentication_operations', 'healthcare_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,2869,44,2913,,[],,False,False,,,,[],[]
Replicate backup to DR site,replicate_backup,replicate_backup,True,,2794.2299842834473,backup_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'cloud_storage_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,2296,19,2315,,[],,False,False,,,,[],[]
Trim the video from 1:30 to 5:00,trim_video,trim_video,True,,2560.455083847046,video_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,video_operations,"['video_operations', 'rate_limiting_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,1736,44,1780,,[],,False,False,,,,[],[]
List active alerts,get_alert_status,get_alert_status,True,,2516.1430835723877,monitoring_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,monitoring_operations,"['monitoring_operations', 'notification_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1778,38,1816,,[],,False,False,,,,[],[]
Verify email domain,configure_email_domain,configure_email_domain,True,,2181.986093521118,email_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,1453,41,1494,,[],,False,False,,,,[],[]
Create CCD document,generate_patient_summary,generate_document_from_template,False,,2706.670045852661,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,document_operations,"['document_operations', 'ecommerce_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,1579,64,1643,,[],,False,False,,,,[],[]
Check if these two audio files match,audio_fingerprint,audio_fingerprint,True,,3099.400043487549,audio_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,audio_operations,"['audio_operations', 'file_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,2092,53,2145,,[],,False,False,,,,[],[]
