prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send an email,send_email,send_email,True,,591.6845798492432,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,35,7171,,[],,False,False,,,,[],[]
Send welcome email,send_template_email,send_email,False,,970.2112674713135,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,51,7187,,[],,False,False,,,,[],[]
Set up email template,create_email_template,create_email_template,True,,538.8925075531006,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7137,47,7184,,[],,False,False,,,,[],[]
Was the email delivered?,get_email_status,get_email_status,True,,451.91431045532227,email_operations,medium,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7138,20,7158,,[],,False,False,,,,[],[]
Unsubscribe from newsletter,manage_mailing_list,manage_mailing_list,True,,630.927324295044,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7137,23,7160,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_email,False,,542.8934097290039,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,55,7191,,[],,False,False,,,,[],[]
Validate email address,validate_email,validate_email,True,,510.48731803894043,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,27,7163,,[],,False,False,,,,[],[]
Get email analytics,get_email_analytics,get_email_analytics,True,,471.7080593109131,email_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,28,7164,,[],,False,False,,,,[],[]
Check domain authentication,configure_email_domain,configure_email_domain,True,,60815.7172203064,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7136,17,7153,,[],,False,False,,,,[],[]
Handle email bounces,handle_bounce,handle_bounce,True,,433.9430332183838,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7137,43,7180,,[],,False,False,,,,[],[]
