prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Alert when temperature exceeds 30,configure_device_alert,configure_device_alert,True,,3257.884740829468,iot_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2527.0,58.0,2585.0,,[],,False,False,,,,[],[]
Export analytics report,generate_report,generate_report,True,,749.3002414703369,social_media_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2524.0,56.0,2580.0,,[],,False,False,,,,[],[]
Complete discharge documentation,generate_discharge_summary,,False,,1284.6219539642334,healthcare_operations,hard,llama3.2:3b,Object of type ellipsis is not JSON serializable,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,,,,,[],,False,False,,,,[],[]
Write a tweet about our new feature,generate_content,generate_content,True,,633.7919235229492,social_media_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2528.0,47.0,2575.0,,[],,False,False,,,,[],[]
Archive orders older than one year,archive_data,archive_data,True,,827.1796703338623,data_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2527.0,64.0,2591.0,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,357.7561378479004,math_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2529.0,23.0,2552.0,,[],,False,False,,,,[],[]
Validate the card before charging,verify_payment_method,verify_payment_method,True,,654.7300815582275,payment_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2526.0,49.0,2575.0,,[],,False,False,,,,[],[]
Acquire distributed lock,manage_cache_locks,manage_cache_locks,True,,686.812162399292,caching_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2525.0,52.0,2577.0,,[],,False,False,,,,[],[]
Give me walking directions to the restaurant,get_directions,get_directions,True,,608.2062721252441,location_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2528.0,45.0,2573.0,,[],,False,False,,,,[],[]
Calculate the MD5 checksum of this text,hash_data,hash_data,True,,447.1607208251953,system_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2529.0,31.0,2560.0,,[],,False,False,,,,[],[]
