prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send notification digest,send_digest_notification,send_digest_notification,True,,26001.060247421265,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,notification_operations,"['notification_operations', 'ecommerce_operations', 'queue_operations', 'email_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2819,58,2877,True,"['send_digest_notification', 'manage_notification_digest', 'pin_message', 'send_email', 'manage_subscription', 'broadcast_message', 'get_notification_analytics', 'send_whatsapp_message', 'batch_send_messages', 'update_order_status']",1.0,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,529.6399593353271,backup_operations,hard,llama-3.3-70b,,rag,2,0,False,,backup_operations,"['secrets_operations', 'authentication_operations', 'database_operations', 'ecommerce_operations', 'system_operations', 'email_operations', 'compliance_operations', 'security_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,2607,30,2637,True,"['verify_backup', 'verify_email_address', 'validate_email', 'hash_data', 'restore_database', 'check_fraud_risk', 'check_password_strength', 'get_secret_versions', 'manage_exception', 'disable_mfa']",1.0,False,False,,,,[],[]
Set up data annotation,create_labeling_job,create_labeling_job,True,,530.8480262756348,ai_ml_operations,expert,llama-3.3-70b,,rag,2,0,False,,ai_ml_operations,"['social_media_operations', 'analytics_operations', 'ecommerce_operations', 'payment_operations', 'email_operations', 'messaging_operations', 'document_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,3031,72,3103,True,"['create_labeling_job', 'manage_email_template_variables', 'flatten_pdf', 'text_to_speech', 'pin_message', 'analyze_sentiment', 'manage_loyalty_program', 'compare_models', 'compute_attribution', 'generate_payment_report']",1.0,False,False,,,,[],[]
Prioritize recent content,boost_search_results,search_documents,False,,443.52149963378906,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['social_media_operations', 'notification_operations', 'search_operations', 'messaging_operations', 'cloud_storage_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,2899,45,2944,False,"['search_documents', 'manage_storage_intelligent_tiering', 'send_digest_notification', 'manage_notification_digest', 'pin_message', 'schedule_meeting_poll', 'create_social_campaign', 'reindex', 'manage_subscription', 'broadcast_message']",,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,604.6946048736572,data_operations,expert,llama-3.3-70b,,rag,2,0,False,,data_operations,"['database_operations', 'data_operations', 'logging_operations', 'testing_operations', 'payment_operations', 'analytics_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2754,39,2793,True,"['export_csv', 'generate_payment_report', 'http_get', 'execute_query', 'resolve_dns', 'get_coverage', 'decode_url', 'aggregate_logs', 'pivot_data', 'create_dashboard']",1.0,False,False,,,,[],[]
Set up audit trigger,manage_database_triggers,manage_database_triggers,True,,501.50299072265625,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['authentication_operations', 'database_operations', 'notification_operations', 'workflow_operations', 'ecommerce_operations', 'analytics_operations', 'compliance_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,2960,58,3018,True,"['manage_database_triggers', 'check_fraud_risk', 'create_workflow', 'manage_notification_digest', 'create_api_key', 'track_event', 'send_digest_notification', 'manage_exception', 'revoke_api_key', 'run_security_test']",1.0,False,False,,,,[],[]
Recover the database,restore_database,restore_database,True,,444.0491199493408,database_operations,expert,llama-3.3-70b,,rag,2,0,False,,database_operations,"['secrets_operations', 'database_operations', 'data_operations', 'system_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,2787,30,2817,True,"['restore_database', 'execute_query', 'manage_database_triggers', 'get_secret_versions', 'verify_backup', 'replicate_database', 'export_csv', 'hash_data', 'upsert_record', 'manage_database_connection_pool']",1.0,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,420.79949378967285,caching_operations,expert,llama-3.3-70b,,rag,2,0,False,,caching_operations,"['caching_operations', 'file_operations', 'search_operations', 'web_operations', 'messaging_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,2681,50,2731,True,"['create_cache_index', 'search_documents', 'search_messages', 'manage_search_synonyms', 'search_file_content', 'cache_increment', 'boost_search_results', 'decode_url', 'reindex', 'manage_storage_intelligent_tiering']",1.0,False,False,,,,[],[]
Migrate the index,reindex,reindex,True,,384.92655754089355,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['database_operations', 'devops_operations', 'caching_operations', 'data_operations', 'analytics_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,2737,20,2757,True,"['reindex', 'create_cache_index', 'restore_database', 'upsert_record', 'export_csv', 'create_dashboard', 'manage_search_synonyms', 'search_documents', 'pivot_data', 'create_infrastructure']",1.0,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,944.9419975280762,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['secrets_operations', 'authentication_operations', 'system_operations', 'web_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2732,44,2776,True,"['configure_passwordless', 'setup_oauth_provider', 'create_api_key', 'revoke_api_key', 'disable_mfa', 'check_password_strength', 'manage_api_scopes', 'http_get', 'hash_data', 'update_secret']",1.0,False,False,,,,[],[]
