prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
How can I get the geolocation of Berlin in Germany?,v1_geocoding,v1_geocoding,True,False,4148.49591255188,category_24,hard,llama3.2:3b,,rag,2,0,False,,category_24,"['category_39', 'category_5', 'category_33', 'category_32', 'category_24', 'category_31', 'category_25', 'category_1', 'category_22']",False,False,False,[],,,0,"{'city': True, 'country': False}",,,0,,,1447,26,1473,True,"['v1_geocoding', 'v1_worldtime', 'navigations_get_tabs', 'get_all_bodies_positions', 'get_5_year_historical_monthly_prices', 'job_salary', 'get_host_list_version_hosts_get', 'xyz_map_tiles_for_ocean_conditions', 'get_articles', 'metadata']",1,False,False,,,,[],[]
Get the current time in Sydney using its coordinates.,v1_worldtime,v1_worldtime,True,False,1600.3148555755615,category_22,expert,llama3.2:3b,,rag,2,0,False,,category_22,"['category_39', 'category_14', 'category_32', 'category_24', 'category_21', 'category_1', 'category_15', 'category_22']",False,False,False,[],,,0,"{'lat': False, 'lon': False}",,,0,,,1215,44,1259,True,"['v1_worldtime', 'xyz_map_tiles_for_ocean_conditions', 'get_all_bodies_positions', 'v1_geocoding', 'job_salary', 'final_velocity', 'get_5_year_historical_monthly_prices', 'straddle', 'constructorstandingsafterarace', 'properties_get_running_costs']",1,False,False,,,,[],[]
What is the estimated salary for a Financial Analyst in Chicago within a 300km radius?,job_salary,,False,,1561.4430904388428,category_32,hard,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['category_14', 'category_32', 'category_24', 'category_31', 'category_25', 'category_21', 'category_28', 'category_22', 'category_30']",False,False,False,[],,,0,{},,,0,,,1142,46,1188,True,"['job_salary', 'properties_get_running_costs', 'get_5_year_historical_monthly_prices', 'straddle', 'get_all_companies_paginated', 'get_user_feed', 'v1_geocoding', 'get_articles', 'metadata', 'getsearchresults']",1,False,False,,,,[],[]
I need the full metadata for the podcast with Show ID '4iVcZGZGzRjHapWXYqXToT'.,get_podcast_metadata,get_podcast_metadata,True,True,1543.1010723114014,category_10,medium,llama3.2:3b,,rag,2,0,False,,category_10,"['category_33', 'category_27', 'category_31', 'category_25', 'category_21', 'category_10', 'category_22', 'category_30']",False,False,False,[],,,0,{'showid': True},,,0,,,1225,38,1263,True,"['get_podcast_metadata', 'metadata', 'get_articles', 'getsearchresults', 'review_filters_list', 'properties_get_running_costs', 'get_host_list_version_hosts_get', 'straddle', 'partenaire_par_id', 'get_5_year_historical_monthly_prices']",1,False,False,,,,[],[]
What were the constructor standings after the 5th race of the 2022 Formula 1 season?,constructorstandingsafterarace,constructorstandingsafterarace,True,True,1639.7297382354736,category_15,hard,llama3.2:3b,,rag,2,0,False,,category_15,"['category_14', 'category_5', 'category_33', 'category_25', 'category_21', 'category_1', 'category_15', 'category_22']",False,False,False,[],,,0,"{'year': True, 'round': True}",,,0,,,1439,28,1467,True,"['constructorstandingsafterarace', 'final_velocity', 'get_5_year_historical_monthly_prices', 'get_host_list_version_hosts_get', 'properties_get_running_costs', 'get_all_bodies_positions', 'v1_worldtime', 'navigations_get_tabs', 'structural_analysis', 'metadata']",1,False,False,,,,[],[]
Retrieve straddle data for Apple Inc.,straddle,straddle,True,True,1317.2473907470703,category_22,medium,llama3.2:3b,,rag,2,0,False,,category_22,"['category_14', 'category_32', 'category_25', 'category_26', 'category_1', 'category_28', 'category_10', 'category_22']",False,False,False,[],,,0,{'ticker': True},,,0,,,1211,18,1229,True,"['straddle', 'get_podcast_metadata', 'metadata', 'get_all_bodies_positions', 'job_salary', 'get_all_companies_paginated', 'phone_number', 'get_user_feed', 'get_5_year_historical_monthly_prices', 'v1_worldtime']",1,False,False,,,,[],[]
"For a star party in Cape Town on April 10th, 2023, at 10 PM, what celestial bodies will be in the sky?",get_all_bodies_positions,get_all_bodies_positions,True,False,1937.6578330993652,category_1,expert,llama3.2:3b,,rag,2,0,False,,category_1,"['category_14', 'category_39', 'category_36', 'category_31', 'category_25', 'category_20', 'category_1', 'category_22', 'category_30']",False,False,False,[],,,0,"{'latitude': False, 'longitude': False, 'from_date': True, 'to_date': False, 'time': True}",,,0,,,1313,66,1379,True,"['get_all_bodies_positions', 'v1_worldtime', 'final_velocity', 'xyz_map_tiles_for_ocean_conditions', 'is_prime', 'genderize', 'metadata', 'getsearchresults', 'review_filters_list', 'get_articles']",1,False,False,,,,[],[]
Get the search results for the YouTube influencer with search ID 'YT1122334455'.,getsearchresults,getsearchresults,True,False,1438.1983280181885,category_30,medium,llama3.2:3b,,rag,2,0,False,,category_30,"['category_14', 'category_36', 'category_33', 'category_27', 'category_31', 'category_28', 'category_10', 'category_22', 'category_30']",False,False,False,[],,,0,{'is_id': False},,,0,,,1056,44,1100,True,"['getsearchresults', 'get_user_feed', 'get_podcast_metadata', 'v1_worldtime', 'get_host_list_version_hosts_get', 'genderize', 'similar', 'get_articles', 'straddle', 'partenaire_par_id']",1,False,False,,,,[],[]
"Retrieve 100 articles from the 'Nasa Climate' source, excluding 'The Guardian'.",get_articles,get_articles,True,True,1683.3221912384033,category_31,hard,llama3.2:3b,,rag,2,0,False,,category_31,"['category_14', 'category_39', 'category_33', 'category_31', 'category_25', 'category_1', 'category_22', 'category_10']",False,False,False,[],,,0,"{'limit': True, 'exclude': True, 'source': True}",,,0,,,1426,32,1458,True,"['get_articles', 'get_all_bodies_positions', 'get_host_list_version_hosts_get', 'get_all_companies_paginated', 'get_podcast_metadata', 'metadata', 'v1_worldtime', 'get_5_year_historical_monthly_prices', 'review_filters_list', 'xyz_map_tiles_for_ocean_conditions']",1,False,False,,,,[],[]
Fetch contact information for partner 'PART002'.,partenaire_par_id,partenaire_par_id,True,True,1222.3851680755615,category_27,medium,llama3.2:3b,,rag,2,0,False,,category_27,"['category_14', 'category_33', 'category_32', 'category_26', 'category_25', 'category_30', 'category_28', 'category_10', 'category_22', 'category_27']",False,False,False,[],,,0,{'is_id': True},,,0,,,1094,21,1115,True,"['partenaire_par_id', 'get_user_feed', 'job_salary', 'phone_number', 'get_all_companies_paginated', 'straddle', 'get_podcast_metadata', 'metadata', 'get_host_list_version_hosts_get', 'getsearchresults']",1,False,False,,,,[],[]
