prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,,False,,15587.103128433228,networking_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,6097,577,6674,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,list_backups,False,,3832.0491313934326,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,False,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,3361,34,3395,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,3895.575761795044,compliance_operations,hard,llama3.2:3b,,clustering,2,0,False,True,compliance_operations,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,3382,36,3418,,[],,False,False,,,,[],[]
Get the text content,extract_text,,False,,4835.036993026733,document_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4355,34,4389,,[],,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,4713.604688644409,system_operations,hard,llama3.2:3b,,clustering,2,0,False,True,system_operations,['system_operations'],False,False,False,[],,,0,{},,,0,,,4242,33,4275,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,,False,,5627.559423446655,email_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4353,86,4439,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,disable_mfa,False,,6745.511054992676,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,5720,59,5779,,[],,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,manage_email_template_variables,False,,5783.442258834839,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,5221,34,5255,,[],,False,False,,,,[],[]
Stop workflow execution,cancel_workflow,,False,,4792.301177978516,workflow_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4353,33,4386,,[],,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,,False,,8174.414157867432,math_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,6102,123,6225,,[],,False,False,,,,[],[]
Process an ACH payment,process_ach_transfer,,False,,2165.6198501586914,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2003,12,2015,,[],,False,False,,,,[],[]
Remove from mailing list,manage_email_list,validate_text,False,,3120.966911315918,email_operations,expert,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4355,42,4397,,[],,False,False,,,,[],[]
Start automation,run_workflow,,False,,4790.229082107544,workflow_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4351,33,4384,,[],,False,False,,,,[],[]
Create a mirror image,flip_image,split_text,False,,5273.327827453613,image_operations,hard,llama3.2:3b,,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,4355,61,4416,,[],,False,False,,,,[],[]
Find similar images,search_images,,False,,6625.48303604126,search_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,web_operations,['web_operations'],False,False,False,[],,,0,{},,,0,,,6046,33,6079,,[],,False,False,,,,[],[]
Calculate the number of combinations of 10 items taken 4 at a time,permutation_combination,,False,,9467.11015701294,math_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,6109,203,6312,,[],,False,False,,,,[],[]
