prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search for images,search_images,search_images,True,,634.2341899871826,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7849,34,7883,,[],,False,False,,,,[],[]
Export patient record,generate_patient_summary,generate_patient_summary,True,,479.2134761810303,healthcare_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7849,23,7872,,[],,False,False,,,,[],[]
Decode all barcodes in the image,read_barcode,read_barcode,True,,479.95853424072266,image_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7853,27,7880,,[],,False,False,,,,[],[]
Remove allergy from record,update_allergy_list,update_allergy_list,True,,429.19373512268066,healthcare_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7850,25,7875,,[],,False,False,,,,[],[]
Remind me about this email tomorrow,snooze_email,snooze_email,True,,484.04836654663086,email_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7853,31,7884,,[],,False,False,,,,[],[]
Find world-writable files,audit_permissions,audit_permissions,True,,533.1985950469971,security_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7851,19,7870,,[],,False,False,,,,[],[]
URL decode the text,decode_text,decode_text,True,,426.89061164855957,text_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7850,18,7868,,[],,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,manage_notification_segments,True,,427.168607711792,notification_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7850,12,7862,,[],,False,False,,,,[],[]
Create visualization charts,create_dashboard,,False,,61881.006956100464,analytics_operations,expert,llama-3.3-70b,Model did not call any tool,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7849,4,7853,,[],,False,False,,,,[],[]
Resolve DNS records,dns_lookup,dns_lookup,True,,574.99098777771,networking_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,7849,43,7892,,[],,False,False,,,,[],[]
