prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
How can I get the geolocation of Berlin in Germany?,v1_geocoding,,False,,5915.534019470215,category_24,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_26', 'category_40', 'category_36', 'category_10', 'category_9']",False,False,False,[],,,0,{},,,0,,,4096,145,4241,,[],,False,False,,,,[],[]
Get the current time in Sydney using its coordinates.,v1_worldtime,,False,,6532.572984695435,category_22,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_22', 'category_40', 'category_15', 'category_39', 'category_26']",False,False,False,[],,,0,{},,,0,,,4096,201,4297,,[],,False,False,,,,[],[]
What is the estimated salary for a Financial Analyst in Chicago within a 300km radius?,job_salary,,False,,7387.827157974243,category_32,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_40', 'category_8', 'category_22', 'category_7', 'category_33']",False,False,False,[],,,0,{},,,0,,,4096,275,4371,,[],,False,False,,,,[],[]
I need the full metadata for the podcast with Show ID '4iVcZGZGzRjHapWXYqXToT'.,get_podcast_metadata,,False,,5588.233709335327,category_10,medium,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_32', 'category_25', 'category_36', 'category_17', 'category_19']",False,False,False,[],,,0,{},,,0,,,4096,119,4215,,[],,False,False,,,,[],[]
How did the constructor standings look after the 5th race in the 2021 Formula 1 season?,constructorstandingsafterarace,,False,,5015.516519546509,category_15,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_17', 'category_31', 'category_5', 'category_7', 'category_22']",False,False,False,[],,,0,{},,,0,,,4096,70,4166,,[],,False,False,,,,[],[]
Retrieve straddle data for Apple Inc.,straddle,,False,,5313.20595741272,category_22,medium,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_36', 'category_22', 'category_27', 'category_26', 'category_34']",False,False,False,[],,,0,{},,,0,,,4096,96,4192,,[],,False,False,,,,[],[]
"For a star party in Cape Town on April 10th, 2023, at 10 PM, what celestial bodies will be in the sky?",get_all_bodies_positions,,False,,7122.075080871582,category_1,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_7', 'category_39', 'category_21', 'category_13', 'category_6']",False,False,False,[],,,0,{},,,0,,,4096,251,4347,,[],,False,False,,,,[],[]
Get the search results for the YouTube influencer with search ID 'YT1122334455'.,getsearchresults,,False,,5391.816854476929,category_30,medium,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_30', 'category_13', 'category_23', 'category_28', 'category_12']",False,False,False,[],,,0,{},,,0,,,4096,103,4199,,[],,False,False,,,,[],[]
"Retrieve 100 articles from the 'Nasa Climate' source, excluding 'The Guardian'.",get_articles,,False,,5467.898845672607,category_31,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_13', 'category_34', 'category_30', 'category_25', 'category_10']",False,False,False,[],,,0,{},,,0,,,4096,109,4205,,[],,False,False,,,,[],[]
Fetch contact information for partner 'PART002'.,partenaire_par_id,,False,,10353.20496559143,category_27,medium,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['category_33', 'category_28', 'category_31', 'category_38', 'category_27']",False,False,False,[],,,0,{},,,0,,,4096,531,4627,,[],,False,False,,,,[],[]
