prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,4553.650140762329,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['web_operations', 'caching_operations', 'monitoring_operations', 'networking_operations', 'system_operations', 'database_operations', 'healthcare_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1143,17,1160,True,"['ping_host', 'traceroute', 'get_network_info', 'send_patient_message', 'get_alert_status', 'get_notification_status', 'get_uptime', 'http_delete', 'manage_database_replication', 'manage_cache_locks']",1.0,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,restore_archived_object,True,,1720.815896987915,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['data_operations', 'file_operations', 'database_operations', 'container_operations', 'backup_operations', 'cloud_storage_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1280,35,1315,True,"['restore_archived_object', 'get_cloud_file_info', 'backup_database', 'compress_files', 'replicate_backup', 'import_csv', 'delete_records', 'extract_text', 'get_container_logs', 'clone_table']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1669.1932678222656,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['compliance_operations', 'networking_operations', 'testing_operations', 'system_operations', 'payment_operations', 'database_operations', 'healthcare_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1392,20,1412,True,"['run_compliance_check', 'manage_mfa', 'create_service_account', 'manage_database_replication', 'manage_payment_dispute', 'record_immunization', 'send_patient_message', 'ping_host', 'generate_uuid', 'run_mutation_test']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2893.160104751587,document_operations,expert,llama3.2:3b,,rag,2,0,False,,document_operations,"['web_operations', 'ai_ml_operations', 'text_operations', 'healthcare_operations', 'container_operations', 'location_operations', 'cloud_storage_operations', 'notification_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1148,120,1268,True,"['extract_text', 'search_text', 'format_text', 'generate_text', 'get_notification_status', 'generate_patient_summary', 'get_cloud_file_info', 'parse_json', 'get_container_logs', 'get_elevation']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,1544.849157333374,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['networking_operations', 'system_operations', 'workflow_operations', 'scheduling_operations', 'video_operations', 'calendar_operations', 'email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1160,30,1190,True,"['get_uptime', 'detect_scheduling_conflicts', 'resume_scheduled_job', 'schedule_workflow', 'book_room', 'ping_host', 'create_notification_campaign', 'setup_email_automation', 'get_notification_status', 'trim_video']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,1938.8129711151123,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['search_operations', 'notification_operations', 'email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1236,51,1287,True,"['send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'manage_email_list', 'manage_mailing_list', 'bulk_index', 'search_emails', 'send_patient_message', 'get_notification_status', 'create_notification_campaign']",1.0,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,1479.435920715332,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['compliance_operations', 'security_operations', 'math_operations', 'payment_operations', 'audio_operations', 'healthcare_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1289,18,1307,True,"['manage_mfa', 'create_service_account', 'authenticate_user', 'run_compliance_check', 'send_patient_message', 'manage_payment_dispute', 'generate_api_key', 'audio_fingerprint', 'process_ach_transfer', 'prime_factorization']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2047.5542545318604,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['search_operations', 'workflow_operations', 'scheduling_operations', 'healthcare_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1311,53,1364,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'manage_mailing_list', 'run_workflow', 'send_bulk_email', 'search_emails', 'send_patient_message', 'schedule_workflow', 'create_job_dependency']",1.0,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1586.5142345428467,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['data_operations', 'web_operations', 'queue_operations', 'workflow_operations', 'scheduling_operations', 'rate_limiting_operations', 'devops_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1176,28,1204,True,"['cancel_workflow', 'run_workflow', 'retry_failed_jobs', 'schedule_workflow', 'whitelist_key', 'setup_email_automation', 'create_job_dependency', 'http_delete', 'run_pipeline', 'delete_records']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,1440.4528141021729,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['ecommerce_operations', 'file_operations', 'math_operations', 'image_operations', 'queue_operations', 'payment_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,1120,23,1143,True,"['fibonacci', 'number_base_convert', 'permutation_combination', 'search_files', 'process_ach_transfer', 'prime_factorization', 'apply_discount', 'create_fifo_queue', 'search_text', 'read_barcode']",1.0,False,False,,,,[],[]
