prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,1120.5880641937256,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'testing_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,880,17,897,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2549.604892730713,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['backup_operations', 'file_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,1942,45,1987,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,1402.318000793457,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'monitoring_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,819,41,860,,[],,False,False,,,,[],[]
Get the text content,extract_text,format_text,False,,1853.0619144439697,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,text_operations,"['text_operations', 'ai_ml_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1666,18,1684,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,,False,,1797.5983619689941,system_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['calendar_operations', 'messaging_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,1600,19,1619,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,manage_email_list,False,,3234.1370582580566,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'social_media_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2729,36,2765,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,1299.057960510254,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,959,27,986,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2411.034107208252,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'workflow_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1750,48,1798,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1960.6282711029053,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'queue_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,1477,37,1514,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2321.869373321533,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'scheduling_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,2059,23,2082,,[],,False,False,,,,[],[]
