prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Analyze user journey,analyze_user_journey,analyze_user_journey,True,,2789.983034133911,analytics_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['calendar_operations', 'workflow_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,1690,48,1738,True,"['analyze_user_journey', 'create_funnel_analysis', 'track_event', 'analyze_calendar_usage', 'compute_attribution', 'get_workflow_metrics', 'create_funnel', 'ab_test_analyze', 'forecast_metric', 'run_analytics_query']",1,False,False,,,,[],[]
Delete the unused field from the table,drop_column,drop_column,True,,508.4664821624756,data_operations,hard,llama-3.3-70b,,rag,2,0,False,,data_operations,"['math_operations', 'text_operations', 'logging_operations', 'authentication_operations', 'document_operations', 'video_operations', 'data_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,1628,26,1654,True,"['truncate_table', 'drop_column', 'trim_text', 'flatten_form_fields', 'manage_cart', 'revoke_api_key', 'set_log_retention', 'remove_background', 'clone_table', 'financial_calculation']",2,False,False,,,,[],[]
Create an API key,create_api_key,create_api_key,True,,402.148962020874,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['web_operations', 'cloud_storage_operations', 'authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,1989,60,2049,True,"['create_api_key', 'revoke_api_key', 'generate_keypair', 'generate_jwt', 'create_user', 'manage_oauth', 'rotate_keys', 'oauth_authenticate', 'configure_passwordless', 'create_bucket']",1,False,False,,,,[],[]
Create public and private keys,generate_keypair,generate_keypair,True,,515.1774883270264,security_operations,expert,llama-3.3-70b,,rag,2,0,False,,security_operations,"['security_operations', 'secrets_operations', 'cloud_storage_operations', 'authentication_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1845,39,1884,True,"['generate_keypair', 'create_api_key', 'create_user', 'add_digital_signature', 'revoke_api_key', 'rotate_keys', 'set_secret_policy', 'create_bucket', 'generate_jwt', 'configure_passwordless']",1,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,369.6420192718506,file_operations,hard,llama-3.3-70b,,rag,2,0,False,,file_operations,"['security_operations', 'file_operations', 'math_operations', 'queue_operations', 'secrets_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1636,21,1657,True,"['change_permissions', 'set_owner', 'set_secret_policy', 'sync_directory', 'list_directory', 'set_redrive_policy', 'create_user', 'modular_arithmetic', 'generate_jwt', 'hash_password']",1,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,609.5786094665527,data_operations,hard,llama-3.3-70b,,rag,2,0,False,,data_operations,"['system_operations', 'text_operations', 'logging_operations', 'queue_operations', 'authentication_operations', 'healthcare_operations', 'data_operations', 'ecommerce_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,1641,23,1664,True,"['truncate_table', 'set_log_retention', 'kill_process', 'revoke_api_key', 'manage_cart', 'drop_column', 'manage_database_connection_pool', 'trim_text', 'batch_send_messages', 'generate_discharge_summary']",1,False,False,,,,[],[]
Import users from Azure AD,sync_directory,sync_directory,True,,409.2724323272705,authentication_operations,expert,llama-3.3-70b,,rag,2,0,False,,authentication_operations,"['email_operations', 'cloud_storage_operations', 'analytics_operations', 'authentication_operations', 'data_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2024,55,2079,True,"['create_user', 'sync_directory', 'import_data', 'analyze_user_journey', 'compute_attribution', 'manage_oauth', 'copy_cloud_file', 'create_email_campaign', 'oauth_authenticate', 'calculate_storage_cost']",2,False,False,,,,[],[]
Set up a recurring task,schedule_task,schedule_task,True,,350.691556930542,system_operations,expert,llama-3.3-70b,,rag,2,0,False,,system_operations,"['scheduling_operations', 'calendar_operations', 'system_operations', 'workflow_operations', 'email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1677,47,1724,True,"['schedule_task', 'create_scheduled_job', 'schedule_workflow', 'schedule_follow_up', 'resume_scheduled_job', 'update_job_schedule', 'pause_scheduled_job', 'schedule_meeting_poll', 'set_email_auto_reply', 'create_calendar']",1,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,60787.46771812439,video_operations,expert,llama-3.3-70b,,rag,2,0,False,,video_operations,"['video_operations', 'image_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2050,54,2104,True,"['create_thumbnail', 'create_collage', 'add_watermark', 'detect_objects', 'add_video_overlay', 'convert_image_format', 'send_rich_media_message', 'detect_faces', 'add_watermark', 'create_video_thumbnail']",5,False,False,,,,[],[]
How many characters are in the string?,count_text,count_text,True,,330.40380477905273,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,text_operations,"['math_operations', 'text_operations', 'security_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,1570,16,1586,True,"['count_text', 'trim_text', 'permutation_combination', 'extract_text', 'generate_lorem_ipsum', 'hash_password', 'check_grammar', 'generate_text', 'replace_text', 'join_text']",1,False,False,,,,[],[]
