prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search stock images,search_images,search_images,True,,2665.6785011291504,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['search_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,1851,20,1871,True,"['search_images', 'query_images', 'overlay_images', 'create_collage', 'read_barcode', 'retrieve_barcode', 'index_document', 'search_code', 'search_with_filters', 'resize_image']",1,False,False,,,,[],[]
Export patient record,generate_patient_summary,generate_patient_summary,True,,607.8300476074219,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['ecommerce_operations', 'analytics_operations', 'healthcare_operations', 'backup_operations', 'cloud_storage_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,2243,43,2286,True,"['generate_patient_summary', 'document_procedure', 'generate_patient_summary_alt', 'create_cohort', 'replicate_backup', 'convert_document', 'update_allergy_list', 'create_order', 'setup_replication', 'edit_allergy_list']",1,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,443.7565803527832,image_operations,hard,llama-3.3-70b,,rag,2,0,False,,image_operations,"['location_operations', 'search_operations', 'image_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,1708,24,1732,True,"['read_barcode', 'retrieve_barcode', 'decipher_text', 'search_images', 'overlay_images', 'resize_image', 'decode_text', 'calculate_elevation', 'query_images', 'rotate_image']",1,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,363.7204170227051,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['queue_operations', 'healthcare_operations', 'email_operations', 'notification_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,2024,53,2077,True,"['update_allergy_list', 'edit_allergy_list', 'generate_patient_summary_alt', 'generate_patient_summary', 'snooze_email_alt', 'manage_device_twin', 'snooze_email', 'document_procedure', 'batch_send_messages', 'manage_subscription']",1,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,365.4134273529053,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,"['queue_operations', 'email_operations', 'notification_operations', 'messaging_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1890,41,1931,True,"['snooze_email', 'snooze_email_alt', 'schedule_message', 'send_email', 'setup_monitoring_alert', 'validate_email', 'manage_subscription', 'manage_notification_segments_alt', 'batch_send_messages', 'create_notification_workflow']",1,False,False,,,,[],[]
Audit permissions on /var/www,audit_permissions,audit_permissions,True,,513.7927532196045,security_operations,expert,llama-3.3-70b,,rag,2,0,False,,security_operations,"['queue_operations', 'analytics_operations', 'file_operations', 'security_operations', 'compliance_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1645,35,1680,True,"['audit_permissions', 'audit_permissions_alt', 'audit_auth_events', 'set_permissions', 'generate_audit_log', 'check_file_signature', 'set_queue_policy', 'sanitize_input', 'create_signature', 'create_dashboard']",1,False,False,,,,[],[]
Decode this Base64 string,decode_text,decode_text,True,,352.07438468933105,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,text_operations,"['web_operations', 'system_operations', 'file_operations', 'text_operations', 'security_operations', 'image_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1545,19,1564,True,"['decipher_text', 'decode_text', 'retrieve_barcode', 'compress_decompress', 'read_barcode', 'decrypt_file', 'get_ssl_info', 'extract_text', 'check_file_signature', 'extract_archive']",2,False,False,,,,[],[]
Create user segment,manage_notification_segments,segment_users,False,,403.14459800720215,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['workflow_operations', 'ecommerce_operations', 'analytics_operations', 'notification_operations', 'payment_operations', 'text_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1957,47,2004,True,"['segment_users', 'manage_notification_segments', 'manage_notification_segments_alt', 'create_cohort', 'create_chat_room', 'create_virtual_card', 'create_approval_request', 'create_order', 'create_subscription', 'generate_lorem_ipsum']",2,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,413.7694835662842,analytics_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['iot_operations', 'notification_operations', 'analytics_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1851,80,1931,True,"['new_dashboard', 'create_dashboard', 'segment_users', 'setup_monitoring_alert', 'create_cohort', 'manage_notification_segments', 'create_notification_workflow', 'register_device', 'manage_notification_segments_alt', 'manage_device_twin']",2,False,False,,,,[],[]
Get MX records,dns_lookup,dns_lookup,True,,378.420352935791,networking_operations,hard,llama-3.3-70b,,rag,2,0,False,,networking_operations,"['web_operations', 'email_operations', 'networking_operations', 'calendar_operations', 'location_operations', 'data_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,1737,17,1754,True,"['validate_email', 'dns_lookup', 'dns_lookup_alt', 'snooze_email', 'send_email', 'snooze_email_alt', 'get_ssl_info', 'get_event_details', 'batch_geocode', 'join_tables']",2,False,False,,,,[],[]
