prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,3572.3438262939453,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,3,bounded,391,23,414,True,"['ping_host', 'traceroute', 'get_network_info']",1.0,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,restore_archived_object,True,,1936.906099319458,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['caching_operations', 'backup_operations', 'cloud_storage_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1252,50,1302,True,"['restore_archived_object', 'download_from_cloud', 'restore_cache', 'restore_database', 'copy_cloud_file', 'restore_database', 'import_cache_data', 'restore_backup', 'upload_to_cloud']",1.0,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,846.7140197753906,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['compliance_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,3,bounded,465,26,491,True,"['manage_database_audit', 'track_vendor_compliance', 'run_compliance_check']",3.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text_from_document,False,,2401.005983352661,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['ai_ml_operations', 'image_operations', 'email_operations', 'file_operations', 'document_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,16,threshold,1805,46,1851,True,"['extract_text_from_document', 'extract_text', 'parse_html', 'ocr_image', 'parse_html', 'search_file_content', 'search_text', 'decode_text', 'extract_entities', 'replace_text', 'get_email_headers', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'trim_text']",2.0,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,847.7029800415039,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['caching_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,bounded,429,30,459,True,"['get_uptime', 'manage_service', 'manage_cache_policy']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,5181.453704833984,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'search_operations', 'notification_operations', 'queue_operations', 'messaging_operations', 'location_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,26,threshold,3064,135,3199,True,"['send_bulk_email', 'broadcast_message', 'send_email', 'import_emails', 'test_email_deliverability', 'configure_email_domain', 'setup_email_automation', 'create_message_template', 'send_push_notification', 'configure_email_domain', 'export_emails', 'manage_email_list', 'get_email_headers', 'archive_email', 'schedule_message', 'send_telegram_message', 'batch_geocode', 'manage_mailing_list', 'manage_notification_digest', 'create_email_signature', 'schedule_email_digest', 'batch_delete_messages', 'bulk_index', 'search_emails', 'handle_bounce', 'set_auto_response']",1.0,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,1496.4640140533447,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['authentication_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1265,18,1283,True,"['manage_mfa', 'configure_auth_policy', 'generate_totp_secret', 'manage_device_trust', 'create_service_account', 'manage_identity_verification', 'verify_otp', 'create_user', 'authenticate_user']",1.0,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,manage_email_list,False,,4178.692102432251,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['ai_ml_operations', 'email_operations', 'search_operations', 'notification_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,25,threshold,3098,68,3166,True,"['setup_email_automation', 'import_emails', 'set_auto_response', 'schedule_email_digest', 'test_email_deliverability', 'manage_email_list', 'send_email', 'create_email_signature', 'send_bulk_email', 'archive_email', 'create_message_template', 'configure_email_domain', 'handle_bounce', 'export_emails', 'schedule_message', 'broadcast_message', 'manage_mailing_list', 'configure_email_domain', 'create_notification_campaign', 'create_notification_workflow', 'deploy_model', 'test_notification', 'search_emails', 'send_in_app_message', 'get_email_headers']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1091.4342403411865,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['scheduling_operations', 'workflow_operations', 'system_operations', 'notification_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,6,threshold,650,31,681,True,"['cancel_workflow', 'cancel_notification', 'void_payment', 'retry_workflow_step', 'pause_scheduled_job', 'kill_process']",1.0,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,fibonacci,True,,659.5714092254639,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,362,23,385,True,"['fibonacci', 'factorial', 'logarithm']",1.0,False,False,,,,[],[]
