prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,aggregate_logs,False,,1122.0955848693848,notification_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,logging_operations,['logging_operations'],False,False,False,[],,,0,{},,,0,,,3562,85,3647,,[],,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,949.0325450897217,backup_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,3473,33,3506,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,949.094295501709,ai_ml_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,3942,71,4013,,[],,False,False,,,,[],[]
Prioritize recent content,boost_search_results,,False,,825.6242275238037,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2734,287,3021,,[],,False,False,,,,[],[]
Download query results as CSV,export_csv,,False,,1191.0011768341064,data_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4232,382,4614,,[],,False,False,,,,[],[]
Disable trigger,manage_database_triggers,,False,,1193.429708480835,database_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2732,285,3017,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,,False,,1831.878423690796,database_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4230,344,4574,,[],,False,False,,,,[],[]
Create cache search index,create_cache_index,create_cache_index,True,,2043.349266052246,caching_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,caching_operations,['caching_operations'],False,False,False,[],,,0,{},,,0,,,3685,60,3745,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,,False,,842.5722122192383,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,document_operations,['document_operations'],False,False,False,[],,,0,{},,,0,,,3742,103,3845,,[],,False,False,,,,[],[]
Enable WebAuthn,configure_passwordless,configure_passwordless,True,,1002.1564960479736,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,4143,37,4180,,[],,False,False,,,,[],[]
