prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Get hash fields,cache_hash_ops,cache_hash_ops,True,,2997.605085372925,caching_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,caching_operations,"['file_operations', 'caching_operations', 'secrets_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,4,threshold,502,17,519,True,"['cache_hash_ops', 'get_file_checksum', 'get_secret', 'retrieve_medical_history']",1,False,False,,,,[],[]
Set up dead letter queue,set_redrive_policy,configure_dead_letter_queue,False,,1336.3308906555176,queue_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['messaging_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,7,threshold,820,55,875,True,"['configure_dead_letter_queue', 'set_redrive_policy', 'manage_message_queue', 'subscribe_to_queue', 'pause_queue', 'process_jobs', 'tag_queue']",2,False,False,,,,[],[]
Set up audit logging,enable_access_logging,manage_database_audit,False,,1367.8410053253174,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'authentication_operations', 'monitoring_operations', 'cloud_storage_operations', 'container_operations', 'logging_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1233,18,1251,True,"['manage_database_audit', 'audit_auth_logs', 'create_log_alert', 'create_log_dashboard', 'enable_access_logging', 'get_container_logs', 'aggregate_logs', 'create_metric', 'alert_on_metric']",5,False,False,,,,[],[]
Group devices by location,create_device_group,create_device_group,True,,897.7823257446289,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['iot_operations', 'messaging_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,480,42,522,True,"['create_device_group', 'create_chat_room', 'manage_device_trust']",1,False,False,,,,[],[]
Search for similar articles,semantic_search,semantic_search,True,,1168.4107780456543,ai_ml_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,ai_ml_operations,"['image_operations', 'search_operations', 'ai_ml_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,5,threshold,703,49,752,True,"['semantic_search', 'search_images', 'rerank_results', 'compare_documents', 'compare_images']",1,False,False,,,,[],[]
List a new item for sale,create_product,create_product,True,,1513.183832168579,ecommerce_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,ecommerce_operations,['ecommerce_operations'],False,False,False,[],,,0,{},,,0,4,threshold,668,87,755,True,"['create_product', 'create_order', 'manage_product_bundles', 'manage_gift_cards']",1,False,False,,,,[],[]
React with thumbs up,create_message_reaction,create_message_reaction,True,,712.9061222076416,messaging_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,messaging_operations,"['video_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,465,27,492,True,"['create_message_reaction', 'generate_video_preview', 'create_video_thumbnail']",1,False,False,,,,[],[]
Find duplicate files in my photos folder,find_duplicates,find_duplicates,True,,834.4206809997559,file_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,file_operations,"['file_operations', 'image_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,elbow,474,40,514,True,"['find_duplicates', 'search_images', 'compare_images']",1,False,False,,,,[],[]
Check firmware status,manage_firmware,manage_firmware,True,,848.5157489776611,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['messaging_operations', 'system_operations', 'payment_operations', 'web_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,6,threshold,649,27,676,True,"['manage_firmware', 'get_uptime', 'check_url_status', 'get_payment_status', 'manage_service', 'get_message_status']",1,False,False,,,,[],[]
Monitor queue performance,get_queue_metrics,get_queue_metrics,True,,577.3332118988037,queue_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['caching_operations', 'database_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,3,threshold,424,21,445,True,"['get_queue_metrics', 'analyze_cache_performance', 'monitor_database_performance']",1,False,False,,,,[],[]
