prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,5992.7709102630615,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['networking_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,bounded,427,17,444,True,"['ping_host', 'traceroute', 'get_network_info']",1.0,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,restore_archived_object,True,,1185.5659484863281,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['database_operations', 'file_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,4,threshold,628,38,666,True,"['restore_archived_object', 'get_cloud_file_info', 'backup_database', 'compress_files']",1.0,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,820.0218677520752,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,3,bounded,496,20,516,True,"['run_compliance_check', 'manage_mfa', 'create_service_account']",1.0,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,2293.613910675049,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,document_operations,"['document_operations', 'ai_ml_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,4,threshold,561,120,681,True,"['extract_text', 'search_text', 'format_text', 'generate_text']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,839.1571044921875,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['calendar_operations', 'system_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,3,bounded,413,30,443,True,"['get_uptime', 'detect_scheduling_conflicts', 'resume_scheduled_job']",1.0,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,1603.104829788208,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['search_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,7,threshold,898,51,949,True,"['send_bulk_email', 'configure_email_domain', 'setup_email_automation', 'manage_email_list', 'manage_mailing_list', 'bulk_index', 'search_emails']",1.0,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,882.7793598175049,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,3,threshold,495,27,522,True,"['manage_mfa', 'create_service_account', 'authenticate_user']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,1822.4637508392334,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['search_operations', 'healthcare_operations', 'workflow_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,8,threshold,1077,54,1131,True,"['setup_email_automation', 'configure_email_domain', 'manage_email_list', 'manage_mailing_list', 'run_workflow', 'send_bulk_email', 'search_emails', 'send_patient_message']",1.0,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,964.9453163146973,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['queue_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,3,threshold,448,34,482,True,"['cancel_workflow', 'run_workflow', 'retry_failed_jobs']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,788.8593673706055,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,430,23,453,True,"['fibonacci', 'number_base_convert', 'permutation_combination']",1.0,False,False,,,,[],[]
