prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,5322.677135467529,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'ai_ml_operations', 'testing_operations', 'analytics_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1150,37,1187,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection', 'get_coverage', 'run_ab_test', 'run_mutation_test', 'create_ab_test', 'run_experiment_analysis', 'test_email_deliverability']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,2071.197986602783,cloud_storage_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'file_operations', 'database_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1247,60,1307,True,"['restore_archived_object', 'configure_storage_transfer', 'backup_database', 'manage_multipart_upload', 'replicate_backup', 'redrive_messages', 'compress_files', 'set_object_lock', 'list_backups', 'retry_failed_jobs']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,1827.7928829193115,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['ecommerce_operations', 'database_operations', 'text_operations', 'compliance_operations', 'authentication_operations', 'rate_limiting_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1195,44,1239,True,"['run_compliance_check', 'manage_database_audit', 'configure_tax_rules', 'manage_mfa', 'monitor_metrics', 'whitelist_key', 'create_throttle_policy', 'check_grammar', 'get_pipeline_status', 'manage_device_trust']",1.0,False,False,,,,[],[]
Get the text content,extract_text,get_cloud_file_info,False,,1567.5890445709229,document_operations,expert,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'document_operations', 'ai_ml_operations', 'notification_operations', 'text_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,1025,40,1065,True,"['extract_text', 'search_text', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'check_grammar', 'get_cloud_file_info', 'get_notification_status', 'moderate_content']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,1512.101173400879,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['scheduling_operations', 'notification_operations', 'rate_limiting_operations', 'monitoring_operations', 'devops_operations', 'calendar_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,1118,30,1148,True,"['get_uptime', 'configure_quiet_hours', 'pause_scheduled_job', 'set_working_hours', 'detect_scheduling_conflicts', 'set_quiet_hours', 'resume_scheduled_job', 'get_rate_limit_metrics', 'create_metric', 'monitor_metrics']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,,False,,2026.7038345336914,email_operations,expert,llama3.2:3b,Model did not call any tool,rag,2,0,False,,,"['healthcare_operations', 'messaging_operations', 'email_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1246,56,1302,True,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability', 'send_bulk_email', 'configure_email_domain', 'manage_push_subscriptions', 'setup_email_automation', 'send_patient_message', 'create_notification_campaign', 'send_push_notification']",4.0,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,1501.4162063598633,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['compliance_operations', 'authentication_operations', 'math_operations', 'rate_limiting_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,1120,27,1147,True,"['manage_mfa', 'manage_device_trust', 'authenticate_user', 'create_user', 'create_service_account', 'create_throttle_policy', 'whitelist_key', 'run_compliance_check', 'manage_secrets', 'prime_factorization']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,create_pipeline,False,,2392.4286365509033,email_operations,expert,llama3.2:3b,,rag,2,0,False,,ai_ml_operations,"['email_operations', 'ai_ml_operations', 'scheduling_operations', 'workflow_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,1122,89,1211,True,"['setup_email_automation', 'test_email_deliverability', 'configure_email_domain', 'manage_email_list', 'manage_mailing_list', 'create_pipeline', 'run_workflow', 'create_job_dependency', 'schedule_workflow', 'create_user']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,1555.6666851043701,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['ai_ml_operations', 'scheduling_operations', 'messaging_operations', 'notification_operations', 'workflow_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1183,29,1212,True,"['cancel_workflow', 'run_workflow', 'pause_scheduled_job', 'schedule_workflow', 'configure_quiet_hours', 'set_quiet_hours', 'retry_failed_jobs', 'create_pipeline', 'create_job_dependency', 'manage_message_queue']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,1592.1547412872314,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['file_operations', 'queue_operations', 'math_operations', 'devops_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1158,29,1187,True,"['fibonacci', 'number_base_convert', 'permutation_combination', 'process_ach_transfer', 'search_files', 'solve_system', 'create_payout', 'manage_ssl_certificate', 'create_fifo_queue', 'percentage']",1.0,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,2047.7447509765625,payment_operations,expert,llama3.2:3b,,rag,2,0,False,,payment_operations,"['healthcare_operations', 'cloud_storage_operations', 'email_operations', 'data_operations', 'messaging_operations', 'workflow_operations', 'payment_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,1287,52,1339,True,"['process_ach_transfer', 'configure_storage_transfer', 'create_payout', 'set_working_hours', 'detect_scheduling_conflicts', 'set_auto_response', 'upsert_record', 'send_patient_message', 'send_bulk_email', 'schedule_workflow']",1.0,False,False,,,,[],[]
Remove from mailing list,manage_email_list,manage_mailing_list,False,,1427.7749061584473,email_operations,expert,llama3.2:3b,,rag,2,0,False,,email_operations,"['email_operations', 'data_operations', 'web_operations', 'notification_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1118,25,1143,True,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability', 'send_bulk_email', 'search_emails', 'delete_records', 'configure_email_domain', 'http_delete', 'setup_email_automation', 'manage_notification_digest']",2.0,False,False,,,,[],[]
