prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Notify when device goes offline,configure_device_alert,configure_device_alert,True,,3239.621877670288,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['iot_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,3,threshold,441,62,503,True,"['configure_device_alert', 'get_uptime', 'schedule_device_job']",1,False,False,,,,[],[]
Create performance report PDF,generate_report,generate_report,True,,1040.3530597686768,social_media_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,social_media_operations,"['social_media_operations', 'email_operations', 'analytics_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,4,threshold,634,45,679,True,"['analyze_email_metrics', 'generate_report', 'generate_discharge_summary', 'calculate_metrics']",2,False,False,,,,[],[]
Complete discharge documentation,generate_discharge_summary,generate_discharge_summary,True,,1045.5691814422607,healthcare_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,healthcare_operations,"['healthcare_operations', 'file_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,469,61,530,True,"['generate_discharge_summary', 'export_logs', 'get_file_info']",1,False,False,,,,[],[]
Generate LinkedIn post content,generate_content,generate_content,True,,786.3681316375732,social_media_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,social_media_operations,"['social_media_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,bounded,431,39,470,True,"['generate_content', 'generate_report', 'decode_text']",1,False,False,,,,[],[]
Archive completed records,archive_data,archive_data,True,,1003.4151077270508,data_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,data_operations,"['healthcare_operations', 'data_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,3,threshold,472,57,529,True,"['archive_data', 'restore_archived_object', 'retrieve_medical_history']",1,False,False,,,,[],[]
Generate the first 15 Fibonacci numbers,fibonacci,fibonacci,True,,505.97405433654785,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,3,bounded,331,23,354,True,"['fibonacci', 'factorial', 'round_number']",1,False,False,,,,[],[]
Verify the bank account with micro-deposits,verify_payment_method,verify_payment_method,True,,1039.8337841033936,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,3,bounded,483,54,537,True,"['verify_payment_method', 'manage_payment_method', 'create_customer']",1,False,False,,,,[],[]
Release the lock,manage_cache_locks,manage_cache_locks,True,,827.1903991699219,caching_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,caching_operations,"['security_operations', 'caching_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,3,bounded,410,46,456,True,"['manage_cache_locks', 'secrets_scan', 'create_secret']",1,False,False,,,,[],[]
How do I get to Central Park from here?,get_directions,get_directions,True,,2511.960744857788,location_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,location_operations,"['search_operations', 'secrets_operations', 'social_media_operations', 'devops_operations', 'compliance_operations', 'monitoring_operations', 'calendar_operations', 'authentication_operations', 'networking_operations', 'logging_operations', 'web_operations', 'location_operations', 'caching_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2217,26,2243,True,"['get_directions', 'get_place_details', 'graphql_query', 'manage_container_registry', 'create_dashboard', 'restore_cache', 'trigonometry', 'download_file', 'scale_service', 'create_booking_page', 'numerical_integration', 'manage_policy', 'export_logs', 'create_service_account', 'port_scan', 'create_secret', 'track_brand_mentions', 'factorial', 'search_images', 'generate_report']",1,False,False,,,,[],[]
Calculate the MD5 checksum of this text,hash_data,hash_data,True,,810.6808662414551,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['security_operations', 'system_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,3,bounded,451,38,489,True,"['hash_data', 'prime_check', 'decrypt_data']",1,False,False,,,,[],[]
