prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,,False,,2854.21085357666,networking_operations,hard,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2053,49,2102,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,import_csv,False,,4280.246019363403,cloud_storage_operations,expert,llama3.2:3b,,clustering,2,0,False,False,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,2926,92,3018,,[],,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,2964.214324951172,compliance_operations,hard,llama3.2:3b,,clustering,2,0,False,True,compliance_operations,['compliance_operations'],False,False,False,[],,,0,{},,,0,,,2073,60,2133,,[],,False,False,,,,[],[]
Pull text from the Word file,extract_text,,False,,13104.892492294312,document_operations,expert,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['document_operations', 'text_operations', 'text_operations', 'document_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,10423,178,10601,,[],,False,False,,,,[],[]
How long has the system been running?,get_uptime,,False,,12853.885650634766,system_operations,hard,llama3.2:3b,No tool selected in step,clustering,10,4,False,True,system_operations,"['system_operations', 'system_operations', 'monitoring_operations', 'system_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,10431,160,10591,,[],,False,False,,,,[],[]
Mass email announcement,send_bulk_email,manage_email_list,False,,3473.331928253174,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2670,55,2725,,[],,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,2775.606155395508,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2293,33,2326,,[],,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,6093.9178466796875,email_operations,expert,llama3.2:3b,,clustering,4,1,False,True,email_operations,"['document_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,4747,89,4836,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,,False,,4296.670913696289,workflow_operations,hard,llama3.2:3b,No tool selected in step,clustering,3,1,False,,,['text_operations'],False,False,False,[],,,0,{},,,0,,,3677,41,3718,,[],,False,False,,,,[],[]
Is 144 a Fibonacci number?,fibonacci,fibonacci,True,,1382.5569152832031,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2247,38,2285,,[],,False,False,,,,[],[]
