prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,search_images,True,,3710.651397705078,search_operations,expert,llama-3.3-70b,,rag,2,0,False,,search_operations,"['cloud_storage_operations', 'container_operations', 'image_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1030,25,1055,True,"['search_images', 'build_image', 'read_barcode', 'get_cloud_file_info', 'upload_to_cloud']",1,False,False,,,,[],[]
Create CCD document,generate_patient_summary,generate_patient_summary,True,,392.31157302856445,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['payment_operations', 'document_operations', 'security_operations', 'healthcare_operations', 'text_operations', 'ecommerce_operations', 'file_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,1958,22,1980,True,"['create_signature', 'generate_patient_summary', 'create_virtual_card', 'convert_document', 'redact_document', 'create_order', 'document_procedure', 'create_secret', 'extract_text', 'set_permissions']",2,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,409.09600257873535,image_operations,hard,llama-3.3-70b,,rag,2,0,False,,image_operations,"['search_operations', 'text_operations', 'ecommerce_operations', 'location_operations', 'image_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,1892,24,1916,True,"['read_barcode', 'extract_colors', 'create_discount_code', 'get_elevation', 'search_images', 'overlay_images', 'detect_faces_in_video', 'resize_image', 'apply_color_grading', 'decode_text']",1,False,False,,,,[],[]
Document drug allergy,update_allergy_list,update_allergy_list,True,,471.06027603149414,healthcare_operations,expert,llama-3.3-70b,,rag,2,0,False,,healthcare_operations,"['document_operations', 'testing_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1390,54,1444,True,"['update_allergy_list', 'check_drug_interactions', 'document_procedure', 'generate_patient_summary', 'run_accessibility_test', 'convert_document']",1,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,449.0318298339844,email_operations,hard,llama-3.3-70b,,rag,2,0,False,,email_operations,"['messaging_operations', 'email_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,1297,41,1338,True,"['snooze_email', 'schedule_message', 'create_email_signature', 'send_email', 'send_email', 'get_email_headers']",1,False,False,,,,[],[]
Audit access controls,audit_permissions,audit_permissions,True,,464.1711711883545,security_operations,expert,llama-3.3-70b,,rag,2,0,False,,security_operations,"['compliance_operations', 'payment_operations', 'testing_operations', 'security_operations', 'authentication_operations', 'database_operations', 'file_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1682,35,1717,True,"['audit_permissions', 'audit_auth_events', 'generate_audit_log', 'set_queue_policy', 'manage_roles', 'secrets_scan', 'manage_database_locks', 'manage_payment_dispute', 'run_accessibility_test', 'set_permissions']",1,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_url,False,,358.7467670440674,text_operations,hard,llama-3.3-70b,,rag,2,0,False,,web_operations,"['security_operations', 'web_operations', 'text_operations', 'system_operations', 'logging_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,1680,12,1692,True,"['decode_url', 'decode_text', 'encode_text', 'read_barcode', 'compress_decompress', 'decrypt_data', 'extract_text', 'decrypt_file', 'extract_text', 'parse_log_pattern']",2,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,manage_notification_segments,True,,347.8405475616455,notification_operations,expert,llama-3.3-70b,,rag,2,0,False,,notification_operations,"['analytics_operations', 'math_operations', 'location_operations', 'devops_operations', 'system_operations', 'notification_operations', 'image_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,1819,12,1831,True,"['segment_users', 'resize_image', 'geometry', 'get_disk_info', 'read_barcode', 'split_audio', 'calculate_isochrone', 'configure_auto_scaling', 'manage_notification_segments']",9,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,399.3213176727295,analytics_operations,expert,llama-3.3-70b,,rag,2,0,False,,analytics_operations,"['analytics_operations', 'data_operations', 'caching_operations', 'iot_operations', 'devops_operations', 'monitoring_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1777,74,1851,True,"['create_dashboard', 'create_metric', 'forecast_metric', 'segment_users', 'setup_monitoring_alert', 'create_cohort', 'cache_stats', 'track_notification_engagement', 'analyze_device_data', 'get_database_stats']",1,False,False,,,,[],[]
Look up IP address,dns_lookup,dns_lookup,True,,59612.7495765686,networking_operations,hard,llama-3.3-70b,,rag,2,0,False,,networking_operations,"['networking_operations', 'payment_operations', 'web_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,1464,17,1481,True,"['whois_lookup', 'dns_lookup', 'ping_host', 'port_scan', 'check_url_status', 'batch_geocode', 'get_ssl_info', 'http_get', 'web_search', 'get_payment_balance']",2,False,False,,,,[],[]
