prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Update session hash,cache_hash_ops,set_object_lock,False,,2495.4206943511963,caching_operations,hard,llama3.2:3b,,hybrid,2,0,False,False,cloud_storage_operations,"['caching_operations', 'authentication_operations', 'secrets_operations', 'security_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,1745,55,1800,,[],,False,False,,,,[],[]
Set up dead letter queue,set_redrive_policy,configure_dead_letter_queue,False,,2643.266201019287,queue_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,queue_operations,"['queue_operations', 'notification_operations', 'messaging_operations', 'healthcare_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,1986,56,2042,,[],,False,False,,,,[],[]
Turn on request logging,enable_access_logging,enable_access_logging,True,,2061.7408752441406,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['logging_operations', 'cloud_storage_operations', 'authentication_operations', 'notification_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,1567,44,1611,,[],,False,False,,,,[],[]
Group devices by location,create_device_group,get_timezone,False,,2007.572889328003,iot_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,location_operations,"['iot_operations', 'location_operations', 'social_media_operations', 'messaging_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,1682,33,1715,,[],,False,False,,,,[],[]
Search for similar articles,semantic_search,semantic_search,True,,2041.2797927856445,ai_ml_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,ai_ml_operations,"['search_operations', 'ai_ml_operations', 'file_operations', 'text_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,1519,50,1569,,[],,False,False,,,,[],[]
Create a product listing,create_product,search_products,False,,1791.0401821136475,ecommerce_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,search_operations,"['ecommerce_operations', 'search_operations', 'logging_operations', 'monitoring_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,1349,46,1395,,[],,False,False,,,,[],[]
Like the message,create_message_reaction,semantic_search,False,,2241.133689880371,messaging_operations,hard,llama3.2:3b,,hybrid,2,0,False,False,ai_ml_operations,"['messaging_operations', 'notification_operations', 'email_operations', 'logging_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,,,1678,52,1730,,[],,False,False,,,,[],[]
Find files with the same content in the directory,find_duplicates,find_duplicates,True,,1813.7788772583008,file_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,file_operations,"['file_operations', 'document_operations', 'security_operations', 'text_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1411,37,1448,,[],,False,False,,,,[],[]
Upload new firmware,manage_firmware,manage_firmware,True,,1633.829116821289,iot_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,iot_operations,"['iot_operations', 'system_operations', 'security_operations', 'networking_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,1508,18,1526,,[],,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,2254.4844150543213,queue_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,queue_operations,"['queue_operations', 'payment_operations', 'caching_operations', 'notification_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,1878,36,1914,,[],,False,False,,,,[],[]
