prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send daily digest email,send_digest_notification,,False,,847.5122451782227,notification_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2304,348,2652,,[],,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,602.6153564453125,backup_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,2278,39,2317,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,613.0077838897705,ai_ml_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,2740,71,2811,,[],,False,False,,,,[],[]
Configure search ranking boost,boost_search_results,boost_search_results,True,,609.8406314849854,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,search_operations,['search_operations'],False,False,False,[],,,0,{},,,0,,,2586,58,2644,,[],,False,False,,,,[],[]
Export the users table to a CSV,export_csv,,False,,752.3839473724365,data_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2825,278,3103,,[],,False,False,,,,[],[]
Set up audit trigger,manage_database_triggers,manage_database_triggers,True,,591.228723526001,database_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2819,56,2875,,[],,False,False,,,,[],[]
Restore the database from backup,restore_database,,False,,874.4802474975586,database_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,2278,360,2638,,[],,False,False,,,,[],[]
Create secondary index,create_cache_index,manage_database_triggers,False,,592.2517776489258,caching_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2817,64,2881,,[],,False,False,,,,[],[]
Reindex to new version,reindex,,False,,859.2424392700195,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,2821,400,3221,,[],,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,639.1336917877197,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2814,33,2847,,[],,False,False,,,,[],[]
