prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,,False,,842.522144317627,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2734,241,2975,,[],,False,False,,,,[],[]
Create CCD document,generate_patient_summary,,False,,1463.4182453155518,healthcare_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,document_operations,['document_operations'],False,False,False,[],,,0,{},,,0,,,3811,391,4202,,[],,False,False,,,,[],[]
Get the UPC code from the product photo,read_barcode,read_barcode,True,,713.8774394989014,image_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,image_operations,['image_operations'],False,False,False,[],,,0,{},,,0,,,4090,34,4124,,[],,False,False,,,,[],[]
Document drug allergy,update_allergy_list,,False,,59795.02367973328,healthcare_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2733,238,2971,,[],,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,989.2559051513672,email_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,3703,51,3754,,[],,False,False,,,,[],[]
Audit access controls,audit_permissions,audit_permissions,True,,736.6476058959961,security_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,security_operations,['security_operations'],False,False,False,[],,,0,{},,,0,,,4595,46,4641,,[],,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,686.2325668334961,text_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,3854,27,3881,,[],,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,,False,,1784.113883972168,notification_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,3912,300,4212,,[],,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,1003.0057430267334,analytics_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,analytics_operations,['analytics_operations'],False,False,False,[],,,0,{},,,0,,,4153,88,4241,,[],,False,False,,,,[],[]
Look up IP address,dns_lookup,dns_lookup,True,,757.9569816589355,networking_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,,,3457,43,3500,,[],,False,False,,,,[],[]
