prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Map conversion journey,analyze_user_journey,analyze_user_journey,True,,1542.6828861236572,analytics_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,analytics_operations,"['location_operations', 'analytics_operations', 'ecommerce_operations', 'ai_ml_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,24529,49,24578,,[],,False,False,,,,[],[]
Remove the deprecated column from users,drop_column,drop_column,True,,1072.9460716247559,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['secrets_operations', 'authentication_operations', 'data_operations', 'compliance_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,15217,24,15241,,[],,False,False,,,,[],[]
Generate service token,create_api_key,generate_api_key,False,,1340.0678634643555,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,security_operations,"['authentication_operations', 'devops_operations', 'security_operations', 'container_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,22249,59,22308,,[],,False,False,,,,[],[]
Generate an Ed25519 key pair,generate_keypair,generate_keypair,True,,1905.0920009613037,security_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,security_operations,"['security_operations', 'secrets_operations', 'authentication_operations', 'document_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,20609,35,20644,,[],,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,2285.1014137268066,file_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,file_operations,"['authentication_operations', 'secrets_operations', 'cloud_storage_operations', 'security_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,21426,21,21447,,[],,False,False,,,,[],[]
Remove all rows from the cache table,truncate_table,truncate_table,True,,1294.339656829834,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['caching_operations', 'data_operations', 'cloud_storage_operations', 'database_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,24399,23,24422,,[],,False,False,,,,[],[]
Connect LDAP directory,sync_directory,sync_directory,True,,1213.4881019592285,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'networking_operations', 'security_operations', 'database_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,18419,58,18477,,[],,False,False,,,,[],[]
Schedule this task to run every hour,schedule_task,schedule_task,True,,2822.526693344116,system_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,system_operations,"['scheduling_operations', 'calendar_operations', 'queue_operations', 'workflow_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,15094,47,15141,,[],,False,False,,,,[],[]
Overlay image on video,add_video_overlay,add_video_overlay,True,,2598.5724925994873,video_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,video_operations,"['video_operations', 'image_operations', 'audio_operations', 'document_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,24371,54,24425,,[],,False,False,,,,[],[]
Count the lines in the document,count_text,count_text,True,,1302.6316165924072,text_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,text_operations,"['document_operations', 'text_operations', 'payment_operations', 'logging_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,16056,16,16072,,[],,False,False,,,,[],[]
