prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Analyze user journey,analyze_user_journey,analyze_user_journey,True,,2979.539155960083,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['analytics_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1169,48,1217,True,"['analyze_user_journey', 'create_funnel_analysis', 'track_event', 'analyze_calendar_usage', 'compute_attribution', 'create_funnel']",1,False,False,,,,[],[]
Delete the unused field from the table,drop_column,drop_column,True,,448.23408126831055,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,3,threshold,555,26,581,True,"['drop_column', 'truncate_table', 'trim_text']",1,False,False,,,,[],[]
Create an API key,create_api_key,create_api_key,True,,396.8546390533447,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1875,61,1936,True,"['create_api_key', 'revoke_api_key', 'generate_keypair', 'generate_jwt', 'rotate_keys', 'manage_oauth', 'create_user', 'oauth_authenticate', 'configure_passwordless']",1,False,False,,,,[],[]
Create public and private keys,generate_keypair,generate_keypair,True,,322.8006362915039,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['security_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,threshold,707,39,746,True,"['generate_keypair', 'create_api_key', 'create_user']",1,False,False,,,,[],[]
Set the folder permissions to 755,change_permissions,change_permissions,True,,425.4322052001953,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,"['file_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,3,threshold,521,19,540,True,"['change_permissions', 'set_owner', 'set_secret_policy']",1,False,False,,,,[],[]
Truncate the sessions table,truncate_table,truncate_table,True,,349.7190475463867,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['data_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,3,bounded,577,23,600,True,"['truncate_table', 'set_log_retention', 'drop_column']",1,False,False,,,,[],[]
Import users from Azure AD,sync_directory,sync_directory,True,,385.1325511932373,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['analytics_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,753,72,825,True,"['sync_directory', 'create_user', 'analyze_user_journey']",1,False,False,,,,[],[]
Set up a recurring task,schedule_task,create_scheduled_job,False,,373.3377456665039,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,scheduling_operations,"['notification_operations', 'healthcare_operations', 'ecommerce_operations', 'email_operations', 'calendar_operations', 'system_operations', 'workflow_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,11,threshold,2013,58,2071,True,"['schedule_task', 'schedule_workflow', 'create_scheduled_job', 'schedule_follow_up', 'update_job_schedule', 'resume_scheduled_job', 'pause_scheduled_job', 'schedule_meeting_poll', 'manage_subscriptions', 'setup_email_automation', 'create_notification_campaign']",1,False,False,,,,[],[]
Add picture-in-picture,add_video_overlay,add_video_overlay,True,,352.17952728271484,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['image_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1341,54,1395,True,"['create_collage', 'add_video_overlay', 'add_watermark', 'detect_objects', 'create_thumbnail', 'convert_image_format']",2,False,False,,,,[],[]
How many characters are in the string?,count_text,count_text,True,,420.8810329437256,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,3,bounded,651,16,667,True,"['count_text', 'generate_lorem_ipsum', 'extract_text']",1,False,False,,,,[],[]
