prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search for images,search_images,,False,,1008.9693069458008,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,image_operations,['image_operations'],False,False,False,[],,,0,{},,,0,,,2937,93,3030,,[],,False,False,,,,[],[]
Export patient record,generate_patient_summary,generate_patient_summary,True,,985.567569732666,healthcare_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,,,3074,75,3149,,[],,False,False,,,,[],[]
Decode all barcodes in the image,read_barcode,read_barcode,True,,637.6183032989502,image_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,image_operations,['image_operations'],False,False,False,[],,,0,{},,,0,,,2945,43,2988,,[],,False,False,,,,[],[]
Remove allergy from record,update_allergy_list,update_allergy_list,True,,797.3315715789795,healthcare_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,,,3076,70,3146,,[],,False,False,,,,[],[]
Remind me about this email tomorrow,snooze_email,,False,,1453.618049621582,email_operations,hard,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,notification_operations,['notification_operations'],False,False,False,[],,,0,{},,,0,,,2715,96,2811,,[],,False,False,,,,[],[]
Find world-writable files,audit_permissions,,False,,1488.2664680480957,security_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,system_operations,['system_operations'],False,False,False,[],,,0,{},,,0,,,2561,231,2792,,[],,False,False,,,,[],[]
URL decode the text,decode_text,,False,,1096.348762512207,text_operations,hard,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2107,112,2219,,[],,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,,False,,1150.9346961975098,notification_operations,expert,llama-3.3-70b,No tool selected in step,clustering,2,0,False,False,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,,,2714,394,3108,,[],,False,False,,,,[],[]
Create visualization charts,create_dashboard,create_dashboard,True,,1084.764003753662,analytics_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,analytics_operations,['analytics_operations'],False,False,False,[],,,0,{},,,0,,,2932,79,3011,,[],,False,False,,,,[],[]
Resolve DNS records,dns_lookup,dns_lookup,True,,705.3091526031494,networking_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,networking_operations,['networking_operations'],False,False,False,[],,,0,{},,,0,,,2893,43,2936,,[],,False,False,,,,[],[]
