prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3451.817035675049,networking_operations,hard,llama3.2:3b,,rag,2,0,False,,networking_operations,"['email_operations', 'networking_operations', 'compliance_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,595,36,631,True,"['ping_host', 'get_uptime', 'run_compliance_check', 'setup_email_automation', 'fibonacci']",1,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1289.9940013885498,cloud_storage_operations,hard,llama3.2:3b,,rag,2,0,False,,cloud_storage_operations,"['cloud_storage_operations', 'document_operations', 'workflow_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,640,45,685,True,"['restore_archived_object', 'get_uptime', 'extract_text', 'manage_mfa', 'cancel_workflow']",1,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,1183.5143566131592,compliance_operations,hard,llama3.2:3b,,rag,2,0,False,,compliance_operations,"['email_operations', 'compliance_operations', 'workflow_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,620,41,661,True,"['run_compliance_check', 'manage_mfa', 'get_uptime', 'cancel_workflow', 'setup_email_automation']",1,False,False,,,,[],[]
OCR this scanned document,extract_text,extract_text,True,,1885.9727382659912,document_operations,hard,llama3.2:3b,,rag,2,0,False,,document_operations,"['cloud_storage_operations', 'document_operations', 'compliance_operations', 'authentication_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,678,83,761,True,"['extract_text', 'fibonacci', 'run_compliance_check', 'restore_archived_object', 'manage_mfa']",1,False,False,,,,[],[]
How long has the system been running?,get_uptime,get_uptime,True,,1045.3600883483887,system_operations,hard,llama3.2:3b,,rag,2,0,False,,system_operations,"['cloud_storage_operations', 'networking_operations', 'compliance_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,624,30,654,True,"['get_uptime', 'run_compliance_check', 'fibonacci', 'ping_host', 'restore_archived_object']",1,False,False,,,,[],[]
Mass email announcement,send_bulk_email,send_bulk_email,True,,1315.9518241882324,email_operations,hard,llama3.2:3b,,rag,2,0,False,,email_operations,"['workflow_operations', 'email_operations', 'document_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,621,51,672,True,"['send_bulk_email', 'setup_email_automation', 'extract_text', 'fibonacci', 'cancel_workflow']",1,False,False,,,,[],[]
Set up authenticator app,manage_mfa,manage_mfa,True,,942.758321762085,authentication_operations,hard,llama3.2:3b,,rag,2,0,False,,authentication_operations,"['email_operations', 'networking_operations', 'compliance_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,620,25,645,True,"['manage_mfa', 'run_compliance_check', 'setup_email_automation', 'ping_host', 'get_uptime']",1,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,1394.9689865112305,email_operations,hard,llama3.2:3b,,rag,2,0,False,,email_operations,"['math_operations', 'email_operations', 'authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,658,52,710,True,"['setup_email_automation', 'send_bulk_email', 'manage_mfa', 'run_compliance_check', 'fibonacci']",1,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1195.8041191101074,workflow_operations,hard,llama3.2:3b,,rag,2,0,False,,workflow_operations,"['workflow_operations', 'email_operations', 'authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,651,39,690,True,"['cancel_workflow', 'setup_email_automation', 'run_compliance_check', 'manage_mfa', 'send_bulk_email']",1,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,883.7969303131104,math_operations,hard,llama3.2:3b,,rag,2,0,False,,math_operations,"['networking_operations', 'document_operations', 'authentication_operations', 'math_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,601,23,624,True,"['fibonacci', 'get_uptime', 'ping_host', 'manage_mfa', 'extract_text']",1,False,False,,,,[],[]
