prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,analyze_calendar_usage,False,,1510.9622478485107,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,calendar_operations,"['calendar_operations', 'logging_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,2745,39,2784,,[],,False,False,,,,[],[]
Verify backup integrity,verify_backup,verify_backup,True,,527.5230407714844,backup_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,backup_operations,"['backup_operations', 'system_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2026,24,2050,,[],,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,856.9607734680176,ai_ml_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,ai_ml_operations,"['ai_ml_operations', 'audio_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,3280,59,3339,,[],,False,False,,,,[],[]
Prioritize recent content,boost_search_results,boost_search_results,True,,712.1951580047607,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'caching_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,,,3395,42,3437,,[],,False,False,,,,[],[]
Download query results as CSV,export_csv,export_csv,True,,1123.1930255889893,data_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['web_operations', 'data_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,4427,37,4464,,[],,False,False,,,,[],[]
Disable trigger,manage_database_triggers,,False,,743.7267303466797,database_operations,expert,llama-3.3-70b,Model did not call any tool,hybrid,2,0,False,,,"['monitoring_operations', 'rate_limiting_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,2005,333,2338,,[],,False,False,,,,[],[]
Import the SQL dump,restore_database,execute_query,False,,8620.773077011108,database_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,database_operations,"['data_operations', 'database_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,3296,22,3318,,[],,False,False,,,,[],[]
Create cache search index,create_cache_index,create_cache_index,True,,444.3325996398926,caching_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,caching_operations,"['caching_operations', 'search_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,2711,71,2782,,[],,False,False,,,,[],[]
Copy documents to new index,reindex,reindex,True,,655.1313400268555,search_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,search_operations,"['file_operations', 'search_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,2869,32,2901,,[],,False,False,,,,[],[]
Enable WebAuthn,configure_passwordless,configure_passwordless,True,,386.58928871154785,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,2627,23,2650,,[],,False,False,,,,[],[]
