prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please send a digest notification. Send daily digest email,send_digest_notification,send_digest_notification,True,,532.416582107544,notification_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8350,52,8402,,[],,False,False,,,,[],[]
I need to verify the integrity of a backup. Test backup restorability,verify_backup,verify_backup,True,,420.92323303222656,backup_operations,hard,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8355,30,8385,,[],,False,False,,,,[],[]
I need to create a data labeling job. Label training data,create_labeling_job,create_labeling_job,True,,769.7334289550781,ai_ml_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8352,59,8411,,[],,False,False,,,,[],[]
I need to boost search results. Configure search ranking boost,boost_search_results,boost_search_results,True,,418.49207878112793,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8351,53,8404,,[],,False,False,,,,[],[]
I need to export data to a CSV file. Export the users table to a CSV,export_csv,export_csv,True,,414.5989418029785,data_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8357,20,8377,,[],,False,False,,,,[],[]
I need to create and manage database triggers for automated actions. Set up audit trigger,manage_database_triggers,manage_database_triggers,True,,409.9259376525879,database_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8356,55,8411,,[],,False,False,,,,[],[]
Please restore a database from a backup file. Restore the database from backup,restore_database,restore_database,True,,422.3287105560303,database_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8354,27,8381,,[],,False,False,,,,[],[]
I need to create a search index on cached data. Create secondary index,create_cache_index,create_cache_index,True,,460.6640338897705,caching_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8354,71,8425,,[],,False,False,,,,[],[]
I need to reindex documents. Reindex to new version,reindex,reindex,True,,59826.024293899536,search_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8352,32,8384,,[],,False,False,,,,[],[]
I need to configure passwordless authentication. Configure passkey authentication,configure_passwordless,configure_passwordless,True,,439.06235694885254,authentication_operations,expert,llama-3.3-70b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,8352,41,8393,,[],,False,False,,,,[],[]
