prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
How can I get the geolocation of Berlin in Germany?,v1_geocoding,v1_geocoding,True,False,4513.793230056763,category_24,hard,llama3.2:3b,,adaptive_rag,2,0,False,,category_24,"['category_32', 'category_33', 'category_38', 'category_23', 'category_6', 'category_24', 'category_22', 'category_5', 'category_31', 'category_40', 'category_15', 'category_12', 'category_1', 'category_39', 'category_9']",False,False,False,[],,,0,"{'city': True, 'country': False}",,,0,20,bounded,2129,26,2155,True,"['v1_geocoding', 'timezone', 'location_search', 'get_district_capital_by_name', 'city_list', 'v1_worldtime', 'navigations_get_tabs', 'get_horoscope_multilingual', 'estimated_salary', 'get_all_bodies_positions', 'gethistoricalscoresbyyear', 'airport_search', 'getnews', 'get_dns_records', 'getstatsbyyear', 'currencies', 'get_stores', 'get_search_keyword', 'get_3_month_historical_daily_prices', 'get_5_year_historical_monthly_prices']",1,False,False,,,,[],[]
Get the current time in Sydney using its coordinates.,v1_worldtime,v1_worldtime,True,False,2326.467990875244,category_22,expert,llama3.2:3b,,adaptive_rag,2,0,False,,category_22,"['category_32', 'category_14', 'category_33', 'category_23', 'category_9', 'category_8', 'category_6', 'category_24', 'category_22', 'category_31', 'category_40', 'category_15', 'category_7', 'category_1', 'category_28', 'category_39']",False,False,False,[],,,0,"{'lat': False, 'lon': False}",,,0,20,bounded,2078,31,2109,True,"['v1_worldtime', 'timezone', 'xyz_map_tiles_for_ocean_conditions', 'get_all_bodies_positions', 'results_by_date', 'v1_geocoding', 'job_salary', 'get_crime_rates_by_zip', 'final_velocity', 'currencies', 'get_horoscope_multilingual', 'gethistoricalscoresbyyear', 'get_3_month_historical_daily_prices', 'get_5_year_historical_monthly_prices', 'getstatsbyyear', 'estimated_salary', 'get_district_capital_by_name', 'can_attend_all_meetings', 'location_search', 'airport_search']",1,False,False,,,,[],[]
What is the estimated salary for a Financial Analyst in Chicago within a 300km radius?,job_salary,estimated_salary,False,,2099.3711948394775,category_32,hard,llama3.2:3b,,adaptive_rag,2,0,False,,category_40,"['category_3', 'category_32', 'category_17', 'category_33', 'category_14', 'category_6', 'category_30', 'category_22', 'category_10', 'category_40', 'category_36', 'category_12', 'category_28', 'category_21']",False,False,False,[],,,0,{},,,0,20,bounded,1863,31,1894,True,"['estimated_salary', 'job_salary', 'estimate_market_value', 'stockprice', 'get_5_year_historical_quarterly_prices', 'city_list', 'properties_get_running_costs', 'get_5_year_historical_monthly_prices', 'get_3_month_historical_daily_prices', 'stocks_get_financials', 'getpeople', 'gethistoricalscoresbyyear', 'straddle', 'airport_search', 'get_3_summary', 'get_all_companies_paginated', 'get_district_capital_by_name', 'monthly_mortgage_payment', 'get_all_advisories', 'nhl_summary']",2,False,False,,,,[],[]
I need the full metadata for the podcast with Show ID '4iVcZGZGzRjHapWXYqXToT'.,get_podcast_metadata,get_podcast_metadata,True,True,2310.415506362915,category_10,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_10,"['category_17', 'category_32', 'category_33', 'category_23', 'category_9', 'category_6', 'category_30', 'category_27', 'category_19', 'category_5', 'category_10', 'category_12', 'category_1', 'category_25', 'category_20', 'category_28', 'category_31']",False,False,False,[],,,0,{'showid': True},,,0,20,bounded,1959,38,1997,True,"['get_podcast_metadata', 'shazam_songs_get_details', 'song_info', 'metadata', 'player_statistics_seasons', 'get_articles', 'nhl_summary', 'downloadminecraftjar', 'get_video_urls', 'getnews', 'getsearchresults', 'new_releases', 'getlatestbysecuritiescode', 'nhl_picks', 'get_3_summary', 'market_most_actives', 'product_id', 'search_for_channels', 'gethistoricalscoresbyyear', 'stocks_get_financials']",1,False,False,,,,[],[]
Could you provide the constructor standings after the 5th round of the 2022 Formula 1 season?,constructorstandingsafterarace,constructorstandingsafterarace,True,True,2293.2276725769043,category_15,hard,llama3.2:3b,,adaptive_rag,2,0,False,,category_15,"['category_3', 'category_17', 'category_33', 'category_23', 'category_11', 'category_6', 'category_22', 'category_13', 'category_36', 'category_40', 'category_10', 'category_15', 'category_26', 'category_20', 'category_28', 'category_31']",False,False,False,[],,,0,"{'year': True, 'round': True}",,,0,20,bounded,2044,28,2072,True,"['constructorstandingsafterarace', 'ligue_1_standings', 'player_statistics_seasons', 'team_list', 'get_5_year_historical_quarterly_prices', 'ufc_fight_night_vettori_vs_cannonier_june_17_2023', 'get_3_summary', 'getstatsbyyear', 'nhl_picks', 'get_coin_modifiers', 'estimated_salary', 'estimate_market_value', 'gethistoricalscoresbyyear', 'new_titles', 'get_5_year_historical_monthly_prices', 'nhl_summary', 'market_most_actives', 'results_by_date', 'rsi_oversold', 'get_host_list_version_hosts_get']",1,False,False,,,,[],[]
Retrieve straddle data for Apple Inc.,straddle,straddle,True,True,2193.580150604248,category_22,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_22,"['category_3', 'category_17', 'category_23', 'category_6', 'category_27', 'category_19', 'category_22', 'category_5', 'category_10', 'category_40', 'category_15', 'category_12', 'category_1', 'category_25', 'category_28']",False,False,False,[],,,0,{'ticker': True},,,0,20,bounded,1863,18,1881,True,"['straddle', 'getlatestbysecuritiescode', 'get_podcast_metadata', 'shazam_songs_get_details', 'metadata', 'song_info', 'timezone', 'get_litecoin_block_by_hash_or_height', 'live_giveaways_by_platform', 'get_all_bodies_positions', 'stockprice', 'get_username_point_blank', 'obd2_code', 'player_statistics_seasons', 'getstatsbyyear', 'nhl_summary', 'gethistoricalscoresbyyear', 'results_by_date', 'get_3_month_historical_daily_prices', 'nhl_picks']",1,False,False,,,,[],[]
"For a star party in Cape Town on April 10th, 2023, at 10 PM, what celestial bodies will be in the sky?",get_all_bodies_positions,get_all_bodies_positions,True,False,3133.2409381866455,category_1,expert,llama3.2:3b,,adaptive_rag,2,0,False,,category_1,"['category_29', 'category_33', 'category_14', 'category_12', 'category_23', 'category_28', 'category_6', 'category_22', 'category_31', 'category_10', 'category_40', 'category_15', 'category_7', 'category_1', 'category_37', 'category_20', 'category_39', 'category_9']",False,False,False,[],,,0,"{'latitude': False, 'longitude': False, 'from_date': True, 'to_date': False, 'time': True}",,,0,20,bounded,2443,66,2509,True,"['get_all_bodies_positions', 'v1_stars', 'location_search', 'search_return_flights', 'timezone', 'v1_worldtime', 'get_horoscope_multilingual', 'can_attend_all_meetings', 'ufc_fight_night_vettori_vs_cannonier_june_17_2023', 'airport_search', 'get_district_capital_by_name', 'final_velocity', 'currencies', 'nhl_picks', 'xyz_map_tiles_for_ocean_conditions', 'results_by_date', 'get_movies_by_year', 'live_giveaways_by_platform', 'new_titles', 'is_prime']",1,False,False,,,,[],[]
Get the search results for the YouTube influencer with search ID 'YT1122334455'.,getsearchresults,getsearchresults,True,True,594.0978527069092,category_30,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_30,"['category_30', 'category_9']",False,False,False,[],,,0,{'is_id': True},,,0,3,elbow,387,23,410,True,"['getsearchresults', 'search_for_channels', 'getpeople']",1,False,False,,,,[],[]
"Retrieve 100 articles from the 'Nasa Climate' source, excluding 'The Guardian'.",get_articles,get_articles,True,True,2572.026252746582,category_31,hard,llama3.2:3b,,adaptive_rag,2,0,False,,category_31,"['category_29', 'category_33', 'category_14', 'category_23', 'category_9', 'category_6', 'category_30', 'category_5', 'category_13', 'category_10', 'category_40', 'category_1', 'category_37', 'category_20', 'category_28', 'category_31']",False,False,False,[],,,0,"{'limit': True, 'exclude': True, 'source': True}",,,0,20,bounded,2337,32,2369,True,"['get_articles', 'getnews', 'getstatsbyyear', 'v1_stars', 'gethistoricalscoresbyyear', 'location_search', 'get_all_bodies_positions', 'get_host_list_version_hosts_get', 'get_all_advisories', 'get_all_companies_paginated', 'get_movies_by_year', 'search_return_flights', 'player_statistics_seasons', 'get_horoscope_multilingual', 'getpeople', 'team_list', 'nhl_picks', 'airport_search', 'navigations_get_node_content', 'nhl_summary']",1,False,False,,,,[],[]
Fetch contact information for partner 'PART002'.,partenaire_par_id,partenaire_par_id,True,True,2314.5570755004883,category_27,medium,llama3.2:3b,,adaptive_rag,2,0,False,,category_27,"['category_32', 'category_33', 'category_7', 'category_23', 'category_35', 'category_6', 'category_30', 'category_27', 'category_5', 'category_10', 'category_39', 'category_11', 'category_12', 'category_1', 'category_26', 'category_28', 'category_31']",False,False,False,[],,,0,{'is_id': True},,,0,20,bounded,1957,21,1978,True,"['partenaire_par_id', 'memre_api_v1_readiness', 'getpeople', 'getlatestbysecuritiescode', 'get_username_point_blank', 'brands_detail', 'get_horoscope_multilingual', 'stocks_get_financials', 'get_user_feed', 'job_salary', 'product_id', 'search_return_flights', 'phone_number', 'get_order', 'obd2_code', 'ligue_1_standings', 'get_mempool_v2', 'specific_giveaway_details', 'get_all_advisories', 'get_3_summary']",1,False,False,,,,[],[]
