prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Search stock images,search_images,search_images,True,,6203.155994415283,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['image_operations', 'ai_ml_operations', 'web_operations', 'search_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,25,bounded,4309,40,4349,True,"['search_images', 'analyze_image', 'get_image_info', 'ocr_image', 'web_search', 'search_documents', 'search_products', 'detect_objects', 'compare_images', 'overlay_images', 'create_collage', 'configure_search_relevance', 'create_collage', 'extract_colors', 'rerank_results', 'search_documents', 'flip_image', 'semantic_search', 'read_barcode', 'search_products', 'generate_image', 'search_files', 'search_file_content', 'search_database', 'semantic_search']",1.0,False,False,,,,[],[]
Generate patient summary,generate_patient_summary,generate_patient_summary,True,,452.913761138916,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,"['logging_operations', 'analytics_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,25,bounded,5515,63,5578,True,"['generate_patient_summary', 'generate_discharge_summary', 'summarize_text', 'create_clinical_note', 'create_patient_record', 'document_clinical_note', 'create_care_plan', 'retrieve_medical_history', 'document_procedure', 'calculate_clinical_score', 'record_vital_signs', 'create_cohort', 'analyze_cohort', 'refer_patient', 'send_patient_message', 'record_vital_signs', 'close_encounter', 'order_lab_test', 'word_count', 'schedule_appointment', 'aggregate_logs', 'reconcile_medications', 'generate_report', 'segment_users', 'order_imaging']",1.0,False,False,,,,[],[]
Scan the barcode in the image,read_barcode,read_barcode,True,,454.1356563568115,image_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,image_operations,"['image_operations', 'testing_operations', 'ai_ml_operations', 'search_operations', 'system_operations', 'file_operations', 'security_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,25,bounded,4544,14,4558,True,"['read_barcode', 'generate_qr_code', 'ocr_image', 'analyze_image', 'detect_objects', 'extract_colors', 'search_images', 'get_image_info', 'detect_faces', 'crop_image', 'rotate_image', 'scan_vulnerabilities', 'encode_decode', 'add_watermark', 'scan_vulnerabilities', 'compare_images', 'add_border', 'read_binary_file', 'secrets_scan', 'convert_image_format', 'scan_cache_keys', 'resize_image', 'run_security_scan', 'apply_filter', 'extract_colors']",1.0,False,False,,,,[],[]
Document drug allergy,update_allergy_list,update_allergy_list,True,,403.14197540283203,healthcare_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,healthcare_operations,['healthcare_operations'],False,False,False,[],,,0,{},,,0,9,threshold,2361,54,2415,True,"['update_allergy_list', 'check_drug_interactions', 'check_drug_interaction', 'reconcile_medications', 'prescribe_medication', 'record_immunization', 'document_clinical_note', 'create_clinical_note', 'manage_prior_authorization']",1.0,False,False,,,,[],[]
Snooze this email,snooze_email,snooze_email,True,,372.7097511291504,email_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['email_operations', 'calendar_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,10,threshold,1803,41,1844,True,"['snooze_email', 'set_email_auto_reply', 'setup_email_automation', 'set_out_of_office', 'handle_bounce', 'archive_email', 'schedule_message', 'send_email', 'schedule_message', 'import_emails']",1.0,False,False,,,,[],[]
Find world-writable files,audit_permissions,audit_permissions,True,,545.9644794464111,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['cloud_storage_operations', 'file_operations', 'security_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,25,bounded,3939,19,3958,True,"['get_file_info', 'read_file', 'get_cloud_file_info', 'search_files', 'list_cloud_files', 'find_duplicates', 'write_file', 'list_directory', 'find_duplicates', 'get_file_checksum', 'change_permissions', 'sync_to_cloud', 'watch_directory', 'set_permissions', 'search_file_content', 'calculate_checksum', 'watch_file', 'upload_to_cloud', 'audit_permissions', 'check_file_signature', 'hash_data', 'set_owner', 'get_disk_usage', 'delete_cloud_file', 'get_disk_info']",19.0,False,False,,,,[],[]
URL decode the text,decode_text,decode_url,False,,428.27701568603516,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,web_operations,"['image_operations', 'document_operations', 'text_operations', 'web_operations', 'system_operations', 'file_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,25,bounded,3942,14,3956,True,"['decode_url', 'decode_text', 'encode_url', 'encode_text', 'encode_decode', 'check_url_status', 'sitemap_parse', 'validate_url', 'shorten_url', 'scrape_webpage', 'extract_text', 'parse_html', 'extract_text', 'http_get', 'parse_html', 'extract_text_from_document', 'scrape_webpage', 'check_url_status', 'search_text', 'read_binary_file', 'read_file', 'download_file', 'curl_request', 'ocr_image', 'reverse_geocode']",2.0,False,False,,,,[],[]
Estimate segment size,manage_notification_segments,geometry,False,,371.8993663787842,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,math_operations,"['image_operations', 'analytics_operations', 'rate_limiting_operations', 'math_operations', 'system_operations', 'audio_operations', 'file_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,12,threshold,2336,22,2358,False,"['segment_users', 'crop_image', 'segment_users', 'resize_image', 'get_disk_usage', 'detect_scene_changes', 'geometry', 'get_disk_usage', 'get_quota_usage', 'get_disk_info', 'calculate_metrics', 'split_audio']",,False,False,,,,[],[]
Build a metrics dashboard,create_dashboard,create_dashboard,True,,468.1971073150635,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['notification_operations', 'iot_operations', 'analytics_operations', 'rate_limiting_operations', 'social_media_operations', 'email_operations', 'calendar_operations', 'queue_operations', 'devops_operations', 'monitoring_operations', 'workflow_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,25,bounded,4372,65,4437,True,"['create_dashboard', 'create_dashboard', 'create_dashboard', 'create_metric', 'calculate_metrics', 'generate_analytics_report', 'create_log_dashboard', 'query_metrics', 'monitor_metrics', 'forecast_metric', 'record_metric', 'alert_on_metric', 'analyze_email_metrics', 'get_notification_analytics', 'get_workflow_metrics', 'analyze_notification_performance', 'get_rate_limit_metrics', 'analyze_anomalies', 'create_funnel_analysis', 'analyze_calendar_usage', 'analyze_user_journey', 'get_analytics', 'get_queue_metrics', 'create_alert_rule', 'segment_users']",1.0,False,False,,,,[],[]
Get MX records,dns_lookup,dns_lookup,True,,60711.90166473389,networking_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,networking_operations,"['email_operations', 'healthcare_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,18,threshold,2705,17,2722,True,"['resolve_dns', 'dns_lookup', 'whois_lookup', 'get_email_headers', 'retrieve_medical_history', 'get_email_status', 'import_emails', 'manage_email_list', 'verify_email_address', 'test_email_deliverability', 'get_email_attachments', 'configure_email_domain', 'verify_email_address', 'manage_mailing_list', 'export_emails', 'configure_email_domain', 'handle_bounce', 'restore_archived_email']",2.0,False,False,,,,[],[]
