prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,4377.57682800293,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'location_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,3706,33,3739,,[],,False,False,,,,[],[]
Restore file from Glacier,restore_archived_object,,False,,6392.287015914917,cloud_storage_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['cloud_storage_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,4096,136,4232,,[],,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,3232.5103282928467,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'monitoring_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,2732,29,2761,,[],,False,False,,,,[],[]
Get the text content,extract_text,extract_text_from_document,False,,4110.094308853149,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['text_operations', 'document_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,3384,46,3430,,[],,False,False,,,,[],[]
When was the server last rebooted?,get_uptime,get_uptime,True,,4361.425161361694,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['caching_operations', 'system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,3829,30,3859,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,3813.275098800659,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'messaging_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,3136,45,3181,,[],,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,3526.2579917907715,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,3232,18,3250,,[],,False,False,,,,[],[]
Automate onboarding emails,setup_email_automation,,False,,16648.427963256836,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'messaging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,4096,768,4864,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,3291.759729385376,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2761,31,2792,,[],,False,False,,,,[],[]
What is the 10th Fibonacci number?,fibonacci,,False,,4640.034198760986,math_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'payment_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,25,4121,,[],,False,False,,,,[],[]
Debit customer's bank account,process_ach_transfer,,False,,6297.381162643433,payment_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['payment_operations', 'authentication_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,4096,128,4224,,[],,False,False,,,,[],[]
Clean invalid emails,manage_email_list,,False,,7588.149309158325,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'messaging_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,208,4304,,[],,False,False,,,,[],[]
Run the workflow,run_workflow,run_workflow,True,,3577.3098468780518,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,2978,36,3014,,[],,False,False,,,,[],[]
Create a mirror image,flip_image,flip_image,True,,4187.975883483887,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'backup_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,3688,31,3719,,[],,False,False,,,,[],[]
Find photos of beaches,search_images,get_cloud_file_info,False,,4525.525093078613,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,cloud_storage_operations,"['image_operations', 'container_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,3930,34,3964,,[],,False,False,,,,[],[]
Calculate 52 choose 5,permutation_combination,,False,,9519.995212554932,math_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'healthcare_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,4096,333,4429,,[],,False,False,,,,[],[]
Message patient through portal,send_patient_message,,False,,9531.378984451294,healthcare_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['messaging_operations', 'healthcare_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,4096,331,4427,,[],,False,False,,,,[],[]
Get container logs,get_container_logs,get_container_logs,True,,4277.143955230713,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'logging_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,3273,56,3329,,[],,False,False,,,,[],[]
Create a composite index on user_id and created_at,create_index,,False,,7220.66593170166,data_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['authentication_operations', 'social_media_operations', 'analytics_operations']",False,False,False,[],,,0,{},,,0,,,4096,186,4282,,[],,False,False,,,,[],[]
Show info about the uploaded document,get_cloud_file_info,,False,,8242.703199386597,cloud_storage_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['document_operations', 'file_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,4096,245,4341,,[],,False,False,,,,[],[]
View active jobs,list_scheduled_jobs,list_scheduled_jobs,True,,4545.310974121094,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'queue_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,4085,19,4104,,[],,False,False,,,,[],[]
Get logs for the payment service,manage_logs,search_logs,False,,3427.116632461548,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,logging_operations,"['payment_operations', 'logging_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,3106,18,3124,,[],,False,False,,,,[],[]
Calculate mutation score,run_mutation_test,,False,,10966.044187545776,testing_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['testing_operations', 'math_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,419,4515,,[],,False,False,,,,[],[]
Create image from Dockerfile,build_image,build_image,True,,4785.070896148682,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'image_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,3931,44,3975,,[],,False,False,,,,[],[]
Failover to replica,manage_database_replication,,False,,4505.778074264526,database_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['backup_operations', 'cloud_storage_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,4096,17,4113,,[],,False,False,,,,[],[]
Upsert the product record by SKU,upsert_record,,False,,8252.39610671997,data_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['ecommerce_operations', 'data_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,4096,249,4345,,[],,False,False,,,,[],[]
Deduplicate the contacts table,deduplicate_data,deduplicate_data,True,,4918.070077896118,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'email_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,4020,46,4066,,[],,False,False,,,,[],[]
List user devices,manage_push_subscriptions,query_devices,False,,4685.075998306274,notification_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,iot_operations,"['iot_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,3923,43,3966,,[],,False,False,,,,[],[]
