prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,5963.90175819397,networking_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,networking_operations,"['testing_operations', 'monitoring_operations', 'email_operations', 'devops_operations', 'analytics_operations', 'payment_operations', 'queue_operations', 'networking_operations', 'location_operations', 'ai_ml_operations', 'iot_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,20,bounded,1969,37,2006,True,"['ping_host', 'get_network_info', 'traceroute', 'create_vpn_connection', 'get_coverage', 'run_ab_test', 'run_mutation_test', 'create_ab_test', 'run_experiment_analysis', 'test_email_deliverability', 'geocode_address', 'get_queue_metrics', 'query_devices', 'get_alert_status', 'validate_address', 'get_payment_status', 'get_uptime', 'monitor_metrics', 'get_pipeline_status', 'create_edge_deployment']",1.0,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,3007.246971130371,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['secrets_operations', 'file_operations', 'database_operations', 'data_operations', 'ecommerce_operations', 'backup_operations', 'cloud_storage_operations', 'queue_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2372,27,2399,True,"['restore_archived_object', 'configure_storage_transfer', 'backup_database', 'manage_multipart_upload', 'replicate_backup', 'redrive_messages', 'compress_files', 'set_object_lock', 'list_backups', 'retry_failed_jobs', 'cache_warm', 'upload_to_cloud', 'manage_cache_policy', 'manage_storage_analytics', 'manage_abandoned_carts', 'get_cloud_file_info', 'manage_cache_locks', 'clone_table', 'delete_secret', 'calculate_storage_cost']",1.0,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,3123.328685760498,compliance_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,compliance_operations,"['healthcare_operations', 'workflow_operations', 'database_operations', 'compliance_operations', 'ecommerce_operations', 'authentication_operations', 'text_operations', 'devops_operations', 'analytics_operations', 'payment_operations', 'calendar_operations', 'queue_operations', 'cloud_storage_operations', 'rate_limiting_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2316,38,2354,True,"['run_compliance_check', 'manage_database_audit', 'configure_tax_rules', 'manage_mfa', 'monitor_metrics', 'whitelist_key', 'create_throttle_policy', 'check_grammar', 'get_pipeline_status', 'manage_device_trust', 'run_workflow', 'manage_payment_dispute', 'check_drug_interaction', 'retry_failed_jobs', 'create_metric', 'manage_ssl_certificate', 'detect_scheduling_conflicts', 'analyze_user_paths', 'get_alert_status', 'set_object_lock']",1.0,False,False,,,,[],[]
Get the text content,extract_text,get_container_logs,False,,2725.212335586548,document_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,container_operations,"['healthcare_operations', 'social_media_operations', 'monitoring_operations', 'document_operations', 'text_operations', 'image_operations', 'container_operations', 'cloud_storage_operations', 'payment_operations', 'notification_operations', 'location_operations', 'ai_ml_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,20,bounded,1912,42,1954,True,"['extract_text', 'search_text', 'compare_texts', 'format_text', 'generate_text', 'extract_keywords', 'check_grammar', 'get_cloud_file_info', 'get_notification_status', 'moderate_content', 'get_elevation', 'correct_spelling', 'read_barcode', 'get_container_logs', 'get_payment_status', 'flatten_pdf', 'generate_document_from_template', 'get_alert_status', 'generate_patient_summary', 'get_network_info']",1.0,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,2858.3731651306152,system_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['healthcare_operations', 'workflow_operations', 'devops_operations', 'scheduling_operations', 'analytics_operations', 'calendar_operations', 'queue_operations', 'networking_operations', 'notification_operations', 'rate_limiting_operations', 'monitoring_operations', 'caching_operations', 'iot_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2208,30,2238,True,"['get_uptime', 'configure_quiet_hours', 'pause_scheduled_job', 'set_working_hours', 'detect_scheduling_conflicts', 'set_quiet_hours', 'resume_scheduled_job', 'get_rate_limit_metrics', 'create_metric', 'monitor_metrics', 'update_event', 'list_scheduled_jobs', 'schedule_workflow', 'get_queue_metrics', 'check_drug_interaction', 'cache_warm', 'alert_on_metric', 'manage_device_twin', 'ping_host', 'get_alert_status']",1.0,False,False,,,,[],[]
Email the newsletter,send_bulk_email,send_bulk_email,True,,3232.010841369629,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,email_operations,"['healthcare_operations', 'social_media_operations', 'search_operations', 'email_operations', 'queue_operations', 'notification_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2345,43,2388,True,"['manage_mailing_list', 'manage_email_list', 'test_email_deliverability', 'send_bulk_email', 'configure_email_domain', 'manage_push_subscriptions', 'setup_email_automation', 'send_patient_message', 'create_notification_campaign', 'send_push_notification', 'send_in_app_message', 'create_poll', 'subscribe_to_queue', 'manage_notification_digest', 'search_emails', 'reply_to_comment', 'get_notification_status', 'manage_social_inbox', 'manage_message_queue', 'create_campaign']",4.0,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,2789.552688598633,authentication_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,authentication_operations,"['secrets_operations', 'file_operations', 'database_operations', 'compliance_operations', 'authentication_operations', 'security_operations', 'devops_operations', 'analytics_operations', 'payment_operations', 'cloud_storage_operations', 'math_operations', 'rate_limiting_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2183,27,2210,True,"['manage_mfa', 'manage_device_trust', 'authenticate_user', 'create_user', 'create_service_account', 'create_throttle_policy', 'whitelist_key', 'run_compliance_check', 'manage_secrets', 'prime_factorization', 'hash_password', 'delete_secret', 'change_permissions', 'rotate_keys', 'set_object_lock', 'manage_payment_dispute', 'set_auto_response', 'generate_api_key', 'manage_database_audit', 'segment_users']",1.0,False,False,,,,[],[]
Create email workflow,setup_email_automation,run_workflow,False,,2769.9739933013916,email_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['healthcare_operations', 'workflow_operations', 'monitoring_operations', 'search_operations', 'email_operations', 'data_operations', 'authentication_operations', 'scheduling_operations', 'payment_operations', 'notification_operations', 'ai_ml_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2276,20,2296,True,"['setup_email_automation', 'test_email_deliverability', 'configure_email_domain', 'manage_email_list', 'manage_mailing_list', 'create_pipeline', 'run_workflow', 'create_job_dependency', 'schedule_workflow', 'create_user', 'manage_notification_digest', 'create_alert_rule', 'send_bulk_email', 'create_service_account', 'search_emails', 'send_patient_message', 'create_payout', 'create_notification_campaign', 'create_table', 'create_metric']",1.0,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,2937.2637271881104,workflow_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,workflow_operations,"['workflow_operations', 'email_operations', 'data_operations', 'devops_operations', 'scheduling_operations', 'calendar_operations', 'payment_operations', 'queue_operations', 'notification_operations', 'rate_limiting_operations', 'ai_ml_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2160,37,2197,True,"['cancel_workflow', 'run_workflow', 'pause_scheduled_job', 'schedule_workflow', 'configure_quiet_hours', 'set_quiet_hours', 'retry_failed_jobs', 'create_pipeline', 'create_job_dependency', 'manage_message_queue', 'detect_scheduling_conflicts', 'setup_email_automation', 'delete_records', 'redrive_messages', 'whitelist_key', 'resume_scheduled_job', 'list_scheduled_jobs', 'manage_payment_dispute', 'configure_dead_letter_queue', 'run_pipeline']",1.0,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,2758.03804397583,math_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,math_operations,"['file_operations', 'ecommerce_operations', 'security_operations', 'text_operations', 'devops_operations', 'image_operations', 'payment_operations', 'queue_operations', 'math_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2127,29,2156,True,"['fibonacci', 'number_base_convert', 'permutation_combination', 'process_ach_transfer', 'search_files', 'solve_system', 'create_payout', 'manage_ssl_certificate', 'create_fifo_queue', 'percentage', 'calculate_distance', 'hash_password', 'prime_factorization', 'generate_qr_code', 'search_text', 'apply_discount', 'permutation_combination', 'logarithm', 'read_binary_file', 'rotate_keys']",1.0,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,2993.497610092163,payment_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,payment_operations,"['healthcare_operations', 'workflow_operations', 'data_operations', 'email_operations', 'scheduling_operations', 'backup_operations', 'calendar_operations', 'payment_operations', 'cloud_storage_operations', 'location_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2374,26,2400,True,"['process_ach_transfer', 'configure_storage_transfer', 'create_payout', 'set_working_hours', 'detect_scheduling_conflicts', 'set_auto_response', 'upsert_record', 'send_patient_message', 'send_bulk_email', 'schedule_workflow', 'resume_scheduled_job', 'clone_table', 'replicate_backup', 'list_scheduled_jobs', 'update_event', 'send_push_notification', 'manage_payment_dispute', 'pause_scheduled_job', 'create_isochrone', 'manage_message_queue']",1.0,False,False,,,,[],[]
