prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
I need to analyze the user journey. Map conversion journey,analyze_user_journey,analyze_user_journey,True,,6714.295387268066,analytics_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,analytics_operations,"['email_operations', 'analytics_operations', 'calendar_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3531,49,3580,True,"['analyze_user_journey', 'create_funnel_analysis', 'analyze_user_paths', 'compute_attribution', 'create_funnel', 'calculate_attribution', 'optimize_route', 'calculate_isochrone', 'get_directions', 'analyze_email_metrics', 'create_isochrone', 'segment_users', 'calculate_distance', 'analyze_retention', 'calculate_metrics', 'analyze_cohort', 'segment_users', 'snap_to_road', 'analyze_calendar_usage', 'calculate_elevation']",1,False,False,,,,[],[]
I need to drop a column from a table. Remove the deprecated column from users,drop_column,drop_column,True,,446.9420909881592,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,['data_operations'],False,False,False,[],,,0,{},,,0,7,threshold,1110,24,1134,True,"['drop_column', 'drop_table', 'drop_index', 'rename_column', 'truncate_table', 'add_column', 'delete_records']",1,False,False,,,,[],[]
I need to generate API credentials for programmatic access. Generate service token,create_api_key,generate_api_key,False,,647.3178863525391,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['web_operations', 'cloud_storage_operations', 'authentication_operations', 'secrets_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,20,threshold,3730,55,3785,True,"['generate_api_key', 'create_api_key', 'create_service_account', 'generate_api_key', 'oauth_authenticate', 'generate_jwt', 'manage_api_scopes', 'generate_secure_token', 'authenticate_user', 'manage_oauth', 'revoke_api_key', 'generate_otp', 'generate_presigned_url', 'create_user', 'setup_oauth_provider', 'configure_passwordless', 'generate_password', 'generate_password', 'generate_totp_secret', 'configure_auth_policy']",2,False,False,,,,[],[]
I want to generate a cryptographic key pair. Generate an Ed25519 key pair,generate_keypair,generate_keypair,True,,502.1047592163086,security_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,security_operations,"['system_operations', 'security_operations', 'authentication_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,14,threshold,2703,35,2738,True,"['generate_keypair', 'generate_api_key', 'generate_certificate', 'generate_password', 'generate_password', 'create_signature', 'generate_api_key', 'generate_totp_secret', 'create_api_key', 'sign_data', 'verify_signature', 'generate_secure_token', 'generate_uuid', 'rotate_keys']",1,False,False,,,,[],[]
"I need to change file or directory permissions (read, write, execute). Set the folder permissions to 755",change_permissions,set_permissions,False,,359.0993881225586,file_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,file_operations,['file_operations'],False,False,False,[],,,0,{},,,0,3,elbow,584,19,603,True,"['change_permissions', 'set_permissions', 'set_owner']",1,False,False,,,,[],[]
I need to truncate a database table. Remove all rows from the cache table,truncate_table,truncate_table,True,,705.2688598632812,data_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['database_operations', 'web_operations', 'search_operations', 'cloud_storage_operations', 'data_operations', 'scheduling_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3176,23,3199,True,"['truncate_table', 'drop_table', 'delete_records', 'cache_invalidate', 'drop_column', 'drop_index', 'http_delete', 'vacuum_database', 'optimize_table', 'manage_cache_policy', 'archive_data', 'backup_cache', 'scan_cache_keys', 'manage_cache_policy', 'cache_list_ops', 'delete_from_index', 'export_cache_data', 'delete_cloud_file', 'create_cache_index', 'delete_scheduled_job']",1,False,False,,,,[],[]
I need to synchronize users from an external directory. Connect LDAP directory,sync_directory,sync_directory,True,,344.8522090911865,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['file_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,3,bounded,830,85,915,True,"['sync_directory', 'sync_directories', 'configure_sso']",1,False,False,,,,[],[]
I need to schedule a task. Schedule this task to run every hour,schedule_task,schedule_task,True,,496.6692924499512,system_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,system_operations,"['notification_operations', 'iot_operations', 'calendar_operations', 'queue_operations', 'backup_operations', 'system_operations', 'workflow_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3339,47,3386,True,"['schedule_task', 'create_scheduled_job', 'schedule_device_job', 'schedule_workflow', 'set_working_hours', 'run_job_now', 'update_job_schedule', 'schedule_backup', 'schedule_recurring', 'delete_scheduled_job', 'schedule_message', 'schedule_message', 'configure_working_hours', 'create_job_dependency', 'pause_scheduled_job', 'get_next_run_times', 'schedule_notification', 'resume_scheduled_job', 'schedule_message', 'schedule_notification']",1,False,False,,,,[],[]
I need to add an overlay to a video. Overlay image on video,add_video_overlay,add_video_overlay,True,,506.41727447509766,video_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,video_operations,"['image_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4299,54,4353,True,"['add_video_overlay', 'add_picture_in_picture', 'add_watermark', 'add_animated_title', 'apply_video_filter', 'loop_video', 'rotate_video', 'reverse_video', 'overlay_images', 'extract_frames', 'create_video_montage', 'add_subtitles', 'merge_videos', 'apply_color_grading', 'trim_video', 'remove_background', 'resize_video', 'create_video_slideshow', 'convert_video', 'create_video_thumbnail']",1,False,False,,,,[],[]
I need to count elements in text. Count the lines in the document,count_text,count_text,True,,357.6061725616455,text_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,text_operations,"['file_operations', 'data_operations', 'document_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,9,threshold,1550,16,1566,True,"['count_text', 'word_count', 'count_records', 'extract_text_from_document', 'generate_lorem_ipsum', 'extract_text', 'tail_file', 'add_page_numbers', 'summarize_text']",1,False,False,,,,[],[]
