prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Send daily digest email,send_digest_notification,schedule_email_digest,False,,4330.036640167236,notification_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,email_operations,"['notification_operations', 'email_operations', 'messaging_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,7,threshold,1639,56,1695,True,"['schedule_email_digest', 'send_digest_notification', 'snooze_email', 'send_email', 'schedule_message', 'send_email', 'send_email']",2,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,314.97955322265625,backup_operations,hard,llama-3.3-70b,,adaptive_rag,2,0,False,,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,3,threshold,672,29,701,True,"['verify_backup', 'replicate_backup', 'create_backup']",1,False,False,,,,[],[]
Label training data,create_labeling_job,create_labeling_job,True,,333.6031436920166,ai_ml_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,ai_ml_operations,"['ai_ml_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,3,bounded,818,60,878,True,"['create_labeling_job', 'train_model', 'set_audio_metadata']",1,False,False,,,,[],[]
Increase relevance of popular items,boost_search_results,boost_search_results,True,,567.1184062957764,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['analytics_operations', 'social_media_operations', 'ecommerce_operations', 'search_operations', 'web_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3615,46,3661,True,"['rerank_results', 'boost_search_results', 'curate_content', 'personalize_search', 'analyze_competitor', 'track_brand_mentions', 'manage_user_generated_content', 'create_cache_index', 'log_search_event', 'analyze_sentiment', 'run_social_contest', 'analyze_retention', 'update_inventory', 'get_suggestions', 'search_typeahead', 'search_products', 'check_fraud_risk', 'web_search', 'generate_product_feed', 'manage_cart']",2,False,False,,,,[],[]
Export the data to a CSV file,export_csv,export_csv,True,,430.0506114959717,data_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,data_operations,"['database_operations', 'data_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,3,threshold,733,37,770,True,"['export_csv', 'export_data', 'export_logs']",1,False,False,,,,[],[]
Create database trigger,manage_database_triggers,manage_database_triggers,True,,318.21322441101074,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'data_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,4,threshold,836,52,888,True,"['manage_database_triggers', 'insert_record', 'create_workflow', 'create_table']",1,False,False,,,,[],[]
Restore the database from backup,restore_database,restore_database,True,,323.31252098083496,database_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,database_operations,"['database_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,3,threshold,675,49,724,True,"['restore_database', 'restore_backup', 'create_backup']",1,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,create_cache_index,True,,371.7527389526367,caching_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,caching_operations,"['search_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,4,threshold,766,50,816,True,"['create_cache_index', 'search_documents', 'cache_get', 'manage_cache_policy']",1,False,False,,,,[],[]
Migrate the index,reindex,reindex,True,,298.7668514251709,search_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,search_operations,"['data_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,3,bounded,561,20,581,True,"['reindex', 'drop_index', 'bulk_index']",1,False,False,,,,[],[]
Configure passkey authentication,configure_passwordless,configure_passwordless,True,,397.40943908691406,authentication_operations,expert,llama-3.3-70b,,adaptive_rag,2,0,False,,authentication_operations,"['security_operations', 'authentication_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,11,threshold,2164,45,2209,True,"['configure_passwordless', 'configure_sso', 'enable_mfa', 'create_api_key', 'generate_api_key', 'create_service_account', 'authenticate_user', 'generate_otp', 'setup_oauth_provider', 'revoke_api_key', 'oauth_authenticate']",1,False,False,,,,[],[]
