prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
I need to analyze the user journey. Trace user flow,analyze_user_journey,analyze_user_journey,True,,569.5939064025879,analytics_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,analytics_operations,"['analytics_operations', 'compliance_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,4832,49,4881,,[],,False,False,,,,[],[]
I need to drop a column from a table. Remove the deprecated column from users,drop_column,drop_column,True,,636.3723278045654,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'rate_limiting_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,6320,24,6344,,[],,False,False,,,,[],[]
I need to generate API credentials for programmatic access. Set up API authentication,create_api_key,create_api_key,True,,527.1673202514648,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,5614,69,5683,,[],,False,False,,,,[],[]
I want to generate a cryptographic key pair. Create a new SSH key pair,generate_keypair,generate_keypair,True,,517.078161239624,security_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,security_operations,"['security_operations', 'authentication_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,5614,38,5652,,[],,False,False,,,,[],[]
"I need to change file or directory permissions (read, write, execute). Remove write access from the log file",change_permissions,change_permissions,True,,586.669921875,file_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,file_operations,"['file_operations', 'logging_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,4939,22,4961,,[],,False,False,,,,[],[]
I need to truncate a database table. Truncate the sessions table,truncate_table,truncate_table,True,,700.2139091491699,data_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'database_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,6317,20,6337,,[],,False,False,,,,[],[]
I need to synchronize users from an external directory. Sync users from Active Directory,sync_directory,sync_directory,True,,519.8910236358643,authentication_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'calendar_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,6184,62,6246,,[],,False,False,,,,[],[]
I need to schedule a task. Create a cron job for the cleanup script,schedule_task,create_scheduled_job,False,,590.9044742584229,system_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,scheduling_operations,"['scheduling_operations', 'backup_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,4087,59,4146,,[],,False,False,,,,[],[]
I need to add an overlay to a video. Add logo to video,add_video_overlay,add_video_overlay,True,,677.725076675415,video_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,video_operations,"['video_operations', 'image_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,8319,55,8374,,[],,False,False,,,,[],[]
I need to count elements in text. Count the lines in the document,count_text,count_text,True,,394.27804946899414,text_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,text_operations,"['text_operations', 'document_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,5400,18,5418,,[],,False,False,,,,[],[]
