prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Store user data in hash,cache_hash_ops,cache_hash_ops,True,,4691.328763961792,caching_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,caching_operations,"['messaging_operations', 'email_operations', 'authentication_operations', 'caching_operations', 'iot_operations', 'file_operations', 'data_operations', 'cloud_storage_operations', 'web_operations', 'ecommerce_operations', 'security_operations', 'secrets_operations', 'logging_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2331,37,2368,True,"['cache_hash_ops', 'get_secret', 'set_object_lock', 'enable_access_logging', 'find_duplicates', 'verify_totp', 'decrypt_file', 'manage_storage_analytics', 'configure_rate_limiting', 'verify_email_address', 'rotate_secret', 'manage_storage_notifications', 'create_log_dashboard', 'archive_conversation', 'format_json', 'create_device_group', 'drop_table', 'create_product', 'pin_message', 'manage_followers']",1,False,False,,,,[],[]
Set redrive policy,set_redrive_policy,set_redrive_policy,True,,2870.865821838379,queue_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['email_operations', 'authentication_operations', 'caching_operations', 'monitoring_operations', 'testing_operations', 'iot_operations', 'calendar_operations', 'cloud_storage_operations', 'queue_operations', 'container_operations', 'secrets_operations', 'security_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2402,41,2443,True,"['set_redrive_policy', 'set_object_lock', 'configure_rate_limiting', 'rotate_secret', 'push_image', 'manage_firmware', 'verify_totp', 'configure_quiet_hours', 'configure_cache_cluster', 'manage_storage_notifications', 'enable_access_logging', 'run_chaos_testing', 'create_metric', 'create_dashboard', 'verify_email_address', 'schedule_recurring', 'get_job_status', 'get_secret', 'sync_calendars', 'manage_storage_analytics']",1,False,False,,,,[],[]
Set up audit logging,enable_access_logging,enable_access_logging,True,,2809.917688369751,cloud_storage_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,cloud_storage_operations,"['messaging_operations', 'email_operations', 'authentication_operations', 'monitoring_operations', 'testing_operations', 'iot_operations', 'payment_operations', 'calendar_operations', 'cloud_storage_operations', 'queue_operations', 'secrets_operations', 'logging_operations', 'security_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2428,43,2471,True,"['create_log_dashboard', 'enable_access_logging', 'create_metric', 'create_dashboard', 'get_queue_metrics', 'sync_calendars', 'verify_email_address', 'configure_rate_limiting', 'pin_message', 'archive_conversation', 'manage_storage_notifications', 'manage_storage_analytics', 'verify_totp', 'rotate_secret', 'calculate_tax', 'get_job_status', 'set_object_lock', 'run_chaos_testing', 'create_device_group', 'configure_quiet_hours']",2,False,False,,,,[],[]
Create a device collection,create_device_group,,False,,2712.5258445739746,iot_operations,expert,llama3.2:3b,Model did not call any tool,adaptive_rag,2,0,False,,,"['messaging_operations', 'monitoring_operations', 'caching_operations', 'video_operations', 'ecommerce_operations', 'cloud_storage_operations', 'search_operations', 'calendar_operations', 'queue_operations', 'container_operations', 'iot_operations', 'logging_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2521,26,2547,True,"['create_device_group', 'simulate_device', 'manage_firmware', 'create_product', 'create_dashboard', 'manage_contact_list', 'manage_storage_notifications', 'create_metric', 'manage_storage_analytics', 'set_object_lock', 'enable_access_logging', 'push_image', 'create_video_thumbnail', 'create_log_dashboard', 'manage_followers', 'search_products', 'sync_calendars', 'send_sms', 'cache_hash_ops', 'schedule_recurring']",1,False,False,,,,[],[]
Find documents about climate change,semantic_search,semantic_search,True,,2783.7092876434326,ai_ml_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,ai_ml_operations,"['messaging_operations', 'database_operations', 'caching_operations', 'monitoring_operations', 'data_operations', 'calendar_operations', 'cloud_storage_operations', 'web_operations', 'search_operations', 'queue_operations', 'secrets_operations', 'logging_operations', 'security_operations', 'ai_ml_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2342,49,2391,True,"['enable_access_logging', 'manage_storage_analytics', 'manage_storage_notifications', 'archive_conversation', 'semantic_search', 'get_queue_metrics', 'scrape_webpage', 'create_log_dashboard', 'set_object_lock', 'search_products', 'query_explain', 'configure_cache_cluster', 'cache_hash_ops', 'create_dashboard', 'manage_contact_list', 'sync_calendars', 'drop_table', 'get_secret', 'format_json', 'decrypt_file']",5,False,False,,,,[],[]
Create a product listing,create_product,search_products,False,,3037.3146533966064,ecommerce_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['messaging_operations', 'math_operations', 'database_operations', 'monitoring_operations', 'payment_operations', 'video_operations', 'ecommerce_operations', 'search_operations', 'web_operations', 'queue_operations', 'container_operations', 'iot_operations', 'logging_operations', 'ai_ml_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2482,57,2539,True,"['create_product', 'search_products', 'create_log_dashboard', 'manage_contact_list', 'create_dashboard', 'create_device_group', 'format_json', 'calculate_tax', 'permutation_combination', 'scrape_webpage', 'create_video_thumbnail', 'create_metric', 'merge_videos', 'query_explain', 'manage_firmware', 'text_to_speech', 'manage_followers', 'push_image', 'create_message_reaction', 'schedule_recurring']",1,False,False,,,,[],[]
Add reaction to message,create_message_reaction,create_message_reaction,True,,2506.9050788879395,messaging_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,messaging_operations,"['messaging_operations', 'math_operations', 'email_operations', 'monitoring_operations', 'payment_operations', 'cloud_storage_operations', 'queue_operations', 'container_operations', 'iot_operations', 'security_operations', 'ai_ml_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2326,25,2351,True,"['create_message_reaction', 'pin_message', 'send_sms', 'archive_conversation', 'set_redrive_policy', 'manage_contact_list', 'text_to_speech', 'manage_storage_notifications', 'create_metric', 'permutation_combination', 'configure_quiet_hours', 'verify_email_address', 'manage_firmware', 'verify_totp', 'create_device_group', 'simulate_device', 'modular_arithmetic', 'get_job_status', 'push_image', 'calculate_tax']",1,False,False,,,,[],[]
Identify duplicate images in the media library,find_duplicates,find_duplicates,True,,2629.3282508850098,file_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,file_operations,"['math_operations', 'messaging_operations', 'email_operations', 'caching_operations', 'file_operations', 'video_operations', 'cloud_storage_operations', 'calendar_operations', 'web_operations', 'security_operations', 'container_operations', 'iot_operations', 'ai_ml_operations', 'social_media_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2392,30,2422,True,"['find_duplicates', 'create_video_thumbnail', 'merge_videos', 'push_image', 'resize_video', 'semantic_search', 'cache_hash_ops', 'create_device_group', 'manage_storage_notifications', 'enable_access_logging', 'manage_storage_analytics', 'permutation_combination', 'set_object_lock', 'archive_conversation', 'verify_email_address', 'sync_calendars', 'manage_followers', 'decrypt_file', 'configure_cache_cluster', 'validate_json']",1,False,False,,,,[],[]
Deploy firmware update,manage_firmware,manage_firmware,True,,2791.5008068084717,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['messaging_operations', 'math_operations', 'secrets_operations', 'caching_operations', 'monitoring_operations', 'testing_operations', 'video_operations', 'cloud_storage_operations', 'web_operations', 'ecommerce_operations', 'queue_operations', 'security_operations', 'container_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2393,44,2437,True,"['manage_firmware', 'create_device_group', 'run_mutation_testing', 'simulate_device', 'set_object_lock', 'push_image', 'run_chaos_testing', 'rotate_secret', 'manage_contact_list', 'modular_arithmetic', 'verify_totp', 'format_json', 'manage_storage_notifications', 'configure_cache_cluster', 'set_redrive_policy', 'create_metric', 'cache_hash_ops', 'get_secret', 'create_product', 'resize_video']",1,False,False,,,,[],[]
Check queue throughput,get_queue_metrics,get_queue_metrics,True,,2501.431941986084,queue_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['messaging_operations', 'authentication_operations', 'database_operations', 'monitoring_operations', 'caching_operations', 'testing_operations', 'payment_operations', 'file_operations', 'cloud_storage_operations', 'queue_operations', 'iot_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,20,bounded,2391,19,2410,True,"['get_queue_metrics', 'get_job_status', 'process_jobs', 'set_redrive_policy', 'schedule_recurring', 'configure_rate_limiting', 'create_metric', 'manage_storage_analytics', 'pin_message', 'configure_cache_cluster', 'enable_access_logging', 'simulate_device', 'query_explain', 'calculate_tax', 'configure_quiet_hours', 'find_duplicates', 'create_device_group', 'manage_storage_notifications', 'cache_hash_ops', 'run_mutation_testing']",1,False,False,,,,[],[]
