prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Store user data in hash,cache_hash_ops,hash_data,False,,12023.538827896118,caching_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,system_operations,"['cloud_storage_operations', 'security_operations', 'payment_operations', 'secrets_operations', 'authentication_operations', 'file_operations', 'system_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,14,threshold,2957,43,3000,True,"['hash_data', 'cache_hash_ops', 'hash_password', 'cache_set', 'verify_password_hash', 'create_customer', 'get_file_checksum', 'create_bucket', 'create_api_key', 'generate_api_key', 'cache_get', 'calculate_checksum', 'create_secret', 'cache_invalidate']",2.0,False,False,,,,[],[]
Move failed messages to DLQ,set_redrive_policy,configure_dead_letter_queue,False,,3551.57208442688,queue_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['messaging_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,15,threshold,2800,54,2854,True,"['redrive_messages', 'configure_dead_letter_queue', 'set_redrive_policy', 'redrive_messages', 'manage_message_queue', 'change_message_visibility', 'batch_send_messages', 'batch_send_messages', 'batch_receive_messages', 'delete_queue', 'batch_delete_messages', 'retry_failed_jobs', 'send_in_app_message', 'create_queue', 'enqueue_job']",3.0,False,False,,,,[],[]
Log all bucket access,enable_access_logging,,False,,10038.174152374268,cloud_storage_operations,expert,llama3.2:3b,Model did not call any tool,adaptive_rag,2,0,False,,,"['devops_operations', 'cloud_storage_operations', 'compliance_operations', 'rate_limiting_operations', 'analytics_operations', 'authentication_operations', 'system_operations', 'logging_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4096,454,4550,True,"['enable_access_logging', 'manage_storage_analytics', 'get_container_logs', 'list_cloud_files', 'export_logs', 'audit_auth_logs', 'manage_logs', 'aggregate_logs', 'tail_logs', 'manage_storage_notifications', 'get_logs', 'audit_auth_events', 'manage_storage_batch_operations', 'configure_storage_inventory', 'create_bucket', 'get_cloud_file_info', 'set_bucket_policy', 'get_quota_usage', 'generate_audit_log', 'configure_data_pipeline']",1.0,False,False,,,,[],[]
Organize devices into groups,create_device_group,create_device_group,True,,1968.3969020843506,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['messaging_operations', 'iot_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,6,threshold,1452,42,1494,True,"['create_device_group', 'create_device_group', 'provision_device_batch', 'create_chat_room', 'manage_device_trust', 'manage_iot_fleet']",1.0,False,False,,,,[],[]
Find relevant FAQs for this question,semantic_search,get_suggestions,False,,4757.2948932647705,ai_ml_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,search_operations,"['testing_operations', 'system_operations', 'iot_operations', 'location_operations', 'ai_ml_operations', 'web_operations', 'analytics_operations', 'file_operations', 'search_operations', 'social_media_operations', 'math_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3968,43,4011,False,"['get_suggestions', 'web_search', 'calculate_metrics', 'search_code', 'query_devices', 'search_file_content', 'ssl_certificate_check', 'create_dns_record', 'curate_content', 'analyze_test_flakiness', 'prime_factorization', 'search_files', 'dns_lookup', 'generate_text', 'dns_lookup', 'sitemap_parse', 'search_places', 'whois_lookup', 'get_system_info', 'search_events']",,False,False,,,,[],[]
Create a new product,create_product,create_product,True,,1866.6784763336182,ecommerce_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,ecommerce_operations,['ecommerce_operations'],False,False,False,[],,,0,{},,,0,3,threshold,907,92,999,True,"['create_product', 'generate_product_feed', 'manage_product_bundles']",1.0,False,False,,,,[],[]
React with thumbs up,create_message_reaction,,False,,6686.667680740356,messaging_operations,hard,llama3.2:3b,Model did not call any tool,adaptive_rag,2,0,False,,,"['notification_operations', 'text_operations', 'ecommerce_operations', 'messaging_operations', 'video_operations', 'search_operations', 'social_media_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,20,bounded,4096,187,4283,True,"['create_message_reaction', 'reply_to_comment', 'track_notification_engagement', 'manage_product_reviews', 'curate_content', 'analyze_sentiment', 'generate_video_preview', 'analyze_sentiment', 'create_video_thumbnail', 'create_poll', 'detect_scene_changes', 'boost_search_results', 'permutation_combination', 'manage_product_reviews', 'permutation_combination', 'send_in_app_message', 'send_push_notification', 'personalize_search', 'track_brand_mentions', 'send_push_notification']",1.0,False,False,,,,[],[]
Find files with the same content in the directory,find_duplicates,find_duplicates,True,,1875.458002090454,file_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,file_operations,['file_operations'],False,False,False,[],,,0,{},,,0,7,threshold,1478,27,1505,True,"['find_duplicates', 'search_files', 'find_duplicates', 'search_file_content', 'list_directory', 'join_files', 'get_file_checksum']",1.0,False,False,,,,[],[]
Check firmware status,manage_firmware,manage_firmware,True,,4647.150278091431,iot_operations,expert,llama3.2:3b,,adaptive_rag,2,0,False,,iot_operations,"['notification_operations', 'iot_operations', 'compliance_operations', 'web_operations', 'payment_operations', 'healthcare_operations', 'ecommerce_operations', 'monitoring_operations', 'messaging_operations', 'authentication_operations', 'system_operations', 'container_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,20,bounded,3859,47,3906,True,"['get_device_status', 'manage_firmware', 'query_devices', 'get_notification_status', 'get_payment_status', 'get_pod_status', 'get_system_info', 'get_alert_status', 'configure_device_shadow', 'track_vendor_compliance', 'get_network_info', 'check_url_status', 'get_cpu_info', 'verify_insurance_eligibility', 'get_network_interfaces', 'update_order_status', 'send_command', 'get_message_status', 'create_device_group', 'manage_device_trust']",2.0,False,False,,,,[],[]
Monitor queue performance,get_queue_metrics,get_queue_stats,False,,4516.066074371338,queue_operations,hard,llama3.2:3b,,adaptive_rag,2,0,False,,queue_operations,"['devops_operations', 'notification_operations', 'queue_operations', 'database_operations', 'analytics_operations', 'monitoring_operations', 'messaging_operations', 'ai_ml_operations', 'caching_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,18,threshold,3839,35,3874,True,"['get_queue_metrics', 'get_queue_stats', 'monitor_database_performance', 'analyze_cache_performance', 'set_queue_attributes', 'process_jobs', 'monitor_metrics', 'monitor_model', 'create_metric', 'manage_cache_streams', 'cache_stats', 'bandwidth_test', 'monitor_data_quality', 'batch_receive_messages', 'pause_queue', 'analyze_database_performance', 'analyze_notification_performance', 'schedule_message']",1.0,False,False,,,,[],[]
