prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,944.2129135131836,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'testing_operations']",False,False,False,[],,,0,{},,,0,,,305,42,347,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1201.509952545166,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,488,52,540,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,923.2380390167236,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,343,41,384,,[],,False,False,,,,[],[]
Pull text from the Word file,extract_text,extract_text,True,,1168.5256958007812,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['document_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,465,50,515,,[],,False,False,,,,[],[]
Show system uptime,get_uptime,get_uptime,True,,708.3170413970947,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['system_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,278,30,308,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,1508.2385540008545,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,603,64,667,,[],,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,713.3798599243164,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,343,26,369,,[],,False,False,,,,[],[]
Set up drip campaign,setup_email_automation,setup_email_automation,True,,1393.3405876159668,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,604,56,660,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,934.5583915710449,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,433,35,468,,[],,False,False,,,,[],[]
Generate the first 15 Fibonacci numbers,fibonacci,fibonacci,True,,744.9939250946045,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,432,23,455,,[],,False,False,,,,[],[]
Process an ACH payment,process_ach_transfer,process_ach_transfer,True,,1068.2988166809082,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,362,51,413,,[],,False,False,,,,[],[]
Create new email list,manage_email_list,manage_email_list,True,,901.1509418487549,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,604,23,627,,[],,False,False,,,,[],[]
Start automation,run_workflow,run_workflow,True,,977.5810241699219,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,428,41,469,,[],,False,False,,,,[],[]
Flip the image horizontally,flip_image,flip_image,True,,716.7866230010986,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,311,30,341,,[],,False,False,,,,[],[]
Find similar images,search_images,search_images,True,,872.9407787322998,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,310,51,361,,[],,False,False,,,,[],[]
How many permutations of 3 letters from 26?,permutation_combination,permutation_combination,True,,875.4925727844238,math_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,449,32,481,,[],,False,False,,,,[],[]
Contact patient securely,send_patient_message,send_patient_message,True,,1147.378921508789,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,373,54,427,,[],,False,False,,,,[],[]
Tail container logs,get_container_logs,get_container_logs,True,,1064.0029907226562,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['devops_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,451,42,493,,[],,False,False,,,,[],[]
Index the orders table for faster lookups,create_index,create_index,True,,1090.728998184204,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['data_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,357,52,409,,[],,False,False,,,,[],[]
Show info about the uploaded document,get_cloud_file_info,get_cloud_file_info,True,,988.9850616455078,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,473,37,510,,[],,False,False,,,,[],[]
List scheduled jobs,list_scheduled_jobs,list_scheduled_jobs,True,,1238.3649349212646,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,576,48,624,,[],,False,False,,,,[],[]
Tail the application logs,manage_logs,manage_logs,True,,933.7599277496338,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,devops_operations,"['devops_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,313,43,356,,[],,False,False,,,,[],[]
Run mutation testing,run_mutation_test,run_mutation_test,True,,876.3642311096191,testing_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,testing_operations,"['testing_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,333,40,373,,[],,False,False,,,,[],[]
Build Docker image,build_image,build_image,True,,1046.837329864502,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,415,45,460,,[],,False,False,,,,[],[]
Failover to replica,manage_database_replication,manage_database_replication,True,,931.6980838775635,database_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,database_operations,"['database_operations', 'networking_operations']",False,False,False,[],,,0,{},,,0,,,330,44,374,,[],,False,False,,,,[],[]
