prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Find photos of beaches,search_images,,False,,1743.48783493042,search_operations,expert,llama-3.3-70b,Model did not call any tool,hybrid,2,0,False,,,"['image_operations', 'cloud_storage_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,5984,284,6268,,[],,False,False,,,,[],[]
Prepare referral summary,generate_patient_summary,refer_patient,False,,1006.4373016357422,healthcare_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'analytics_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,7508,50,7558,,[],,False,False,,,,[],[]
Read the QR code from the photo,read_barcode,read_barcode,True,,664.2491817474365,image_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'video_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,8223,23,8246,,[],,False,False,,,,[],[]
Update patient allergies,update_allergy_list,update_allergy_list,True,,2012.5014781951904,healthcare_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'iot_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,9186,53,9239,,[],,False,False,,,,[],[]
Snooze message for later,snooze_email,schedule_message,False,,605.3597927093506,email_operations,hard,llama-3.3-70b,,hybrid,2,0,False,False,messaging_operations,"['notification_operations', 'messaging_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,7371,75,7446,,[],,False,False,,,,[],[]
Check for insecure file permissions,audit_permissions,audit_permissions,True,,1050.1213073730469,security_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,security_operations,"['security_operations', 'file_operations', 'authentication_operations']",False,False,False,[],,,0,{},,,0,,,7653,35,7688,,[],,False,False,,,,[],[]
Decode the encoded string,decode_text,decode_text,True,,489.70532417297363,text_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,text_operations,"['text_operations', 'system_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,5395,17,5412,,[],,False,False,,,,[],[]
Create user segment,manage_notification_segments,segment_users,False,,522.9661464691162,notification_operations,expert,llama-3.3-70b,,hybrid,2,0,False,False,analytics_operations,"['analytics_operations', 'authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,5884,56,5940,,[],,False,False,,,,[],[]
Set up a KPI dashboard,create_dashboard,create_dashboard,True,,59926.00703239441,analytics_operations,expert,llama-3.3-70b,,hybrid,2,0,False,True,analytics_operations,"['monitoring_operations', 'analytics_operations', 'logging_operations']",False,False,False,[],,,0,{},,,0,,,4265,62,4327,,[],,False,False,,,,[],[]
DNS lookup for domain,dns_lookup,dns_lookup,True,,497.755765914917,networking_operations,hard,llama-3.3-70b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'web_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,5361,32,5393,,[],,False,False,,,,[],[]
