prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Can you find the capital of Kumasi district in Ghana?,get_district_capital_by_name,get_district_capital_by_name,True,True,3073.9715099334717,category_33,medium,llama-3.3-70b,,hybrid,2,0,False,True,category_33,"['category_33', 'category_40', 'category_26', 'category_9', 'category_24']",False,False,False,[],,,0,{'name': True},,,0,,,13526.0,17.0,13543.0,,[],,False,False,,,,[],[]
Get information about the team named 'Fnatic' from the League of Legends Esports API.,get_teams_and_players,get_teams_and_players,True,True,3550.6136417388916,category_13,medium,llama-3.3-70b,,hybrid,2,0,False,True,category_13,"['category_13', 'category_22', 'category_28', 'category_1', 'category_36']",False,False,False,[],,,0,{'name': True},,,0,,,17522.0,14.0,17536.0,,[],,False,False,,,,[],[]
List the last 100 followers of TikTok user 'user456'.,user_follower_list,user_followers_list,False,,1788.8305187225342,category_10,hard,llama-3.3-70b,,hybrid,2,0,False,False,category_26,"['category_26', 'category_6', 'category_30', 'category_28', 'category_38']",False,False,False,[],,,0,{},,,0,,,15370.0,18.0,15388.0,,[],,False,False,,,,[],[]
Suggest some tickers similar to GOOG.,symbols_suggested,,False,,1038.8736724853516,category_37,medium,llama-3.3-70b,Model did not call any tool,hybrid,2,0,False,,,"['category_31', 'category_15', 'category_24', 'category_6', 'category_7']",False,False,False,[],,,0,{},,,0,,,15558.0,297.0,15855.0,,[],,False,False,,,,[],[]
"Retrieve the catalog albums from Billboard for the week starting on July 4, 2023.",catalog_albums,catalog_albums,True,True,1354.1226387023926,category_2,medium,llama-3.3-70b,,hybrid,2,0,False,True,category_2,"['category_17', 'category_39', 'category_22', 'category_9', 'category_2']",False,False,False,[],,,0,{'week': True},,,0,,,17700.0,18.0,17718.0,,[],,False,False,,,,[],[]
"I need to clean up a list with numbers and strings mixed, like [2, 'two', 2, 'three', 'three', 4, 'four', 'four'].",remove_duplicates,,False,,1218.4779644012451,category_19,medium,llama-3.3-70b,"Error code: 400 - {'message': ""Failed to generate tool_calls. Please adjust your prompt. See 'failed_generation' for more details. Exception: No valid function calls generated"", 'type': 'invalid_request_error', 'code': 'tool_use_failed', 'failed_generation': ""func1=flatten_list(nested_list=[2, 'two', 2, 'three', 'three', 4, 'four', 'four'])""}",hybrid,2,0,False,,,"['category_3', 'category_7', 'category_5', 'category_15', 'category_10']",False,False,False,[],,,0,{},,,0,,,,,,,[],,False,False,,,,[],[]
"What would be the profit from investing $10,000 at an annual return rate of 6% for 5 years?",investment_profit,calculate_investment_return,False,,1836.3747596740723,category_18,expert,llama-3.3-70b,,hybrid,2,0,False,False,category_8,"['category_8', 'category_12', 'category_5', 'category_7', 'category_6']",False,False,False,[],,,0,{},,,0,,,16361.0,27.0,16388.0,,[],,False,False,,,,[],[]
What is the mathematical fact about the number 66 in JSON format?,get_math_fact,get_trivia_fact,False,,1536.7159843444824,category_14,hard,llama-3.3-70b,,hybrid,2,0,False,False,category_27,"['category_21', 'category_27', 'category_22', 'category_6', 'category_17']",False,False,False,[],,,0,{},,,0,,,17754.0,24.0,17778.0,,[],,False,False,,,,[],[]
Verify 'support@example.net' with full SMTP verification.,verify_an_email,verify_an_email,True,True,1219.8193073272705,category_37,hard,llama-3.3-70b,,hybrid,2,0,False,True,category_37,"['category_19', 'category_27', 'category_38', 'category_33', 'category_37']",False,False,False,[],,,0,"{'email': True, 'smtp': True}",,,0,,,15561.0,25.0,15586.0,,[],,False,False,,,,[],[]
Get the outcome of the API request with ID 'xyz789' from the face comparison service.,get_call,,False,,938.3106231689453,category_13,medium,llama-3.3-70b,Model did not call any tool,hybrid,2,0,False,,,"['category_27', 'category_33', 'category_28', 'category_26', 'category_38']",False,False,False,[],,,0,{},,,0,,,15678.0,104.0,15782.0,,[],,False,False,,,,[],[]
