prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,ping_host,True,,995.7230091094971,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,722,17,739,,[],,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,restore_archived_object,True,,1346.4787006378174,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,839,38,877,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,run_compliance_check,True,,1440.6869411468506,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'authentication_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,887,39,926,,[],,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,1336.7078304290771,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['document_operations', 'text_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,741,42,783,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,1355.6177616119385,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['system_operations', 'calendar_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,971,30,1001,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,send_bulk_email,True,,3498.9094734191895,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'notification_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1486,135,1621,,[],,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,1204.2102813720703,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,849,26,875,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,2029.5791625976562,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'workflow_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1359,48,1407,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1481.1201095581055,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'rate_limiting_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,1008,34,1042,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,1496.581792831421,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'file_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,1126,29,1155,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,1890.2168273925781,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'queue_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,1080,57,1137,,[],,False,False,,,,[],[]
Create new email list,manage_email_list,manage_email_list,True,,2320.219039916992,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'notification_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,2054,23,2077,,[],,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,1389.4498348236084,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'devops_operations', 'scheduling_operations']",False,False,False,[],,,0,{},,,0,,,990,30,1020,,[],,False,False,,,,[],[]
Create a mirror image,flip_image,flip_image,True,,1646.5129852294922,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'backup_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,1137,37,1174,,[],,False,False,,,,[],[]
Find photos of beaches,search_images,get_cloud_file_info,False,,1688.3060932159424,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,cloud_storage_operations,"['image_operations', 'cloud_storage_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,1259,33,1292,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,1872.5008964538574,math_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'ecommerce_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1480,31,1511,,[],,False,False,,,,[],[]
Message patient through portal,send_patient_message,send_patient_message,True,,2622.2310066223145,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'queue_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1938,48,1986,,[],,False,False,,,,[],[]
Tail container logs,get_container_logs,get_container_logs,True,,1409.7387790679932,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'devops_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,808,43,851,,[],,False,False,,,,[],[]
