prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Create weekly activity summary,send_digest_notification,track_event,False,,972.4764823913574,notification_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,analytics_operations,['analytics_operations'],False,False,False,[],,,0,{},,,0,,,3449,63,3512,,[],,False,False,,,,[],[]
Test backup restorability,verify_backup,verify_backup,True,,751.1100769042969,backup_operations,hard,llama-3.3-70b,,clustering,2,0,False,True,backup_operations,['backup_operations'],False,False,False,[],,,0,{},,,0,,,3123,39,3162,,[],,False,False,,,,[],[]
Create labeling job,create_labeling_job,create_labeling_job,True,,683.2411289215088,ai_ml_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,3669,64,3733,,[],,False,False,,,,[],[]
Prioritize recent content,boost_search_results,,False,,685.0001811981201,search_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2549,280,2829,,[],,False,False,,,,[],[]
Export the users table to a CSV,export_csv,execute_query,False,,871.9534873962402,data_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4068,41,4109,,[],,False,False,,,,[],[]
Disable trigger,manage_database_triggers,,False,,569.9379444122314,database_operations,expert,llama-3.3-70b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,2547,309,2856,,[],,False,False,,,,[],[]
Recover the database,restore_database,restore_database,True,,892.8844928741455,database_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4062,47,4109,,[],,False,False,,,,[],[]
Add full-text search to cache,create_cache_index,search_documents,False,,1399.1780281066895,caching_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,search_operations,['search_operations'],False,False,False,[],,,0,{},,,0,,,3736,48,3784,,[],,False,False,,,,[],[]
Reindex to new version,reindex,manage_database_triggers,False,,776.0622501373291,search_operations,expert,llama-3.3-70b,,clustering,2,0,False,False,database_operations,['database_operations'],False,False,False,[],,,0,{},,,0,,,4064,59,4123,,[],,False,False,,,,[],[]
Set up magic link authentication,configure_passwordless,configure_passwordless,True,,1477.104663848877,authentication_operations,expert,llama-3.3-70b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,4063,31,4094,,[],,False,False,,,,[],[]
