prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Store user data in hash,cache_hash_ops,,False,,12329.56314086914,caching_operations,hard,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,707,4803,,[],,False,False,,,,[],[]
Move failed messages to DLQ,set_redrive_policy,,False,,7085.489988327026,queue_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,256,4352,,[],,False,False,,,,[],[]
Log all bucket access,enable_access_logging,,False,,9967.271089553833,cloud_storage_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,507,4603,,[],,False,False,,,,[],[]
Organize devices into groups,create_device_group,,False,,9976.868152618408,iot_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,508,4604,,[],,False,False,,,,[],[]
Find relevant FAQs for this question,semantic_search,,False,,8751.20997428894,ai_ml_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,401,4497,,[],,False,False,,,,[],[]
Create a new product,create_product,,False,,7153.082847595215,ecommerce_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,262,4358,,[],,False,False,,,,[],[]
React with thumbs up,create_message_reaction,,False,,7475.409030914307,messaging_operations,hard,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,290,4386,,[],,False,False,,,,[],[]
Find files with the same content in the directory,find_duplicates,,False,,6112.327098846436,file_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,171,4267,,[],,False,False,,,,[],[]
Check firmware status,manage_firmware,,False,,5870.677947998047,iot_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,150,4246,,[],,False,False,,,,[],[]
Monitor queue performance,get_queue_metrics,,False,,6293.62678527832,queue_operations,hard,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,4096,187,4283,,[],,False,False,,,,[],[]
