prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Please check if a host is reachable. Ping this address,ping_host,,False,,6042.212009429932,networking_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['networking_operations', 'iot_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,4096,113,4209,,[],,False,False,,,,[],[]
I need to restore an archived object from cloud storage. Restore file from Glacier,restore_archived_object,,False,,11031.183004379272,cloud_storage_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['cloud_storage_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,4096,422,4518,,[],,False,False,,,,[],[]
I need to run a regulatory compliance check. Audit for PCI-DSS,run_compliance_check,,False,,7938.527822494507,compliance_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['compliance_operations', 'devops_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,226,4322,,[],,False,False,,,,[],[]
I need to extract text from a document. Get the text content,extract_text,,False,,6644.217967987061,document_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['document_operations', 'text_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,4096,146,4242,,[],,False,False,,,,[],[]
I need to check system uptime. When was the server last rebooted?,get_uptime,get_uptime,True,,4304.61311340332,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['system_operations', 'networking_operations', 'iot_operations']",False,False,False,[],,,0,{},,,0,,,3680,30,3710,,[],,False,False,,,,[],[]
Please send the same email message to multiple recipients at once. Send bulk email,send_bulk_email,,False,,7293.519020080566,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'messaging_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,4096,187,4283,,[],,False,False,,,,[],[]
I need to configure multi-factor authentication. Enable two-factor authentication,manage_mfa,manage_mfa,True,,3877.617120742798,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'security_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,3514,18,3532,,[],,False,False,,,,[],[]
I need to create automated email workflows triggered by events or schedules. Automate onboarding emails,setup_email_automation,,False,,5632.398843765259,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'scheduling_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,4096,85,4181,,[],,False,False,,,,[],[]
I need to cancel a running workflow. Cancel the workflow,cancel_workflow,cancel_workflow,True,,3333.2200050354004,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,2961,21,2982,,[],,False,False,,,,[],[]
I need to work with Fibonacci numbers. What is the 10th Fibonacci number?,fibonacci,,False,,8087.259769439697,math_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'payment_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,237,4333,,[],,False,False,,,,[],[]
I need to process an ACH transfer. Debit customer's bank account,process_ach_transfer,,False,,11790.982961654663,payment_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['payment_operations', 'authentication_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,4096,469,4565,,[],,False,False,,,,[],[]
"I need to create, update, or manage email subscriber lists. Clean invalid emails",manage_email_list,manage_email_list,True,,4649.9528884887695,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'messaging_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,3580,58,3638,,[],,False,False,,,,[],[]
Please execute a workflow. Run the workflow,run_workflow,run_workflow,True,,3033.3237648010254,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,2671,25,2696,,[],,False,False,,,,[],[]
I want to flip or mirror an image. Create a mirror image,flip_image,flip_image,True,,4524.511098861694,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'backup_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,3997,30,4027,,[],,False,False,,,,[],[]
I need to search for images. Find photos of beaches,search_images,search_images,True,,4406.180858612061,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,search_operations,"['image_operations', 'search_operations', 'container_operations']",False,False,False,[],,,0,{},,,0,,,3639,49,3688,,[],,False,False,,,,[],[]
I need to calculate permutations or combinations. Calculate 52 choose 5,permutation_combination,,False,,7360.3675365448,math_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'caching_operations', 'image_operations']",False,False,False,[],,,0,{},,,0,,,4096,192,4288,,[],,False,False,,,,[],[]
I need to send a secure message to a patient. Message patient through portal,send_patient_message,,False,,8425.150632858276,healthcare_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['messaging_operations', 'healthcare_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,262,4358,,[],,False,False,,,,[],[]
I need to retrieve container logs. Get container logs,get_container_logs,get_container_logs,True,,4344.496965408325,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'logging_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,3484,48,3532,,[],,False,False,,,,[],[]
I need to create a database index. Create a composite index on user_id and created_at,create_index,,False,,6712.754011154175,data_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['data_operations', 'authentication_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,4096,154,4250,,[],,False,False,,,,[],[]
I need to get information about a file in cloud storage. Show info about the uploaded document,get_cloud_file_info,,False,,21436.641931533813,cloud_storage_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['cloud_storage_operations', 'file_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,4096,1066,5162,,[],,False,False,,,,[],[]
I want to list scheduled jobs. View active jobs,list_scheduled_jobs,list_scheduled_jobs,True,,3926.8710613250732,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'calendar_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,,,3556,19,3575,,[],,False,False,,,,[],[]
I need to manage application logs. Get logs for the payment service,manage_logs,search_logs,False,,2763.754367828369,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,False,logging_operations,"['logging_operations', 'payment_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,2542,18,2560,,[],,False,False,,,,[],[]
I need to run mutation testing. Calculate mutation score,run_mutation_test,,False,,11865.496635437012,testing_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['testing_operations', 'math_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,4096,478,4574,,[],,False,False,,,,[],[]
I need to build a Docker image. Create image from Dockerfile,build_image,,False,,5476.528167724609,container_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['container_operations', 'image_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,4096,78,4174,,[],,False,False,,,,[],[]
I need to configure and manage database replication for high availability. Failover to replica,manage_database_replication,,False,,11805.071830749512,database_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['database_operations', 'cloud_storage_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,4096,472,4568,,[],,False,False,,,,[],[]
I need to upsert a database record. Upsert the product record by SKU,upsert_record,,False,,10903.751134872437,data_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['data_operations', 'backup_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,4096,412,4508,,[],,False,False,,,,[],[]
I need to deduplicate data. Deduplicate the contacts table,deduplicate_data,,False,,8503.239631652832,data_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['data_operations', 'database_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,4096,266,4362,,[],,False,False,,,,[],[]
