prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping the server,ping_host,,False,,2948.9479064941406,networking_operations,hard,llama3.2:3b,,clustering,2,0,True,False,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,2373,32,2405,,[],,False,False,,,,[],[]
Retrieve archived data,restore_archived_object,,False,,9504.170894622803,cloud_storage_operations,expert,llama3.2:3b,No tool selected in step,clustering,6,2,False,False,data_operations,"['data_operations', 'backup_operations', 'data_operations']",False,False,False,[],,,0,{},,,0,,,8141,96,8237,,[],,False,False,,,,[],[]
Verify SOC2 compliance,run_compliance_check,,False,,13611.085176467896,compliance_operations,hard,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,11350,150,11500,,[],,False,False,,,,[],[]
Get the text content,extract_text,,False,,2895.7316875457764,document_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,False,text_operations,['text_operations'],False,False,False,[],,,0,{},,,0,,,2405,33,2438,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,5764.985084533691,system_operations,hard,llama3.2:3b,,clustering,4,1,False,True,system_operations,"['monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,4661,75,4736,,[],,False,False,,,,[],[]
Send bulk email,send_bulk_email,,False,,12678.50923538208,email_operations,expert,llama3.2:3b,No tool selected in step,clustering,8,3,False,True,email_operations,"['email_operations', 'email_operations', 'email_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,10816,130,10946,,[],,False,False,,,,[],[]
Verify MFA setup,manage_mfa,manage_mfa,True,,2971.558094024658,authentication_operations,hard,llama3.2:3b,,clustering,2,0,False,True,authentication_operations,['authentication_operations'],False,False,False,[],,,0,{},,,0,,,2474,33,2507,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,,False,,2809.023857116699,email_operations,expert,llama3.2:3b,,clustering,2,0,True,False,document_operations,['document_operations'],False,False,False,[],,,0,{},,,0,,,2334,31,2365,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,,False,,2894.3910598754883,workflow_operations,hard,llama3.2:3b,,clustering,2,0,True,False,ai_ml_operations,['ai_ml_operations'],False,False,False,[],,,0,{},,,0,,,2373,35,2408,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,3291.4950847625732,math_operations,hard,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2681,43,2724,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,,False,,2848.392963409424,payment_operations,expert,llama3.2:3b,No tool selected in step,clustering,2,0,False,True,payment_operations,['payment_operations'],False,False,False,[],,,0,{},,,0,,,2371,32,2403,,[],,False,False,,,,[],[]
Create new email list,manage_email_list,manage_email_list,True,,3142.667055130005,email_operations,expert,llama3.2:3b,,clustering,2,0,False,True,email_operations,['email_operations'],False,False,False,[],,,0,{},,,0,,,2682,33,2715,,[],,False,False,,,,[],[]
Execute workflow,run_workflow,,False,,5736.628293991089,workflow_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,devops_operations,"['devops_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,4734,66,4800,,[],,False,False,,,,[],[]
Create a mirror image,flip_image,,False,,14687.198162078857,image_operations,hard,ollama,Max steps (10) reached without selection,clustering,10,5,False,,,"['text_operations', 'text_operations', 'text_operations', 'text_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,12165,170,12335,,[],,False,False,,,,[],[]
Find photos of beaches,search_images,,False,,2970.72696685791,search_operations,expert,llama3.2:3b,,clustering,2,0,True,False,image_operations,['image_operations'],False,False,False,[],,,0,{},,,0,,,2543,31,2574,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,3358.2239151000977,math_operations,expert,llama3.2:3b,,clustering,2,0,False,True,math_operations,['math_operations'],False,False,False,[],,,0,{},,,0,,,2687,47,2734,,[],,False,False,,,,[],[]
Message patient through portal,send_patient_message,,False,,6589.067697525024,healthcare_operations,expert,llama3.2:3b,No tool selected in step,clustering,4,1,False,False,text_operations,"['healthcare_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,5573,70,5643,,[],,False,False,,,,[],[]
Tail container logs,get_container_logs,,False,,2018.446683883667,container_operations,expert,llama3.2:3b,No tool selected in step,clustering,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1834,15,1849,,[],,False,False,,,,[],[]
