prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Notify when device goes offline,configure_device_alert,configure_device_alert,True,,3486.794948577881,iot_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,iot_operations,"['iot_operations', 'notification_operations', 'scheduling_operations', 'calendar_operations', 'location_operations']",False,False,False,[],,,0,{},,,0,,,2837,46,2883,,[],,False,False,,,,[],[]
Create performance report PDF,generate_report,generate_report,True,,2744.8978424072266,social_media_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,social_media_operations,"['analytics_operations', 'monitoring_operations', 'ai_ml_operations', 'social_media_operations', 'audio_operations']",False,False,False,[],,,0,{},,,0,,,2134,53,2187,,[],,False,False,,,,[],[]
Complete discharge documentation,generate_discharge_summary,generate_discharge_summary,True,,4668.858051300049,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'compliance_operations', 'cloud_storage_operations', 'logging_operations', 'security_operations']",False,False,False,[],,,0,{},,,0,,,3621,72,3693,,[],,False,False,,,,[],[]
Generate LinkedIn post content,generate_content,generate_content,True,,3465.0847911834717,social_media_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,social_media_operations,"['social_media_operations', 'messaging_operations', 'text_operations', 'web_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,2887,45,2932,,[],,False,False,,,,[],[]
Archive completed records,archive_data,archive_data,True,,3398.5142707824707,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['cloud_storage_operations', 'data_operations', 'logging_operations', 'queue_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,2710,54,2764,,[],,False,False,,,,[],[]
Generate the first 15 Fibonacci numbers,fibonacci,,False,,6760.071039199829,math_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'system_operations', 'payment_operations', 'authentication_operations', 'secrets_operations']",False,False,False,[],,,0,{},,,0,,,4096,192,4288,,[],,False,False,,,,[],[]
Verify the bank account with micro-deposits,verify_payment_method,,False,,8313.02285194397,payment_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['payment_operations', 'authentication_operations', 'security_operations', 'queue_operations', 'math_operations']",False,False,False,[],,,0,{},,,0,,,4096,315,4411,,[],,False,False,,,,[],[]
Release the lock,manage_cache_locks,manage_cache_locks,True,,3352.63991355896,caching_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,caching_operations,"['caching_operations', 'secrets_operations', 'security_operations', 'authentication_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,2630,49,2679,,[],,False,False,,,,[],[]
How do I get to Central Park from here?,get_directions,get_directions,True,,2972.429037094116,location_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,location_operations,"['location_operations', 'monitoring_operations', 'devops_operations', 'calendar_operations', 'web_operations']",False,False,False,[],,,0,{},,,0,,,2518,34,2552,,[],,False,False,,,,[],[]
Calculate the MD5 checksum of this text,hash_data,,False,,5464.62607383728,system_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['system_operations', 'math_operations', 'security_operations', 'healthcare_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,4096,88,4184,,[],,False,False,,,,[],[]
