prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Alert when temperature exceeds 30,configure_device_alert,configure_device_alert,True,,1708.7750434875488,iot_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1351,34,1385,,[],,False,False,,,,[],[]
Export analytics report,generate_report,generate_report,True,,639.4908428192139,social_media_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1348,49,1397,,[],,False,False,,,,[],[]
Complete discharge documentation,generate_discharge_summary,generate_discharge_summary,True,,585.4790210723877,healthcare_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1348,44,1392,,[],,False,False,,,,[],[]
Write a tweet about our new feature,generate_content,generate_content,True,,678.0600547790527,social_media_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1352,54,1406,,[],,False,False,,,,[],[]
Archive orders older than one year,archive_data,archive_data,True,,439.10884857177734,data_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1351,32,1383,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,fibonacci,True,,395.59197425842285,math_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1353,28,1381,,[],,False,False,,,,[],[]
Validate the card before charging,verify_payment_method,verify_payment_method,True,,611.7470264434814,payment_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1350,48,1398,,[],,False,False,,,,[],[]
Acquire distributed lock,manage_cache_locks,manage_cache_locks,True,,545.7091331481934,caching_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1349,42,1391,,[],,False,False,,,,[],[]
Give me walking directions to the restaurant,get_directions,get_directions,True,,581.773042678833,location_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1352,45,1397,,[],,False,False,,,,[],[]
Calculate the MD5 checksum of this text,hash_data,hash_data,True,,361.33694648742676,system_operations,hard,llama3.2:3b,,mcp,1,0,False,,,[],False,False,False,[],,,0,{},,,0,,,1353,25,1378,,[],,False,False,,,,[],[]
