prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Ping this address,ping_host,ping_host,True,,1625.2360343933105,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'location_operations', 'text_operations']",False,False,False,[],,,0,{},,,0,,,710,54,764,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,1585.094928741455,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'caching_operations']",False,False,False,[],,,0,{},,,0,,,930,47,977,,[],,False,False,,,,[],[]
Audit for PCI-DSS,run_compliance_check,run_compliance_check,True,,1264.697790145874,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,716,40,756,,[],,False,False,,,,[],[]
Pull text from the Word file,extract_text,extract_text,True,,1535.5727672576904,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['document_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1003,40,1043,,[],,False,False,,,,[],[]
How long has the system been running?,get_uptime,get_uptime,True,,1233.8159084320068,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['system_operations', 'monitoring_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,927,24,951,,[],,False,False,,,,[],[]
Mass email announcement,send_bulk_email,send_bulk_email,True,,2304.567337036133,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'text_operations', 'notification_operations']",False,False,False,[],,,0,{},,,0,,,1406,64,1470,,[],,False,False,,,,[],[]
Enable two-factor authentication,manage_mfa,manage_mfa,True,,1336.5850448608398,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'payment_operations']",False,False,False,[],,,0,{},,,0,,,1011,25,1036,,[],,False,False,,,,[],[]
Create welcome email series,setup_email_automation,setup_email_automation,True,,2795.900821685791,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1624,82,1706,,[],,False,False,,,,[],[]
Abort running workflow,cancel_workflow,cancel_workflow,True,,1365.483283996582,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,871,37,908,,[],,False,False,,,,[],[]
Is 144 a Fibonacci number?,fibonacci,fibonacci,True,,1245.737075805664,math_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'payment_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,950,23,973,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,1698.5695362091064,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'queue_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,759,64,823,,[],,False,False,,,,[],[]
Create new email list,manage_email_list,manage_email_list,True,,2155.4861068725586,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'text_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1624,40,1664,,[],,False,False,,,,[],[]
Trigger workflow manually,run_workflow,run_workflow,True,,2428.5874366760254,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'compliance_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1498,64,1562,,[],,False,False,,,,[],[]
Flip the image upside down,flip_image,flip_image,True,,1881.0858726501465,image_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,image_operations,"['image_operations', 'search_operations', 'video_operations']",False,False,False,[],,,0,{},,,0,,,1447,34,1481,,[],,False,False,,,,[],[]
Find similar images,search_images,search_images,True,,1577.268362045288,search_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,search_operations,"['search_operations', 'image_operations', 'document_operations']",False,False,False,[],,,0,{},,,0,,,1063,39,1102,,[],,False,False,,,,[],[]
How many ways to arrange 5 items from 10?,permutation_combination,permutation_combination,True,,1376.8730163574219,math_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,math_operations,"['math_operations', 'queue_operations', 'calendar_operations']",False,False,False,[],,,0,{},,,0,,,946,32,978,,[],,False,False,,,,[],[]
Send message to patient,send_patient_message,send_patient_message,True,,2686.511993408203,healthcare_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,healthcare_operations,"['healthcare_operations', 'queue_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1625,73,1698,,[],,False,False,,,,[],[]
Get container logs,get_container_logs,get_container_logs,True,,1480.4818630218506,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'devops_operations', 'monitoring_operations']",False,False,False,[],,,0,{},,,0,,,895,42,937,,[],,False,False,,,,[],[]
Create an index on the email column,create_index,create_index,True,,2900.7408618927,data_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,data_operations,"['text_operations', 'data_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,2203,49,2252,,[],,False,False,,,,[],[]
What is the size of the file in S3?,get_cloud_file_info,get_cloud_file_info,True,,1790.0547981262207,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'video_operations', 'backup_operations']",False,False,False,[],,,0,{},,,0,,,1316,36,1352,,[],,False,False,,,,[],[]
List scheduled jobs,list_scheduled_jobs,list_scheduled_jobs,True,,2002.073049545288,scheduling_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,scheduling_operations,"['scheduling_operations', 'calendar_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,1355,48,1403,,[],,False,False,,,,[],[]
Show error logs from the last hour,manage_logs,manage_logs,True,,1298.7728118896484,devops_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,devops_operations,"['devops_operations', 'monitoring_operations', 'system_operations']",False,False,False,[],,,0,{},,,0,,,721,40,761,,[],,False,False,,,,[],[]
Run mutation testing,run_mutation_test,run_mutation_test,True,,1542.633056640625,testing_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,testing_operations,"['testing_operations', 'ai_ml_operations', 'database_operations']",False,False,False,[],,,0,{},,,0,,,802,52,854,,[],,False,False,,,,[],[]
Create image from Dockerfile,build_image,build_image,True,,2139.9197578430176,container_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,container_operations,"['container_operations', 'cloud_storage_operations', 'search_operations']",False,False,False,[],,,0,{},,,0,,,1110,72,1182,,[],,False,False,,,,[],[]
Add read replica,manage_database_replication,manage_database_replication,True,,2097.33510017395,database_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,database_operations,"['database_operations', 'backup_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,1069,72,1141,,[],,False,False,,,,[],[]
