prompt,expected_tool,called_tool,tool_correct,params_correct,latency_ms,category,difficulty,model,error,methodology,steps_count,backtrack_count,declined_tool_call,category_correct,final_category,categories_visited,is_no_tool_test,false_positive,is_multi_tool_test,tools_called,completion_rate,sequence_correct,extra_calls,param_details,confidence_score,fallback_method_used,num_fallbacks,adaptive_k_used,adaptive_strategy,tokens_input,tokens_output,tokens_total,retrieval_recall,retrieved_tools,retrieval_rank,is_ambiguous_test,clarification_requested,clarification_correct,clarification_score,clarification_question,candidate_tools,expected_candidate_tools
Test connectivity to IP,ping_host,ping_host,True,,3085.839033126831,networking_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,networking_operations,"['networking_operations', 'testing_operations', 'system_operations', 'iot_operations', 'monitoring_operations', 'location_operations', 'compliance_operations']",False,False,False,[],,,0,{},,,0,,,2542,36,2578,,[],,False,False,,,,[],[]
Restore from cold storage,restore_archived_object,restore_archived_object,True,,4219.200611114502,cloud_storage_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,cloud_storage_operations,"['cloud_storage_operations', 'backup_operations', 'caching_operations', 'secrets_operations', 'file_operations', 'security_operations', 'queue_operations']",False,False,False,[],,,0,{},,,0,,,3565,42,3607,,[],,False,False,,,,[],[]
Run compliance check,run_compliance_check,run_compliance_check,True,,3498.661994934082,compliance_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,compliance_operations,"['compliance_operations', 'testing_operations', 'devops_operations', 'authentication_operations', 'monitoring_operations', 'rate_limiting_operations', 'workflow_operations']",False,False,False,[],,,0,{},,,0,,,2855,44,2899,,[],,False,False,,,,[],[]
Get the text content,extract_text,extract_text,True,,4534.969806671143,document_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,document_operations,"['text_operations', 'document_operations', 'ai_ml_operations', 'messaging_operations', 'search_operations', 'system_operations', 'file_operations']",False,False,False,[],,,0,{},,,0,,,3562,60,3622,,[],,False,False,,,,[],[]
Check the uptime,get_uptime,get_uptime,True,,3732.8269481658936,system_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,system_operations,"['calendar_operations', 'notification_operations', 'system_operations', 'scheduling_operations', 'monitoring_operations', 'workflow_operations', 'rate_limiting_operations']",False,False,False,[],,,0,{},,,0,,,3274,30,3304,,[],,False,False,,,,[],[]
Email the newsletter,send_bulk_email,,False,,6043.277025222778,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'notification_operations', 'messaging_operations', 'social_media_operations', 'calendar_operations', 'queue_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,4096,111,4207,,[],,False,False,,,,[],[]
Disable MFA for user,manage_mfa,manage_mfa,True,,3593.9111709594727,authentication_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,authentication_operations,"['authentication_operations', 'compliance_operations', 'security_operations', 'secrets_operations', 'rate_limiting_operations', 'payment_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,3092,27,3119,,[],,False,False,,,,[],[]
Create email workflow,setup_email_automation,setup_email_automation,True,,4499.793291091919,email_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,email_operations,"['email_operations', 'ai_ml_operations', 'workflow_operations', 'messaging_operations', 'notification_operations', 'monitoring_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,3784,43,3827,,[],,False,False,,,,[],[]
Cancel the workflow,cancel_workflow,cancel_workflow,True,,4595.517158508301,workflow_operations,hard,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'scheduling_operations', 'queue_operations', 'notification_operations', 'payment_operations', 'calendar_operations', 'messaging_operations']",False,False,False,[],,,0,{},,,0,,,4037,31,4068,,[],,False,False,,,,[],[]
Find the Fibonacci number at position 20,fibonacci,,False,,5280.803680419922,math_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['math_operations', 'file_operations', 'payment_operations', 'security_operations', 'ecommerce_operations', 'location_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,4096,66,4162,,[],,False,False,,,,[],[]
Send same-day ACH transfer,process_ach_transfer,process_ach_transfer,True,,4701.222896575928,payment_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,payment_operations,"['payment_operations', 'calendar_operations', 'messaging_operations', 'scheduling_operations', 'queue_operations', 'backup_operations', 'email_operations']",False,False,False,[],,,0,{},,,0,,,3756,50,3806,,[],,False,False,,,,[],[]
Remove from mailing list,manage_email_list,,False,,4806.2567710876465,email_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['email_operations', 'messaging_operations', 'secrets_operations', 'notification_operations', 'healthcare_operations', 'queue_operations', 'ecommerce_operations']",False,False,False,[],,,0,{},,,0,,,4096,36,4132,,[],,False,False,,,,[],[]
Execute workflow,run_workflow,run_workflow,True,,4237.213134765625,workflow_operations,expert,llama3.2:3b,,hybrid,2,0,False,True,workflow_operations,"['workflow_operations', 'ai_ml_operations', 'scheduling_operations', 'compliance_operations', 'payment_operations', 'email_operations', 'devops_operations']",False,False,False,[],,,0,{},,,0,,,3528,38,3566,,[],,False,False,,,,[],[]
Mirror the photo,flip_image,,False,,6390.323877334595,image_operations,hard,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['image_operations', 'backup_operations', 'video_operations', 'payment_operations', 'security_operations', 'social_media_operations', 'healthcare_operations']",False,False,False,[],,,0,{},,,0,,,4096,134,4230,,[],,False,False,,,,[],[]
Search for images,search_images,,False,,7210.582733154297,search_operations,expert,llama3.2:3b,Model did not call any tool,hybrid,2,0,False,,,"['search_operations', 'image_operations', 'file_operations', 'ai_ml_operations', 'web_operations', 'video_operations', 'cloud_storage_operations']",False,False,False,[],,,0,{},,,0,,,4096,186,4282,,[],,False,False,,,,[],[]
